,q,i,a
0,What are the symptoms of Addison's disease?,<noinput>,"Early-stage symptoms of Addison's disease include fatigue, muscle weakness, low mood, loss of appetite, unintentional weight loss, increased thirst. Additional symptoms may include dizziness, fainting, cramps, exhaustion, and darkening of the skin, lips, or gums. It is important to see a GP for proper investigation."
1,What causes Addison's disease?,<noinput>,"Addison's disease is mainly caused by the immune system attacking the adrenal glands, disrupting the production of cortisol and aldosterone. Other potential causes include conditions like tuberculosis (TB) which are rare in the UK."
2,How is Addison's disease treated?,<noinput>,"Addison's disease is treated with hormone replacement therapy to replace the missing cortisol and aldosterone. This treatment is usually lifelong. With proper treatment, symptoms can be controlled and most people with the condition can lead an active life."
3,What should be done in case of an adrenal crisis?,<noinput>,"In case of an adrenal crisis, it is a medical emergency. A hydrocortisone injection should be administered immediately, followed by calling for an ambulance and stating it is an ""adrenal crisis"" or ""Addisonian crisis"". An adrenal crisis can be fatal if left untreated."
4,What is the role of the National Congenital Anomaly and Rare Disease Registration Service (NCARDRS) in Addison's disease?,<noinput>,"If you have Addison's disease, your clinical team will provide information about you to the NCARDRS, which helps in research and improving prevention and treatment methods for the condition."
5,How many people in the UK have Addison's disease?,<noinput>,"Approximately 9,000 people in the UK have Addison's disease, with over 300 new cases diagnosed each year."
6,Who is more prone to developing Addison's disease?,<noinput>,"Addison's disease can affect people of any age, but it is most commonly diagnosed between the ages of 30 and 50. It is also more common in women than men."
7,What can happen if Addison's disease is left untreated?,<noinput>,"If Addison's disease is left untreated, it can lead to a sudden and severe worsening of symptoms called an adrenal crisis, which is a medical emergency and can be fatal."
8,What are the long-term complications of Addison's disease?,<noinput>,"People with Addison's disease may experience bouts of fatigue and there may be associated health conditions such as diabetes or hypothyroidism (underactive thyroid). However, with proper management, most people with Addison's disease have a normal lifespan and are able to lead an active life."
9,What are the initial symptoms of Addison's disease similar to?,<noinput>,Early-stage symptoms of Addison's disease can be similar to other common health conditions such as clinical depression or flu. It is important to see a GP for proper investigation if experiencing these symptoms.
0,What are the symptoms of Addison's disease?,<noinput>,"Symptoms of Addison's disease include lack of energy or motivation (fatigue), muscle weakness, low mood, loss of appetite and unintentional weight loss, increased thirst, dizziness, fainting, cramps, exhaustion, and development of darkened skin, lips, or gums."
1,What causes Addison's disease?,<noinput>,"Addison's disease is usually caused by a problem with the immune system attacking the adrenal glands. Other potential causes include conditions that can damage the adrenal glands, such as tuberculosis."
2,How is Addison's disease treated?,<noinput>,Addison's disease is treated with medicine to replace the missing hormones. Treatment needs to be taken for the rest of a person's life.
3,What should I do in case of an adrenal crisis?,<noinput>,"If you or someone you know has Addison's disease and is experiencing severe symptoms, it is necessary to administer a hydrocortisone injection immediately and call 999 for an ambulance."
4,Can Addison's disease be managed effectively?,<noinput>,"With treatment, most people with Addison's disease can live an active life with few limitations. However, bouts of fatigue and associated health conditions may need to be managed."
5,How common is Addison's disease in the UK?,<noinput>,"In the UK, about 9,000 people have Addison's disease, with over 300 new cases diagnosed each year."
6,What are the hormones produced by the adrenal glands?,<noinput>,The adrenal glands produce cortisol and aldosterone.
7,Is Addison's disease more common in men or women?,<noinput>,Addison's disease is more common in women than men.
8,What is the recommended treatment for Addison's disease?,<noinput>,"The recommended treatment for Addison's disease is the replacement of the missing hormones through medication, which needs to be taken for life."
9,Can Addison's disease be prevented?,<noinput>,"Currently, there are no known ways to prevent Addison's disease. It is usually the result of a problem with the immune system."
