,q,i,a
0,What are common symptoms of allergic rhinitis?,<noinput>,"Common symptoms of allergic rhinitis include sneezing, an itchy nose, a runny or blocked nose, itchy, red and watery eyes, a cough, and an itchy roof of the mouth. These symptoms usually occur within minutes of coming into contact with something you're allergic to."
1,What are the causes of allergic rhinitis?,<noinput>,"Allergic rhinitis is caused by an allergic reaction. Common allergies that can cause allergic rhinitis include pollen from trees, grass, and weeds (hay fever), house dust mites, animals such as dogs and cats, mould, wood dust, flour dust, and latex. Having a family history of allergies or conditions like eczema and asthma can also increase the likelihood of developing allergic rhinitis."
2,How can allergic rhinitis be treated without seeing a GP?,<noinput>,"Allergic rhinitis can often be treated without seeing a GP. You can try to avoid the things that trigger your allergies and consult a pharmacist for advice on medicines such as antihistamines, decongestant nasal sprays or drops, and salt water nasal sprays or solutions to rinse out your nose. It's important to follow the instructions and not use decongestants for children under 6 years old."
3,How can I clean my nose with a homemade salt water solution?,<noinput>,"To clean your nose with a homemade salt water solution, boil a pint of water, let it cool, and mix 1 teaspoon of salt and 1 teaspoon of bicarbonate of soda into the water. Wash your hands, cup the palm of one hand, and pour a small amount of the solution into it. Sniff the water into one nostril at a time, allowing it to pour back into the sink. Repeat up to 3 times a day with a new solution each time until your nose feels more comfortable."
4,When should I see a GP for allergic rhinitis?,<noinput>,"You should see a GP for allergic rhinitis if your symptoms worsen, if you have asthma and it's getting worse, if your symptoms are affecting your sleep and everyday life, or if treatments from a pharmacist are not working. It's also important to seek medical advice if you're unsure about the cause of your symptoms."
5,What treatments can a GP provide for allergic rhinitis?,<noinput>,"If pharmacy medicines do not help ease your allergic rhinitis symptoms, a GP may prescribe a different medicine, such as prescription steroid nasal sprays or antihistamines. In some cases, you may be referred to a specialist for further tests and treatment if the cause of your symptoms is unclear or if they are severe."
6,How can allergic rhinitis be prevented?,<noinput>,"While it may not always be possible to avoid the things you're allergic to, there are steps you can take to help reduce your symptoms. These include wearing wraparound sunglasses to protect your eyes from pollen, using hypoallergenic bedding and covers and washing bedding regularly at 60C and above, dusting with a damp cloth and using a vacuum with a HEPA filter, washing pets at least once every 2 weeks and grooming them outside regularly, washing your pet's bedding regularly, keeping your home dry and well-ventilated, and dealing with any damp and condensation."
7,Should I allow pets in bedrooms if I have allergic rhinitis?,<noinput>,"It is recommended not to allow pets in bedrooms if you have allergic rhinitis. This can help minimize exposure to pet dander, which can trigger allergic symptoms."
8,"During high pollen count, should I go outside or dry clothes outside?",<noinput>,"During high pollen count, it is advisable to avoid going outside or drying clothes outside if possible. This can help reduce your exposure to pollen and minimize allergic rhinitis symptoms."
9,Where can I find more information on living with allergies?,<noinput>,Allergy UK has more information on living with allergies. They can provide additional resources and support in managing allergic conditions.
0,What are the common symptoms of allergic rhinitis?,<noinput>,"The common symptoms of allergic rhinitis include sneezing, itchy nose, runny or blocked nose, itchy, red and watery eyes, cough, and itchy roof of the mouth."
1,What are the causes of allergic rhinitis?,<noinput>,"Allergic rhinitis is caused by an allergic reaction to common allergens such as pollen, house dust mites, animals, mold, wood dust, flour dust, and latex. Family history of allergies and conditions like eczema and asthma can increase the risk of developing allergic rhinitis."
2,How can I treat allergic rhinitis myself?,<noinput>,"You can often treat allergic rhinitis without seeing a GP. Try to avoid triggers, and consult a pharmacist for advice on antihistamines, decongestant nasal sprays, or salt water nasal rinses. Nasal sprays should not be used for more than a week."
3,How can I clean my nose with a homemade salt water solution?,<noinput>,"Boil a pint of water, then let it cool. Mix 1 teaspoon of salt and 1 teaspoon of bicarbonate of soda into the water. Wash your hands. Stand over a sink, pour a small amount of the solution into your cupped hand, and sniff it into one nostril at a time. Repeat up to 3 times a day."
4,When should I see a GP for allergic rhinitis?,<noinput>,"You should see a GP if your symptoms worsen, if you have asthma that is getting worse, if your symptoms affect your sleep and everyday life, or if treatments from a pharmacist are not working."
5,What treatments can a GP prescribe for allergic rhinitis?,<noinput>,"If pharmacy medicines do not help, a GP may prescribe prescription steroid nasal sprays or antihistamines. In severe cases or if the cause of symptoms is unclear, a specialist may be consulted for further tests and treatment."
6,How can I prevent allergic rhinitis?,<noinput>,"To help reduce symptoms, you can wear wraparound sunglasses, use hypoallergenic bedding and covers, wash bedding regularly at 60C, dust with a damp cloth and use a vacuum with a HEPA filter, wash pets regularly and keep their bedding clean, and maintain a dry and well-ventilated home."
7,What should I not do to prevent allergic rhinitis?,<noinput>,"To prevent allergic rhinitis, you should avoid allowing pets in bedrooms, going outside or drying clothes outside when the pollen count is high."
8,Where can I find more information on living with allergies?,<noinput>,Allergy UK has more information on living with allergies.
0,What are the common symptoms of allergic rhinitis?,<noinput>,"Common symptoms of allergic rhinitis are similar to a cold and include: sneezing, an itchy nose, a runny or blocked nose, itchy, red and watery eyes, a cough, and an itchy roof of your mouth."
1,What are the causes of allergic rhinitis?,<noinput>,"Allergic rhinitis is caused by an allergic reaction. Common allergies include: pollen from trees, grass, and weeds (hay fever), house dust mites, animals such as dogs and cats, mould, wood dust, flour dust, and latex."
2,How can allergic rhinitis be treated without seeing a GP?,<noinput>,"You can often treat allergic rhinitis without seeing a GP. Try to avoid the things that trigger your allergies. A pharmacist can advise you about medicines that can help, such as antihistamines, decongestant nasal sprays or drops, and salt water nasal sprays or solutions."
3,How do you clean your nose with a homemade salt water solution?,<noinput>,"To clean your nose with a homemade salt water solution, boil a pint of water and let it cool. Mix 1 teaspoon of salt and 1 teaspoon of bicarbonate of soda into the water. Stand over a sink, pour a small amount of the solution into the palm of your hand, sniff the water into 1 nostril at a time, and let it pour back into the sink. Repeat up to 3 times a day."
4,When should you see a GP for allergic rhinitis?,<noinput>,"You should see a GP if your allergic rhinitis symptoms worsen, if you also have worsening asthma, if your symptoms affect your sleep and everyday life, or if treatments from a pharmacist are not working."
5,What treatments for allergic rhinitis can a GP prescribe?,<noinput>,"If pharmacy medicines do not help ease your allergic rhinitis symptoms, a GP may prescribe a different medicine, such as prescription steroid nasal sprays or antihistamines. Further tests and treatment may be recommended by a specialist if the cause of your symptoms is unclear or if they are severe."
6,How can you prevent allergic rhinitis?,<noinput>,"If you have allergic rhinitis, you can take steps to reduce your symptoms. Wear wraparound sunglasses to protect your eyes from pollen, use hypoallergenic bedding and covers, dust with a damp cloth and vacuum with a HEPA filter, wash pets regularly and keep their bedding clean, keep your home dry and well-ventilated, and avoid allowing pets in bedrooms and going outside or drying clothes outside when the pollen count is high."
7,Where can I find more information on living with allergies?,<noinput>,Allergy UK has more information on living with allergies.
