,q,i,a
0,What are the two types of Androgen insensitivity syndrome (AIS)?,<noinput>,The two types of AIS are complete androgen insensitivity syndrome (CAIS) and partial androgen insensitivity syndrome (PAIS).
1,How do the genitals appear in a person with complete androgen insensitivity syndrome (CAIS)?,<noinput>,The genitals of a person with CAIS appear female.
2,How do the genitals appear in a person with partial androgen insensitivity syndrome (PAIS)?,<noinput>,The genitals of a person with PAIS may appear as female or male.
3,How is AIS caused?,<noinput>,AIS is caused by a genetic alteration that is passed along the female line to the child.
4,What happens when the body does not respond to testosterone in AIS?,<noinput>,"When the body does not respond to testosterone in AIS, the sex development of a typical male does not occur and the child's genitals may develop as female or be underdeveloped as male."
5,How is AIS diagnosed?,<noinput>,"AIS can be diagnosed through symptoms and medical evaluation, usually during puberty when periods do not start and pubic and underarm hair does not develop."
6,How are children with AIS supported?,<noinput>,Children with AIS and their parents are supported by a team of specialists who offer ongoing care and help understand the child's sex development.
7,What support may be offered to individuals with AIS?,<noinput>,Individuals with AIS may be offered psychological support to help them understand and cope with the diagnosis of AIS.
8,Do most children with AIS continue to identify with the gender they were raised as?,<noinput>,"Yes, most children with AIS continue to feel they are the gender they were raised with."
9,What does the National Congenital Anomaly and Rare Disease Registration Service (NCARDRS) do?,<noinput>,The NCARDRS helps scientists look for better ways to prevent and treat AIS by collecting information about children with AIS.
0,What are the types of Androgen Insensitivity Syndrome (AIS)?,<noinput>,The types of AIS are complete androgen insensitivity syndrome (CAIS) and partial androgen insensitivity syndrome (PAIS).
1,How do the genitals appear in a person with complete androgen insensitivity syndrome (CAIS)?,<noinput>,The genitals of a person with CAIS appear female.
2,How do the genitals appear in a person with partial androgen insensitivity syndrome (PAIS)?,<noinput>,The genitals of a person with PAIS may appear as female or male.
3,How is AIS caused?,<noinput>,AIS is caused by a genetic alteration that is passed along the female line to the child.
4,What is the chance of a child being born with AIS if the mother carries the genetic alteration?,<noinput>,There is a 1 in 4 chance that each child born to a woman who carries the genetic alteration will have AIS.
5,How is complete androgen insensitivity syndrome (CAIS) diagnosed?,<noinput>,"CAIS is often not diagnosed until puberty, when periods do not start and pubic and underarm hair does not develop."
6,How are children with AIS supported?,<noinput>,Children with AIS and their parents are supported by a team of specialists who offer ongoing care and help them understand their child's sex development.
7,What support and advice are offered to families dealing with AIS?,<noinput>,Families dealing with AIS are offered psychological support and advice on how to talk to their child about AIS at all ages. Support groups like DSD Families can also be helpful.
8,Do most children with complete androgen insensitivity syndrome (CAIS) grow up as girls?,<noinput>,"Yes, most children with CAIS are raised as girls."
9,What is the National Congenital Anomaly and Rare Disease Registration Service (NCARDRS)?,<noinput>,The NCARDRS is a service that helps scientists look for better ways to prevent and treat AIS by collecting information about individuals with the condition.
