,q,i,a
0,What is astigmatism?,<noinput>,"Astigmatism means your eye is shaped more like a rugby ball than a football, so light is focused at more than 1 place in the eye. This can cause blurred vision, headaches, and eye strain. It usually happens alongside short-sightedness or long-sightedness."
1,What are the treatments for astigmatism?,<noinput>,"There are several treatments for astigmatism. The options include glasses, contact lenses, and laser eye or lens surgery. Each treatment has its pros and cons, so it's important to discuss with your eye specialist which option is best for you."
0,What is astigmatism?,<noinput>,"Astigmatism means your eye is shaped more like a rugby ball than a football, so light is focused at more than 1 place in the eye. This can cause blurred vision, headaches, and eye strain."
1,What are the treatments for astigmatism?,<noinput>,"The treatments for astigmatism include glasses, contact lenses, and laser eye or lens surgery. Glasses are the cheapest option and may be available free or discounted on the NHS. Contact lenses offer more flexibility but may not be suitable for everyone. Laser eye or lens surgery is a more permanent solution but can be expensive and carries a risk of complications."
0,What is astigmatism?,<noinput>,"Astigmatism means your eye is shaped more like a rugby ball than a football, so light is focused at more than 1 place in the eye. This can cause blurred vision, headaches, and eye strain. It often occurs alongside short-sightedness or long-sightedness and may lead to lazy eye if not treated early."
1,How is astigmatism treated?,<noinput>,"There are different ways to correct astigmatism. Glasses are the cheapest option and can be obtained for free or at a reduced cost on the NHS. Contact lenses, either soft or hard, are another option. Laser eye or lens surgery is a more permanent solution, but it is not available on the NHS and can be expensive with potential side effects."
2,What are the pros and cons of using glasses to correct astigmatism?,<noinput>,"The pros of using glasses to correct astigmatism include being the cheapest option and the possibility of getting them for free or at a discounted price on the NHS. However, glasses can get lost or broken, and some people may find them inconvenient."
3,What are the pros and cons of using contact lenses to correct astigmatism?,<noinput>,"The pros of using contact lenses to correct astigmatism include the ability to choose between soft or hard lenses and the possibility of getting them for free or at a discounted price on the NHS. However, contact lenses may not be suitable for everyone and there is a risk of eye infection if proper hygiene is not maintained."
4,What are the pros and cons of undergoing laser eye or lens surgery to correct astigmatism?,<noinput>,"The pros of undergoing laser eye or lens surgery for astigmatism include the potential for a more permanent solution, especially for people with more severe vision problems. However, this type of surgery is not available on the NHS, can be expensive, and there is a risk of complications during or after the procedure, as well as potential side effects."
0,What is astigmatism?,<noinput>,"Astigmatism means your eye is shaped more like a rugby ball than a football, so light is focused at more than 1 place in the eye. This can cause blurred vision, headaches, and eye strain. Astigmatism usually occurs alongside short-sightedness or long-sightedness and may lead to lazy eye if not treated early."
1,What are the treatments for astigmatism?,<noinput>,"There are various treatments for astigmatism. The cheapest option is glasses, which may be available for free or at a discounted price on the NHS. Contact lenses are also an option, offering a choice of soft or hard lenses, and may be free or discounted on the NHS. Alternatively, laser eye or lens surgery is a more permanent solution, but it is not available on the NHS and can have risks and side effects."
2,What are the pros and cons of wearing glasses for astigmatism?,<noinput>,"Wearing glasses for astigmatism has several advantages. It is the cheapest option and may be available for free or at a discounted price on the NHS. However, there is a risk of glasses getting lost or broken."
3,What are the pros and cons of wearing contact lenses for astigmatism?,<noinput>,"Wearing contact lenses for astigmatism offers advantages such as a choice between soft or hard lenses and the potential for free or discounted options on the NHS. However, contact lenses may not be suitable for everyone and there is a risk of eye infection through poor contact lens hygiene."
4,What are the pros and cons of undergoing laser eye or lens surgery for astigmatism?,<noinput>,"Undergoing laser eye or lens surgery for astigmatism has the advantage of potentially providing a permanent solution. It may be a better choice for people with more severe vision problems. However, the surgery is not available on the NHS, can have risks and complications, and can be expensive. Additionally, there may be some side effects associated with the surgery."
0,What is astigmatism?,<noinput>,"Astigmatism means your eye is shaped more like a rugby ball than a football, so light is focused at more than 1 place in the eye. This can cause blurred vision, headaches, and eye strain. Astigmatism often occurs alongside short-sightedness or long-sightedness."
1,What are the treatments for astigmatism?,<noinput>,"The treatments for astigmatism include wearing glasses, using contact lenses, and considering laser eye or lens surgery. Glasses are the cheapest option and may be available for free or at a discounted price on the NHS. Contact lenses provide a choice between soft or hard lenses and may also be available for free or at a discounted price on the NHS. Laser eye or lens surgery is a more permanent solution but is not available on the NHS and can be expensive."
