,q,i,a
0,What are some ways to ease a black eye?,<noinput>,"You can gently hold an ice pack wrapped in a cloth to the area around your eye for 10 to 20 minutes at a time, take painkillers like paracetamol or ibuprofen, and apply a warm (not hot) heat pack or cloth regularly during the day."
1,When should I see a GP for a black eye?,<noinput>,You should see a GP if a black eye does not go away within 3 weeks.
2,What should I do if I have a black eye and a headache that won't go away?,<noinput>,You should ask for an urgent GP appointment or get help from NHS 111.
3,When should I go to A&E for a black eye?,<noinput>,"You should go to A&E if you can see blood in your eye, have an irregularly shaped pupil, lost consciousness after a head blow, have vision problems, or cannot move your eye."
4,What are some symptoms to look out for after getting a black eye?,<noinput>,"You should be concerned if you have blurry vision, warmness or pus around your eye, high temperature, or taking blood-thinning medicine or have a bleeding disorder."
5,How long does it usually take for a black eye to get better?,<noinput>,A black eye should get better within 2 to 3 weeks.
6,Is it safe to put ice directly on the skin for a black eye?,<noinput>,"No, you should not put ice directly on your skin for a black eye."
7,Can aspirin make the bruising from a black eye worse?,<noinput>,"Yes, aspirin can make the bruising from a black eye worse, so it should not be taken unless prescribed by a doctor."
8,What should I do if I have double vision and a black eye?,<noinput>,"You should go to A&E, as double vision along with a black eye can be a cause for concern."
9,What should I do if I see blood in my eye after getting a black eye?,<noinput>,You should go to A&E if you see blood in your eye after getting a black eye.
0,What can I do to ease a black eye?,<noinput>,"You can gently hold an ice pack wrapped in a cloth to the area around your eye, take painkillers, and apply a warm (not hot) heat pack or cloth to the area. Avoid taking aspirin and do not press or rub the area."
1,When should I see a GP for a black eye?,<noinput>,You should see a GP if the black eye does not go away within 3 weeks.
2,What should I do if I have a black eye and a headache that doesn't go away?,<noinput>,You should ask for an urgent GP appointment or get help from NHS 111.
3,What should I do if the area around my eye is warm and leaking pus?,<noinput>,You should ask for an urgent GP appointment or get help from NHS 111.
4,What should I do if I can see blood in my eye?,<noinput>,You should go to A&E immediately.
5,What should I do if I had a blow to the head and lost consciousness or have been sick?,<noinput>,You should go to A&E immediately.
6,What should I do if I have problems with my vision after a blow to the head?,<noinput>,You should go to A&E immediately.
7,What should I do if I'm taking blood-thinning medicine and have a black eye?,<noinput>,You should ask for an urgent GP appointment or get help from NHS 111.
8,What should I do if I cannot move my eye after a blow to the head?,<noinput>,You should go to A&E immediately.
9,What should I do if I have a black eye and a high temperature or feel hot and shivery?,<noinput>,You should ask for an urgent GP appointment or get help from NHS 111.
