,q,i,a
0,What is the most common symptom of bladder cancer?,<noinput>,The most common symptom of bladder cancer is blood in urine.
1,What should I do if I notice blood in my urine?,<noinput>,"If you notice blood in your urine, you should visit your GP to investigate the cause."
2,How is bladder cancer classified based on its spread?,<noinput>,Bladder cancer can be classified as non-muscle-invasive bladder cancer (early bladder cancer) or muscle-invasive bladder cancer (invasive bladder cancer).
3,What are the causes of bladder cancer?,<noinput>,"Bladder cancer is primarily caused by exposure to harmful substances, such as tobacco smoke and certain chemicals used in manufacturing."
4,How is non-muscle-invasive bladder cancer typically treated?,<noinput>,Non-muscle-invasive bladder cancer is usually treated with transurethral resection of a bladder tumour (TURBT) followed by chemotherapy medicines directly into the bladder.
5,What are the treatment options for high-risk non-muscle-invasive bladder cancer or muscle-invasive bladder cancer?,<noinput>,Treatment options for high-risk non-muscle-invasive bladder cancer or muscle-invasive bladder cancer include cystectomy (removal of the bladder) or a course of radiotherapy.
6,Who is more likely to be affected by bladder cancer?,<noinput>,"Bladder cancer is more common in older adults, with most new cases diagnosed in people aged 60 and above. It is also more common in men than in women."
7,How many people are diagnosed with bladder cancer every year in the UK?,<noinput>,"About 10,000 people are diagnosed with bladder cancer every year in the UK."
8,What is the 11th most common cancer in the UK?,<noinput>,Bladder cancer is the 11th most common cancer in the UK.
9,Why is bladder cancer more common in men?,<noinput>,"Bladder cancer is more common in men than in women, possibly due to higher smoking rates and past exposure to the manufacturing industry."
0,What are the symptoms of bladder cancer?,<noinput>,"The most common symptom of bladder cancer is blood in the urine, which is usually painless."
1,How is bladder cancer classified?,<noinput>,Bladder cancer can be classified as non-muscle-invasive bladder cancer (contained inside the lining of the bladder) or muscle-invasive bladder cancer (spread beyond the lining into the surrounding bladder muscle).
2,What are the causes of bladder cancer?,<noinput>,"Exposure to harmful substances, such as tobacco smoke and certain chemicals previously used in manufacturing, are common causes of bladder cancer."
3,What is the surgical technique used to remove bladder cancer?,<noinput>,Transurethral resection of a bladder tumour (TURBT) is the surgical technique used to remove bladder cancer cells while leaving the rest of the bladder intact.
4,What is the treatment for high-risk non-muscle-invasive bladder cancer?,<noinput>,Treatment for high-risk non-muscle-invasive bladder cancer may involve surgically removing the bladder in an operation known as a cystectomy.
5,What are the options for collecting urine after bladder removal surgery?,<noinput>,Possible options for collecting urine after bladder removal surgery include making an opening in the abdomen for an external bag or constructing a new bladder out of a section of bowel.
6,How common is bladder cancer?,<noinput>,"Bladder cancer affects about 10,000 people every year in the UK and it's the 11th most common cancer."
7,"Who is more affected by bladder cancer, men or women?",<noinput>,"Bladder cancer is more common in men than in women, possibly due to past smoking and work in the manufacturing industry."
8,What is the most common type of bladder cancer?,<noinput>,"Non-muscle-invasive bladder cancer is the most common type, where the cancerous cells are contained inside the lining of the bladder."
9,What is the rarest type of bladder cancer?,<noinput>,"The rarest type of bladder cancer is advanced or metastatic bladder cancer, where the cancer has spread to other parts of the body."
