,q,i,a
0,Why have braces?,<noinput>,"The purpose of orthodontic treatment is to make the best of your teeth by straightening them, improving your bite, and making it easier to care for your teeth and gums. Treatment with braces can also close gaps between teeth and correct the bite."
1,Are braces available on the NHS?,<noinput>,"Orthodontic treatment is available on the NHS for young people under the age of 18 if their dentist feels they need it. It's not usually available for adults, but exceptions may be made for health reasons."
2,What's the best age to have braces?,<noinput>,"The ideal age to have braces is usually around 12 or 13, while a child's mouth and jaws are still growing. However, it can vary and braces can be used at different ages."
3,How do I get braces fitted?,<noinput>,"If your dentist determines that you need braces, they will refer you to an orthodontist. It is important to consult with a registered specialist orthodontist for getting braces fitted."
4,What are braces like?,<noinput>,"Braces come in different types. NHS braces for under-18s are typically made of metal, but private options like clear ceramic braces and removable aligners are also available. The type of braces recommended for you will depend on your specific needs."
5,How successful are braces?,<noinput>,"Orthodontic treatment with braces is usually highly successful. However, it's important to follow the orthodontist's instructions and wear a retainer after the treatment to maintain the results."
6,What if my child is refused NHS braces?,<noinput>,"If you believe your child is being unfairly refused NHS braces, discuss your concerns with your dentist. If needed, you can also contact the NHS regional team in England for further assistance."
7,Can I have private treatment?,<noinput>,"Yes, private orthodontic treatment is widely available. However, it comes with a cost, usually around £2,500 or potentially higher depending on the specific treatment required."
8,What should I consider before getting braces?,<noinput>,"Before getting braces, it's important to have healthy teeth and gums. This is because you'll need to keep your teeth and braces clean to avoid tooth decay or gum disease. It's also important to follow the orthodontist's instructions for oral hygiene and dietary restrictions."
9,How long does orthodontic treatment with braces last?,<noinput>,"Orthodontic treatment with braces usually lasts between 12 months to 2 and a half years. Regular visits to the orthodontist are necessary, typically ranging from every 4 to 10 weeks."
0,Why have braces?,I have crooked teeth and want to improve my bite.,"The purpose of orthodontic treatment is to make the best of your teeth by straightening them, improving your bite, and making it easier to care for your teeth and gums. It can also improve your smile."
1,Are braces available on the NHS?,<noinput>,"Orthodontic treatment is available on the NHS for young people under the age of 18 at no cost, if a dentist feels they need it. For adults, it may be approved on a case-by-case basis for health reasons."
2,What's the best age to have braces?,<noinput>,"The ideal age to have braces is usually around 12 or 13, while a child's mouth and jaws are still growing. However, it can be done earlier or later as well."
3,How do I get braces fitted?,My dentist has referred me to an orthodontist.,"If your dentist feels you need braces, they will refer you to an orthodontist. Only registered specialists can be called a specialist orthodontist. Some dentists may also be trained to do orthodontic treatment."
4,What are braces like?,<noinput>,"There are different types of braces, including metal braces provided by the NHS for under-18s, as well as clear ceramic braces and removable aligners available privately. Learn more about braces on the orthodontic treatment page."
5,How successful are braces?,<noinput>,"Orthodontic treatment is usually very successful, but you need to stick with it to maintain the results. After treatment, you'll need to wear retainers to prevent your teeth from moving back. It's important to keep your teeth clean and watch what you eat during treatment."
6,What if my child is refused NHS braces?,<noinput>,"If you think your child is being unfairly refused NHS braces, discuss it with your dentist first. If you're still unhappy, contact your NHS regional team in England."
7,Can I have private treatment?,<noinput>,"Yes, private treatment is widely available. The fees for private orthodontic treatment can vary but are usually around £2,500 or more."
0,Why have braces?,<noinput>,"The purpose of orthodontic treatment is to make the best of your teeth. This includes straightening your teeth so you're able to care for your teeth and gums more easily, and improving your bite so you can eat more comfortably. And your smile will benefit, too."
1,Are braces available on the NHS?,<noinput>,"Orthodontic treatment is available on the NHS for young people under the age of 18 at no cost, if a dentist feels they need it. NHS orthodontic treatment isn't usually available for adults, but may be approved on a case-by-case basis if needed for health reasons."
2,What's the best age to have braces?,<noinput>,"The ideal age to have braces is usually around 12 or 13, while a child's mouth and jaws are still growing, but it can be earlier or later. The opportunity for improvement in an adult is more limited and treatment is likely to take longer."
3,How do I get braces fitted?,<noinput>,"Many children don't require a brace, but those who do need to be referred to an orthodontist by their dentist. By law, only registered specialists can call themselves a specialist orthodontist. Other dentists may have done extra training so they can also do orthodontic treatment."
4,What are braces like?,<noinput>,"There are many different types of brace. Some are fixed and stay in all the time. These are the standard brace for NHS treatment in under-18s. NHS braces are made of metal, but clear ceramic braces, which are less visible, are also available privately. Removable aligners (thin, clear, flexible plastic mouthguards) may also be available privately."
5,How successful are braces?,<noinput>,"Orthodontic treatment usually works very well, but you need to stick with it for it to be successful. You'll need to wear a retainer for some time after your treatment has finished to stop your teeth moving back to the position they were in before treatment."
6,What if my child is refused NHS braces?,<noinput>,"About two-thirds of children don't need orthodontic treatment. But if you think your child is being refused NHS treatment unfairly, you should discuss this with your dentist first. If you're still unhappy, contact your NHS regional team in England."
7,Can I have private treatment?,<noinput>,"Private treatment is widely available. Fees for private orthodontic treatment are usually around £2,500, but can be much higher."
