,q,i,a
0,What are the symptoms of bronchitis?,<noinput>,"Symptoms of bronchitis can include a cough, chest pain when coughing, shortness of breath, sore throat, runny nose, and high temperature."
1,What can I do to help with bronchitis?,<noinput>,"You can rest, drink plenty of fluids, take painkillers, add honey to warm drinks, cover your mouth and nose when coughing or sneezing, and wash your hands regularly. Do not smoke."
2,When should I seek urgent medical advice for bronchitis?,<noinput>,"Seek urgent GP appointment or call NHS 111 if you've had a cough for more than 3 weeks, cough up blood or blood-stained mucus, have chest pain, are over 65 or pregnant, have a long-term condition, have a weakened immune system, or feel very unwell."
3,When should I call 999 for bronchitis?,<noinput>,"Call 999 if you are struggling to breathe, have pale, blue or blotchy skin, suddenly feel confused, or are unable to wake your baby."
4,How long does bronchitis usually last?,<noinput>,Bronchitis usually clears up without treatment in around 3 weeks.
5,Do I need antibiotics for bronchitis?,<noinput>,You may need antibiotics if your bronchitis is caused by a bacterial infection. See a GP if your symptoms last longer than 3 weeks.
6,Can bronchitis lead to chronic obstructive pulmonary disease (COPD)?,<noinput>,"Yes, some people who have long-term inflammation of the airways in the lungs called chronic bronchitis can develop COPD."
7,Is it safe to give honey to babies under 1 with bronchitis?,<noinput>,"No, avoid giving honey to babies under 1 with bronchitis to reduce the risk of infant botulism."
8,What should I do if I have bronchitis but also a high temperature?,<noinput>,"Stay at home, rest, drink plenty of fluids, and take painkillers like paracetamol or ibuprofen to help with pain and bring down the high temperature."
9,What precautions should I take to reduce the risk of spreading infections if I have bronchitis?,<noinput>,Cover your mouth and nose with a tissue when you cough or sneeze and put used tissues in the bin as quickly as possible. Wash your hands regularly with water and soap.
0,What are the symptoms of bronchitis?,<noinput>,"Symptoms of bronchitis include a cough, chest pain when coughing, shortness of breath, sore throat, runny nose, and high temperature."
1,What can I do to help with bronchitis?,<noinput>,"To help with bronchitis, you can get plenty of rest, drink plenty of fluids, take painkillers like paracetamol or ibuprofen, add honey to warm drinks to soothe your throat, cover your mouth and nose when coughing or sneezing, and wash your hands regularly. It is important to avoid smoking."
2,When should I seek urgent medical advice for bronchitis?,<noinput>,"You should seek urgent medical advice if you have had a cough for more than 3 weeks, cough up blood or blood-stained mucus, have chest pain that comes and goes, are over 65 or pregnant, have a long-term condition or weakened immune system, or if you feel very unwell."
3,What should I do if I am struggling to breathe?,<noinput>,"If you are struggling to breathe, it is important to call 999 immediately. This is especially true if you are choking, gasping, unable to speak, have pale or blue skin, suddenly feel confused, or are unable to wake a baby."
4,How long does bronchitis usually last?,<noinput>,"Bronchitis usually clears up without treatment in around 3 weeks. If symptoms last longer than 3 weeks, it is advisable to see a GP."
5,Can bronchitis be caused by a bacterial infection?,<noinput>,"Yes, bronchitis can be caused by a bacterial infection. In such cases, antibiotics may be needed for treatment."
6,Can I give honey to babies with bronchitis?,<noinput>,"No, honey should not be given to babies under 1 year old."
7,What is chronic bronchitis?,<noinput>,Chronic bronchitis is a long-term inflammation of the airways in the lungs. It is a form of chronic obstructive pulmonary disease (COPD).
8,What should I avoid doing if I have bronchitis?,<noinput>,"If you have bronchitis, it is important to avoid smoking."
9,What can I do to reduce the risk of spreading infection while having bronchitis?,<noinput>,"To reduce the risk of spreading infection while having bronchitis, you should cover your mouth and nose when coughing or sneezing, put used tissues in the bin as quickly as possible, and wash your hands regularly with water and soap."
