,q,i,a
0,What are the main ways to catch brucellosis?,<noinput>,"Brucellosis is mainly caught by drinking unpasteurised milk, eating dairy products made from unpasteurised milk, eating raw or undercooked meat, or from contact with bodily fluids of farm animals."
1,What are the symptoms of brucellosis?,<noinput>,"Symptoms of brucellosis include high temperature, loss of appetite, sweating, headaches, extreme tiredness, back and joint pain."
2,When should I see a GP if I have symptoms of brucellosis?,"If you have symptoms of brucellosis and have had unpasteurised milk or dairy products, eaten raw or undercooked meat, or work closely with farm animals, you should see a GP.","You should see a GP if you have symptoms of brucellosis and have had unpasteurised milk or dairy products, eaten raw or undercooked meat, or work closely with farm animals. Also, inform your GP if you have recently travelled overseas."
3,How is brucellosis diagnosed?,<noinput>,Brucellosis is usually diagnosed using a blood test.
4,How is brucellosis treated?,<noinput>,Brucellosis is treated with a course of antibiotics for at least 6 weeks. It's important to finish the entire course.
5,Will brucellosis come back after treatment?,<noinput>,"After completing the treatment, you should make a full recovery and the infection is unlikely to return."
6,What can I do to avoid getting brucellosis?,<noinput>,"To reduce your chances of getting brucellosis, avoid contact with livestock and wild animals in places where brucellosis is a problem. Wear protective clothing when working with animals and put a plaster on any wounds before touching animals. Also, do not drink unpasteurised milk, eat dairy products made from unpasteurised milk, or eat raw or undercooked meat."
7,What should I do if I suspect I have brucellosis?,<noinput>,"Brucellosis is a notifiable animal disease. If you suspect you or someone you know has it, you must report it immediately by calling the Defra Rural Services Helpline on 03000 200 301."
0,How do you catch brucellosis?,<noinput>,Brucellosis is mainly caught by drinking unpasteurised milk or eating dairy products made from unpasteurised milk. It can also be caught from eating raw or undercooked meat or by contact with bodily fluids of farm animals.
1,What are the symptoms of brucellosis?,<noinput>,"Symptoms of brucellosis are similar to flu and may include high temperature, loss of appetite, sweating, headaches, extreme tiredness, and back and joint pain."
2,When should you see a GP if you have symptoms of brucellosis?,"See a GP if you have symptoms of brucellosis and you've had unpasteurised milk or dairy products, or eaten raw or undercooked meat.","You should see a GP if you have symptoms of brucellosis and have had unpasteurised milk or dairy products, or eaten raw or undercooked meat."
3,How is brucellosis treated?,<noinput>,Brucellosis is usually diagnosed using a blood test and is treated with a course of antibiotics for at least 6 weeks. It's important to finish the entire course of antibiotics.
4,How can you avoid getting brucellosis?,<noinput>,"To reduce your chances of getting brucellosis, avoid contact with livestock and wild animals, wear protective clothing when working with animals, and do not consume unpasteurised milk, dairy products made from unpasteurised milk, or raw or undercooked meat."
5,Is there a human vaccine against brucellosis?,<noinput>,"No, there is no human vaccine against brucellosis."
6,What should you do if you suspect you have brucellosis?,<noinput>,"Brucellosis is a notifiable animal disease. If you suspect you have it, you must report it immediately by calling the Defra Rural Services Helpline on 03000 200 301."
0,What are the ways to catch brucellosis?,<noinput>,"Brucellosis is mainly caught by drinking unpasteurised milk, eating dairy products made from unpasteurised milk, eating raw or undercooked meat, or coming into contact with bodily fluids of farm animals."
1,What are the symptoms of brucellosis?,<noinput>,"Symptoms of brucellosis include a high temperature, loss of appetite, sweating, headaches, extreme tiredness, and back and joint pain."
2,When should I see a GP if I have symptoms of brucellosis?,"If you have symptoms of brucellosis and you've had unpasteurised milk or dairy products, eaten raw or undercooked meat, or work closely with farm animals.","You should see a GP and inform them about your exposure to the risk factors, as well as any recent travel overseas."
3,How is brucellosis treated?,<noinput>,Brucellosis is usually diagnosed with a blood test and treated with a course of antibiotics for at least 6 weeks. It's important to complete the full course of treatment.
4,How can I prevent getting brucellosis?,<noinput>,"To reduce your chances of getting brucellosis, avoid contact with livestock and wild animals in affected areas, wear protective clothing if working with animals, and do not consume unpasteurised milk, dairy products made from unpasteurised milk, or raw/undercooked meat."
5,Is there a human vaccine for brucellosis?,<noinput>,"No, there is no human vaccine available for brucellosis."
6,What should I do if I suspect brucellosis?,<noinput>,"Brucellosis is a notifiable animal disease. If you suspect you or someone you know has it, you must report it immediately by calling the Defra Rural Services Helpline on 03000 200 301."
7,Is brucellosis common in the UK?,<noinput>,"No, brucellosis is extremely rare in the UK."
8,Can brucellosis be transmitted between people?,<noinput>,It is very rare to catch brucellosis from other people.
9,Will brucellosis come back after treatment?,<noinput>,"After completing the full course of treatment, it is unlikely for brucellosis to return."
