,q,i,a
0,What are the main types of cardiovascular disease?,<noinput>,"The main types of cardiovascular disease are coronary heart disease, strokes and TIAs, peripheral arterial disease, and aortic disease."
1,What are the symptoms of a stroke?,<noinput>,"The main symptoms of a stroke can be remembered with the word FAST, which stands for Face drooping, Arm weakness, Speech difficulty, and Time to call emergency services."
2,What are the symptoms of peripheral arterial disease?,<noinput>,"The symptoms of peripheral arterial disease include leg pain, hair loss on the legs and feet, numbness or weakness in the legs, and persistent ulcers on the feet and legs."
3,What is an aortic aneurysm?,<noinput>,"An aortic aneurysm is a condition where the aorta becomes weakened and bulges outwards. It usually doesn't have any symptoms, but there is a risk of it bursting and causing life-threatening bleeding."
4,What are the risk factors for cardiovascular disease?,<noinput>,"The risk factors for cardiovascular disease include high blood pressure, smoking, high cholesterol, diabetes, inactivity, being overweight or obese, family history of CVD, ethnic background, age, gender, unhealthy diet, and excessive alcohol consumption."
5,How can I lower my risk of cardiovascular disease?,<noinput>,"To lower your risk of cardiovascular disease, you should stop smoking, have a balanced diet, exercise regularly, maintain a healthy weight, cut down on alcohol, and follow any medication recommendations from your doctor."
6,"What should I include in a healthy, balanced diet for a healthy heart?",<noinput>,"A healthy, balanced diet for a healthy heart should include low levels of saturated fat, low levels of salt, low levels of sugar, plenty of fibre and wholegrain foods, and plenty of fruits and vegetables."
7,How much exercise should I do to prevent cardiovascular disease?,<noinput>,"Adults are advised to do at least 150 minutes of moderate activity, such as cycling or brisk walking, per week to prevent cardiovascular disease."
8,What is the recommended alcohol limit to reduce the risk of cardiovascular disease?,<noinput>,The recommended alcohol limit to reduce the risk of cardiovascular disease is 14 alcohol units per week for both men and women. It is also important to spread the drinking over 3 days or more.
9,When should statins be recommended for reducing the risk of cardiovascular disease?,<noinput>,Statins may be recommended to reduce the risk of cardiovascular disease if you have a particularly high risk due to high blood cholesterol. Your doctor can provide guidance on whether statins are suitable for you.
0,What are the main types of cardiovascular disease?,<noinput>,"The main types of cardiovascular disease are coronary heart disease, strokes and TIAs, peripheral arterial disease, and aortic disease."
1,What are the symptoms of a stroke?,<noinput>,"The main symptoms of a stroke can be remembered with the word FAST, which stands for: Face drooping, Arm weakness, Speech difficulty, Time to call emergency services."
2,How is peripheral arterial disease characterized?,<noinput>,"Peripheral arterial disease is characterized by dull or cramping leg pain, hair loss on the legs and feet, numbness or weakness in the legs, and persistent ulcers on the feet and legs."
3,What is an aortic aneurysm?,<noinput>,"An aortic aneurysm is a condition where the aorta becomes weakened and bulges outwards. It usually doesn't have any symptoms, but it carries the risk of bursting and causing life-threatening bleeding."
4,What are the risk factors for cardiovascular disease?,<noinput>,"The risk factors for cardiovascular disease include high blood pressure, smoking, high cholesterol, diabetes, inactivity, being overweight or obese, having a family history of CVD, and certain ethnic backgrounds."
5,How can high blood pressure contribute to cardiovascular disease?,<noinput>,"If your blood pressure is too high, it can damage your blood vessels and increase your risk of developing cardiovascular disease."
6,What are the effects of smoking on cardiovascular health?,<noinput>,"Smoking is a significant risk factor for cardiovascular disease, as the harmful substances in tobacco can damage and narrow your blood vessels."
7,How does high cholesterol increase the risk of developing cardiovascular disease?,<noinput>,"High cholesterol can cause your blood vessels to narrow and increase your risk of developing a blood clot, which can lead to cardiovascular disease."
8,How does diabetes affect the risk of developing cardiovascular disease?,<noinput>,"Diabetes can damage the blood vessels, making them more likely to become narrowed, increasing the risk of cardiovascular disease. People with type 2 diabetes who are overweight or obese are at a higher risk."
9,What lifestyle changes can help prevent cardiovascular disease?,<noinput>,"A healthy lifestyle can lower the risk of cardiovascular disease. This includes quitting smoking, maintaining a healthy diet, regular exercise, maintaining a healthy weight, and limiting alcohol consumption."
