,q,i,a
0,What are the symptoms of catarrh?,<noinput>,"Symptoms of catarrh include a constantly blocked nose, feeling like there's a lump or something stuck in your throat, a frequent need to swallow or cough to try to clear your throat, a feeling that mucus is slowly dripping down the back of your throat (postnasal drip), and a crackling feeling in your ears."
1,How long do the symptoms of catarrh usually last?,<noinput>,"These symptoms usually only last a few days, but sometimes they can last longer."
2,What can I do to help ease catarrh?,<noinput>,"You can drink plenty of water, sip ice-cold water when you need to clear your throat, try using a humidifier to help loosen the mucus in your nose and throat, try using an extra pillow in bed to sleep in a more upright position, gargle with saltwater, and rinse your nose with a homemade saltwater solution."
3,How do I rinse my nose with a homemade saltwater solution?,<noinput>,"Boil a pint of water, then leave it to cool. Mix 1 teaspoon of salt and 1 teaspoon of bicarbonate of soda into the water. Stand over a sink, cup the palm of 1 hand and pour a small amount of the solution into it. Sniff the water into 1 nostril at a time, breathe through your mouth, and allow the water to pour back into the sink. Repeat up to 3 times a day until your nose feels more comfortable."
4,What can a pharmacist help with regarding catarrh?,<noinput>,"A pharmacist can help with catarrh by providing decongestants and other medicines to relieve catarrh, as well as saltwater nose rinses."
5,When should I see a GP for catarrh?,<noinput>,"You should see a GP if you have the symptoms of catarrh for more than a few weeks, as they may want to rule out other conditions that could be causing your catarrh, such as nasal polyps."
6,What treatments can a GP suggest for catarrh?,<noinput>,"A GP may suggest trying treatments for catarrh that you can get from a pharmacist, like decongestant medicines and saltwater nose rinses. If your catarrh is caused by nasal polyps, a GP may prescribe steroid spray or nose drops, and in some cases, surgery may be needed to remove the polyps."
7,What are the causes of catarrh?,<noinput>,"Causes of catarrh include infections like cold, flu, and sinusitis, pollution and cigarette smoke, allergic reactions to things like pollen, dust, and pet fur, and conditions that affect the nose, such as nasal polyps."
8,Can catarrh be harmful?,<noinput>,"Although catarrh can be annoying, phlegm and mucus are not harmful and are the body's way of clearing infection. It usually goes away by itself."
9,How long should I try the home remedies for catarrh before seeking medical help?,<noinput>,"You can try the home remedies for catarrh, such as drinking plenty of water, using a humidifier, and rinsing your nose with saltwater, for a few days. If the symptoms persist, it's advisable to seek medical help."
0,What are the symptoms of catarrh?,<noinput>,"Symptoms of catarrh include a constantly blocked nose, feeling like there's a lump or something stuck in your throat, a frequent need to swallow or cough to try to clear your throat, a feeling that mucus is slowly dripping down the back of your throat (postnasal drip), and a crackling feeling in your ears."
1,What can I do to help ease catarrh?,<noinput>,"To help ease catarrh, you can drink plenty of water, sip ice cold water when you need to clear your throat, try using a humidifier to help loosen the mucus in your nose and throat, use an extra pillow in bed to sleep in a more upright position, gargle with salt water, and rinse your nose with a homemade salt water solution."
2,How do I rinse my nose with a homemade salt water solution?,<noinput>,"To rinse your nose with a homemade salt water solution, boil a pint of water and let it cool. Mix 1 teaspoon of salt and 1 teaspoon of bicarbonate of soda into the water. Stand over a sink, cup the palm of one hand, pour a small amount of the solution into it, sniff the water into one nostril at a time, breathe through your mouth, and allow the water to pour back into the sink. Repeat up to 3 times a day."
3,What can a pharmacist help with regarding catarrh?,<noinput>,"A pharmacist can help with catarrh by providing decongestants and other medicines to relieve symptoms, as well as salt water nose rinses."
4,When should I see a GP for catarrh?,<noinput>,"You should see a GP if you have the symptoms of catarrh for more than a few weeks. The GP may want to rule out other conditions that could be causing your catarrh, such as nasal polyps."
5,What treatments can a GP suggest for catarrh?,<noinput>,"A GP can suggest trying treatments for catarrh that you can get from a pharmacist, such as decongestant medicines and salt water nose rinses. If catarrh is caused by nasal polyps, a GP may prescribe a steroid spray or nose drops, and surgery may be needed to remove the polyps if these treatments don't work."
6,What are the causes of catarrh?,<noinput>,"Causes of catarrh include infections like cold, flu, and sinusitis, pollution and cigarette smoke, allergic reactions to things like pollen, dust, and pet fur, and conditions that affect the nose, such as nasal polyps."
7,Can catarrh be harmful?,<noinput>,"Although catarrh can be annoying, phlegm and mucus are not harmful and are the body's way of clearing infection."
8,How long does catarrh usually last?,<noinput>,"Catarrh usually lasts a few days, but sometimes it can last longer. If it lasts longer than a few weeks, it's recommended to see a GP."
9,What are the symptoms of nasal polyps?,<noinput>,"Symptoms of nasal polyps include a constantly blocked nose, reduced sense of smell, nasal congestion, postnasal drip, facial pain or pressure, and snoring."
