,q,i,a
0,What are the main symptoms of a cluster headache?,<noinput>,"The main symptoms of a cluster headache include a sharp, burning or piercing pain usually on one side of the head, headaches that happen at the same time of year or at set times of the day, headaches that start and stop quickly, and pain that can make you feel restless."
1,When should I see a GP for cluster headaches?,<noinput>,"You should see a GP if you think you might have cluster headaches, if painkillers do not help your headaches, if your headaches are so painful they make you restless and agitated, or if you've been diagnosed with cluster headaches and they're getting worse or lasting longer than usual."
2,What are the urgent signs for cluster headaches?,<noinput>,"If you have a severe headache along with symptoms like jaw pain when eating, blurred or double vision, a sore scalp, or numbness or weakness in the arms or legs, it's important to get an urgent GP appointment or call 111."
3,What should I do if I have severe symptoms for the first time?,<noinput>,"If you have severe symptoms for the first time, such as one of your eyelids drooping or one pupil smaller than the other, you should call 999 or go to A&E immediately."
4,Are there any specific tests to diagnose cluster headaches?,<noinput>,There are no specific tests to diagnose cluster headaches. A GP will ask you about your symptoms and may refer you to a specialist for a brain scan to rule out other possible causes.
5,What treatments are recommended for cluster headaches?,<noinput>,"There is no cure for cluster headaches, but treatments that may help include triptans, oxygen therapy, and using a device to give mild electrical pulses to the back of the neck. In rare cases, surgery may be offered as a last resort."
6,Can cluster headaches be prevented?,<noinput>,"Your GP may prescribe medicines such as corticosteroids, verapamil, or lithium to help prevent cluster headaches. It is also helpful to identify and avoid common triggers."
7,What are the possible causes of cluster headaches?,<noinput>,"It's not known what causes cluster headaches, but they're more common in men in their 30s and 40s. Certain triggers, such as smoking, drinking alcohol, perfumes, and exercise, may contribute to cluster headaches."
8,Where can I find more information about cluster headaches?,<noinput>,You can find more information about cluster headaches from OUCH UK and The Migraine Trust.
0,What are the main symptoms of a cluster headache?,<noinput>,"The main symptoms of a cluster headache include: a sharp, burning or piercing pain usually on one side of the head, headaches that happen at the same time of year or at set times of the day, headaches that start and stop quickly without warning, and pain that can make you feel restless."
1,When should I see a GP for cluster headaches?,<noinput>,"You should see a GP if you think you might have cluster headaches, your headaches keep coming back, painkillers such as ibuprofen and paracetamol do not help your headaches, your headaches are so painful they make you restless and agitated, or you've been diagnosed with cluster headaches and they're getting worse."
2,What should I do if I experience severe symptoms with my headache?,<noinput>,"If you experience severe symptoms with your headache such as jaw pain when eating, blurred or double vision, a sore scalp, or numbness or weakness in the arms or legs, you should get an urgent GP appointment or call 111."
3,Is there a cure for cluster headaches?,<noinput>,"There is no cure for cluster headaches, but treatments can help ease and prevent symptoms."
4,What are the treatments for cluster headaches?,<noinput>,"Treatments for cluster headaches include medicines called triptans, oxygen therapy, using a device to give mild electrical pulses to the back of the neck, and in rare cases, surgery."
5,What can I do to prevent a cluster headache?,<noinput>,"To prevent a cluster headache, your GP may prescribe medicines such as corticosteroids, verapamil, or lithium. It is also helpful to identify and avoid common triggers."
6,Who is more likely to get cluster headaches?,<noinput>,"Cluster headaches are more common in men in their 30s and 40s, or if you have a close family member who gets them."
7,What are some common triggers for cluster headaches?,<noinput>,"Some common triggers for cluster headaches include smoking, drinking alcohol, perfumes, the smell of paint, nail varnish, or petrolex, and exercise."
8,What organizations can I find more information about cluster headaches?,<noinput>,You can find more information about cluster headaches from OUCH UK and The Migraine Trust.
9,Are there any specific tests to diagnose cluster headaches?,<noinput>,"There are no specific tests to diagnose cluster headaches. A GP will ask you about the pain, location, and frequency of your headaches, as well as any other symptoms you may be experiencing."
0,What are the main symptoms of a cluster headache?,<noinput>,"The main symptoms of a cluster headache include a sharp, burning or piercing pain usually on one side of the head, headaches that happen at the same time of year or at set times of the day, headaches that start and stop quickly without warning, pain that can make you feel restless and want to move your body, and headaches that last between 15 minutes and 3 hours. Other symptoms may include a red and watering eye, feeling sick, drooping and swelling in the eyelid, a smaller pupil, face sweating, and a blocked or runny nose."
1,How can I differentiate cluster headaches from migraines?,<noinput>,"Cluster headaches have some common symptoms with migraines, such as severe headaches, but they have distinct features like headaches that occur at the same time of year or set times of the day, pain that starts and stops quickly, and shorter duration of headaches compared to migraines. To confirm the diagnosis, it is always best to consult a healthcare professional."
2,What should I do if I think I have cluster headaches?,<noinput>,"If you suspect you have cluster headaches, it is recommended to see a GP for further evaluation and diagnosis. They can provide guidance and suggest appropriate treatments for relief."
3,What should I do if painkillers like ibuprofen and paracetamol do not help with my cluster headaches?,<noinput>,"If painkillers like ibuprofen and paracetamol do not provide relief for your cluster headaches, it is advised to consult a GP for alternative treatments and solutions."
4,When should I seek urgent medical attention for my cluster headaches?,<noinput>,"If you experience severe headaches along with jaw pain when eating, blurred or double vision, a sore scalp, or other symptoms such as numbness or weakness in the arms or legs, it is recommended to get an urgent GP appointment or call 111 for immediate medical advice."
5,What happens during an appointment for cluster headaches?,<noinput>,"During an appointment for cluster headaches, a GP will ask you about the pain, location, and frequency of your headaches. They may also inquire about any other symptoms you are experiencing. In some cases, a GP may refer you to a specialist for a brain scan to rule out other possible causes."
6,What are the treatments available for cluster headaches?,<noinput>,"Although there is no cure for cluster headaches, treatments can be recommended to help ease and prevent symptoms. These may include medications called triptans, oxygen therapy, or using a device to deliver mild electrical pulses to the back of the neck. In rare cases, surgery may be considered if other treatments are ineffective."
7,What are the possible causes of cluster headaches?,<noinput>,"The exact causes of cluster headaches are unknown. They are more common in men in their 30s and 40s, and there may be a genetic component if you have a close family member who also experiences them. Certain triggers such as smoking, alcohol consumption, perfume, the smell of paint or nail varnish, exercise, or exposure to petrol can also contribute to cluster headaches."
8,Where can I find more information about cluster headaches?,<noinput>,You can find more information about cluster headaches from OUCH UK and The Migraine Trust.
