,q,i,a
0,What are the symptoms of contact dermatitis?,<noinput>,"Contact dermatitis causes the skin to become itchy, blistered, dry, and cracked. Lighter skin can become red, while darker skin can become dark brown, purple, or grey. These symptoms can occur on any part of the body, but are most common on the hands and face."
1,When should I see a pharmacist for contact dermatitis?,<noinput>,You should see a pharmacist if your contact dermatitis is bothering you. They can recommend treatments such as emollients (moisturizers) to prevent your skin from becoming dry.
2,When should I see a GP for contact dermatitis?,<noinput>,"You should see a GP if you have persistent, recurrent, or severe symptoms of contact dermatitis. They can help identify the cause and suggest appropriate treatments. If the cause cannot be identified or if your symptoms do not respond to treatment, they may refer you to a dermatologist for further tests."
3,What are the causes of contact dermatitis?,<noinput>,"Contact dermatitis can be caused by irritants that directly damage the outer layer of skin, or allergens that trigger an immune response affecting the skin. Common causes include soaps, detergents, solvents, water, cosmetics, metals like nickel, and handling raw fruits/vegetables."
4,How is contact dermatitis treated?,<noinput>,"If you can avoid the irritants or allergens that trigger your symptoms, your skin will eventually clear up. However, if that's not possible, you may be advised to use emollients to prevent dryness and corticosteroids to relieve severe symptoms. Oral corticosteroids are rare and only prescribed in severe cases."
5,How can contact dermatitis be prevented?,<noinput>,"The best way to prevent contact dermatitis is to avoid contact with the allergens or irritants that cause your symptoms. If contact is unavoidable, you can reduce the risk by cleaning your skin after exposure, using gloves to protect your hands (with breaks to avoid sweating), changing products that irritate your skin, and applying emollients frequently."
6,What are some other types of eczema?,<noinput>,"Other types of eczema include atopic eczema, which is the most common type and often runs in families; discoid eczema, which appears as circular or oval patches; and varicose eczema, which primarily affects the lower legs due to blood flow problems."
7,Can contact dermatitis be completely cured?,<noinput>,"If you can avoid the substance causing contact dermatitis, your skin will eventually clear up. However, complete cure may not be possible in all cases. Treatment focuses on managing and reducing symptoms."
8,Are there any over-the-counter treatments available for contact dermatitis?,<noinput>,"Yes, there are over-the-counter treatments available for contact dermatitis. Pharmacists can recommend emollients (moisturizers) to prevent dryness and suggest other non-prescription options to help ease the symptoms."
9,Is contact dermatitis contagious?,<noinput>,"No, contact dermatitis is not contagious. It is a skin condition caused by irritants or allergens, and cannot be transmitted from person to person."
0,What are the symptoms of contact dermatitis?,<noinput>,"Contact dermatitis causes the skin to become itchy, blistered, dry, and cracked. Lighter skin can become red, and darker skin can become dark brown, purple, or grey. This reaction usually occurs within a few hours or days of exposure to an irritant or allergen."
1,When should I see a pharmacist for contact dermatitis?,<noinput>,"You should see a pharmacist if your contact dermatitis is troubling you. They can recommend treatments such as emollients(moisturizers), which you rub on your skin to stop it from becoming dry."
2,When should I see a GP for contact dermatitis?,<noinput>,"You should see a GP if you have persistent, recurrent, or severe symptoms of contact dermatitis. They can try to identify the cause and suggest appropriate treatments."
3,What are the causes of contact dermatitis?,<noinput>,"Contact dermatitis can be caused by irritants, which directly damage the outer layer of skin, or allergens, which cause the immune system to respond in a way that affects the skin. The most common cause is irritants such as soaps and detergents, solvents, or regular contact with water."
4,How is contact dermatitis treated?,<noinput>,"If you can successfully avoid the irritants or allergens that trigger your symptoms, your skin will eventually clear up. However, if that's not possible, you may also be advised to use emollients(moisturizers) applied to the skin to stop it from becoming dry or topical corticosteroids, which are steroid ointments and creams applied to the skin to relieve severe symptoms."
5,How can contact dermatitis be prevented?,<noinput>,"The best way to prevent contact dermatitis is to avoid contact with the allergens or irritants that cause your symptoms. If you cannot avoid contact, you can take steps such as cleaning your skin, using gloves to protect your hands, changing products that irritate your skin, and applying emollients frequently and in large amounts to keep your skin hydrated and help protect it from allergens and irritants."
6,What are other types of eczema?,<noinput>,"Other types of eczema include atopic eczema(also called atopic dermatitis), which is the most common type and is often linked to other conditions such as asthma and hay fever, discoid eczema, which causes circular or oval patches of eczema on the skin, and varicose eczema, which mostly affects the lower legs and is caused by problems with the flow of blood through the leg veins."
7,What is atopic eczema?,<noinput>,"Atopic eczema, also called atopic dermatitis, is the most common type of eczema. It often runs in families and is linked to other conditions such as asthma and hay fever."
8,What is discoid eczema?,<noinput>,Discoid eczema causes circular or oval patches of eczema on the skin.
9,What is varicose eczema?,<noinput>,Varicose eczema mostly affects the lower legs and is caused by problems with the flow of blood through the leg veins.
