,q,i,a
0,What is a coronary artery bypass graft (CABG)?,<noinput>,A coronary artery bypass graft (CABG) is a surgical procedure used to treat coronary heart disease by diverting blood around narrowed or clogged arteries to improve blood flow and oxygen supply to the heart.
1,Why is a coronary artery bypass graft carried out?,<noinput>,"A coronary artery bypass graft is carried out to improve the blood supply to the heart in people with coronary heart disease, who may experience chest pain or angina, and to reduce the risk of heart attacks."
2,What does the procedure of a coronary artery bypass graft involve?,<noinput>,"A coronary artery bypass graft involves taking a blood vessel from another part of the body and attaching it to the coronary artery to bypass narrowed or blocked areas, improving blood flow."
3,How long does it usually take to recover after a coronary artery bypass graft?,<noinput>,"Recovery time varies, but most people stay in the hospital for about 6 to 8 days after the surgery. It takes time to recover, and activities like sitting in a chair or walking may be gradually resumed within a few days to a week. Full recovery typically takes about 12 weeks."
4,What are the risks of a coronary artery bypass graft?,<noinput>,"Although there are usually relatively minor and treatable complications like an irregular heartbeat or wound infection, there is also a risk of serious complications such as a stroke or heart attack."
5,What lifestyle changes should be made after a coronary artery bypass graft?,<noinput>,"To prevent the grafted arteries from becoming narrowed again, it is important to make lifestyle changes such as eating a healthy diet and exercising regularly. Without these changes, the benefits of the surgery may not be long-lasting."
6,What is the main alternative to a coronary artery bypass graft?,<noinput>,"A coronary angioplasty is the main alternative, where a catheter is used to widen the arteries and a stent is often placed to help keep them open. It is a less invasive procedure than a bypass graft but may have a higher chance of needing to be repeated."
7,How long is the typical waiting time for a coronary artery bypass graft?,<noinput>,The waiting time for a coronary artery bypass graft varies depending on the area. It is best to consult your GP or cardiac surgeon who can provide information on waiting lists in your specific area.
8,What is the purpose of a heart bypass surgery?,<noinput>,"The purpose of a heart bypass surgery, or coronary artery bypass graft (CABG), is to improve blood flow to the heart by bypassing blocked or narrowed arteries, relieving symptoms like chest pain and reducing the risk of heart attacks."
9,Is a coronary angioplasty always a suitable alternative to a coronary artery bypass graft?,<noinput>,"While a coronary angioplasty is a common alternative, it may not be suitable if multiple coronary arteries are blocked or if there are abnormalities in the blood vessels near the heart."
0,What is a coronary artery bypass graft (CABG)?,<noinput>,A coronary artery bypass graft is a surgical procedure used to treat coronary heart disease by diverting blood around narrowed or clogged parts of the major arteries to improve blood flow and oxygen supply to the heart.
1,Why is a coronary artery bypass graft carried out?,<noinput>,A coronary artery bypass graft is carried out to improve the blood supply to the heart in people with coronary heart disease. It can help relieve angina (chest pain) and reduce the risk of a heart attack.
2,What does the procedure of a coronary artery bypass graft involve?,<noinput>,The procedure of a coronary artery bypass graft involves taking a blood vessel from another part of the body and attaching it to the blocked coronary artery. This creates a new pathway for blood to bypass the blockage and improve blood flow to the heart.
3,How long does it take to recover from a coronary artery bypass graft?,<noinput>,"Recovery time varies, but most people stay in the hospital for about 6 to 8 days after the surgery. It can take about 6 weeks to return to normal activities, and full recovery usually occurs within 12 weeks."
4,What are the risks of a coronary artery bypass graft surgery?,<noinput>,"While a coronary artery bypass graft is generally safe, there are risks involved, such as an irregular heartbeat, wound infection, stroke, or heart attack."
5,What are the alternatives to a coronary artery bypass graft?,<noinput>,"The main alternative to a coronary artery bypass graft is a coronary angioplasty, a less invasive procedure that uses a catheter to widen the narrowed artery. However, the choice of procedure depends on individual case and circumstances."
6,What lifestyle changes are necessary after a coronary artery bypass graft?,<noinput>,"After a coronary artery bypass graft, it is important to make lifestyle changes such as adopting a healthy diet, exercising regularly, and quitting smoking. These changes can help prevent the grafted arteries from becoming narrowed again."
7,How long is the waiting time for a coronary artery bypass graft surgery?,<noinput>,The waiting time for a coronary artery bypass graft surgery can vary depending on the area and hospital. It is best to consult with your GP or cardiac surgeon to get information specific to your situation.
8,Can a coronary angioplasty be repeated if needed?,<noinput>,"Yes, a coronary angioplasty can be repeated if needed. It is a less invasive procedure compared to a coronary artery bypass graft and may be recommended if a revascularization procedure is required."
9,Where can I find more information about coronary artery bypass graft surgery?,<noinput>,"You can consult with your healthcare provider, such as your GP or cardiac surgeon, for more detailed information about coronary artery bypass graft surgery."
