,q,i,a
0,What are the symptoms of diabetic ketoacidosis (DKA)?,<noinput>,"Symptoms of diabetic ketoacidosis (DKA) include feeling thirsty, needing to pee more often, stomach pain, feeling sick or being sick, diarrhea, breathing more deeply than usual, breath that smells fruity, feeling tired, sleepy or confused, and blurred vision."
1,How can I check if I have diabetic ketoacidosis (DKA)?,"If you have diabetes and have any symptoms of DKA, check your blood glucose. If it's high, test for ketones if you can.","If you have diabetes and any symptoms of DKA, check your blood glucose. If it's high, test for ketones if possible."
2,What are the normal blood ketone levels?,<noinput>,Normal blood ketone levels can be different for different people. Your diabetes care team will advise you on what levels to look for.
3,When should I call 999 or go to A&E?,<noinput>,"You should call 999 or go to A&E immediately if you have a high level of ketones in your blood or pee and have symptoms of DKA, or if you have symptoms of DKA and have not been diagnosed with diabetes."
4,When should I call my diabetes care team or get help from NHS 111?,<noinput>,"You should call your diabetes care team or get help from NHS 111 if your insulin treatment is not working to reduce your high blood glucose, or if your ketones are slightly high or 1.6 to 3mmol/L even if you don't feel unwell."
5,What is the treatment for diabetic ketoacidosis (DKA)?,"If you have diabetic ketoacidosis (DKA), you'll need to be admitted to the hospital for urgent treatment.","If you have diabetic ketoacidosis (DKA), you'll be admitted to the hospital for urgent treatment. You'll be given insulin, fluids, and nutrients through a drip into your vein."
6,How can I reduce the risk of diabetic ketoacidosis (DKA)?,<noinput>,"To reduce the risk of DKA, be aware of the symptoms and causes. Test for ketones regularly, follow your treatment plan, check blood glucose regularly, and do not skip insulin doses."
0,What are the symptoms of diabetic ketoacidosis (DKA)?,<noinput>,"Symptoms of diabetic ketoacidosis (DKA) include feeling thirsty, needing to pee more often, stomach pain, feeling sick or being sick, diarrhea, breathing more deeply than usual, breath that smells fruity, feeling tired, sleepy or confused, blurred vision."
1,How can I check if I have diabetic ketoacidosis (DKA)?,<noinput>,"If you have diabetes and experience any symptoms of DKA, you can check your blood glucose levels. If it's high, you can test for ketones using a meter or strips."
2,What are the normal ketone levels in blood?,<noinput>,"Normal blood ketone levels can be different for different people. However, generally, under 0.6mmol/L is normal, 0.6 to 1.5mmol/L is slightly high, 1.6 to 3mmol/L means you're at risk of DKA, and over 3mmol/L is high."
3,What should I do if I have a high level of ketones in my blood or urine?,<noinput>,"If you have a high level of ketones in your blood (>3mmol/L) or urine (>2+), you should call 999 or go to A&E as DKA can be life threatening."
4,When should I call my diabetes care team or get help from NHS 111?,<noinput>,"You should call your diabetes care team or get help from NHS 111 if your blood glucose is high and your insulin treatment is not working, if your ketones are slightly high (0.6 to 1.5mmol/L) and you feel unwell, or if your ketones are 1.6 to 3mmol/L even if you do not feel unwell."
