,q,i,a
0,How can you treat dizziness yourself?,<noinput>,"Dizziness usually goes away on its own. But there are things you can do to take care of yourself while you're feeling dizzy. Do lie down until the dizziness passes, then get up slowly move slowly and carefully get plenty of rest drink plenty of fluids, especially water avoid coffee, cigarettes, alcohol and drugs"
1,What are the possible causes of dizziness?,<noinput>,"If you have other symptoms, this might give you an idea of the cause. Do not self-diagnose. See a GP if you're worried. Possible causes include an ear infection, migraine, dehydration or heat exhaustion, stress or anxiety, low blood sugar, iron deficiency anemia, motion sickness, inner-ear problems, or side effect of medicine."
2,When should you see a GP for dizziness?,<noinput>,"You should see a GP if you're worried about your dizziness or vertigo, it will not go away or it keeps coming back, you're finding it harder to hear or speak, there's ringing or other sounds in your ears (tinnitus), you have double vision, blurred vision or other changes in your eyesight, your face, arms or legs feel numb or weak, or you have other symptoms like changes to your pulse, fainting or collapsing, headaches, feeling or being sick."
3,What should you not do when you are feeling dizzy?,<noinput>,"When you're feeling dizzy, you should not bend down suddenly, get up suddenly after sitting or lying down, or do anything that could be dangerous while you're dizzy, like driving, climbing a ladder or using heavy machinery."
4,What are the symptoms of dizziness?,<noinput>,"Dizziness includes feeling off-balance, giddy, lightheaded or faint, or like you're spinning or things around you are spinning (vertigo)."
5,What can cause dizziness for no obvious reason?,<noinput>,Dizziness for no obvious reason can be caused by inner-ear problems or can be a side effect of medicine.
6,What can cause dizziness when standing or sitting up suddenly?,<noinput>,"When standing or sitting up suddenly, a possible cause of dizziness is a sudden drop in blood pressure (postural hypotension)."
7,What can cause dizziness after starting new prescription medicine?,<noinput>,"After starting new prescription medicine, a possible cause of dizziness is a side effect of the medicine."
8,What are some symptoms of labyrinthitis?,<noinput>,"Symptoms of labyrinthitis include feeling off-balance or like things are spinning, feeling or being sick, sometimes after a cold or flu."
9,How long does dizziness usually last?,<noinput>,Dizziness usually goes away on its own.
0,How can you check if you have dizziness?,<noinput>,"Dizziness includes feeling off-balance, giddy, lightheaded or faint, or like you're spinning or things around you are spinning (vertigo)."
1,What are some self-treatment options for dizziness?,<noinput>,"You can lie down until the dizziness passes, then get up slowly. Move slowly and carefully, get plenty of rest, drink plenty of fluids (especially water), and avoid coffee, cigarettes, alcohol, and drugs."
2,When should you see a GP about your dizziness?,<noinput>,"See a GP if you're worried about your dizziness or vertigo, if it's not going away or keeps coming back, if you're experiencing changes in hearing or speech, if you have tinnitus, double vision or blurred vision, numbness or weakness in face, arms, or legs, or other symptoms like changes to your pulse, fainting or collapsing, headaches, or feeling/being sick."
