,q,i,a
0,What are the symptoms of dysentery?,<noinput>,"The symptoms of dysentery include diarrhoea containing blood or mucus, painful stomach cramps, vomiting, and a high temperature."
1,What are the two main types of dysentery?,<noinput>,"The two main types of dysentery are bacillary dysentery or shigellosis, which is caused by shigella bacteria, and amoebic dysentery or amoebiasis, which is caused by an amoeba called Entamoeba histolytica."
2,How long does dysentery usually last?,<noinput>,Dysentery usually gets better on its own after 3 to 7 days.
3,What should you do to avoid dehydration while suffering from dysentery?,<noinput>,It's important to drink plenty of fluids and use oral rehydration solutions if necessary.
4,What painkiller can help relieve pain and fever caused by dysentery?,<noinput>,Paracetamol can help relieve pain and fever caused by dysentery.
5,Why should you avoid anti-diarrhoea medicines when you have dysentery?,<noinput>,"Anti-diarrhoea medicines, such as loperamide, can make things worse."
6,How can you avoid passing on dysentery to others?,<noinput>,"To avoid passing on dysentery, it's important to wash your hands thoroughly with soap and water after going to the toilet and stay away from work or school until you've been completely symptom-free for at least 48 hours."
7,When should you see a GP for dysentery?,<noinput>,"You should see a GP if your symptoms are severe or do not start to improve after a few days, or if you have been abroad recently."
8,How can you reduce your risk of catching dysentery?,<noinput>,"You can reduce your risk of catching dysentery by washing your hands regularly, avoiding sharing towels, and washing the laundry of an infected person on the hottest setting possible."
9,How is dysentery transmitted?,<noinput>,"Dysentery can be transmitted if the poo of an infected person gets into another person's mouth. This can happen through poor hand hygiene, close contact, or through anal or anal-oral sex."
0,What are the symptoms of dysentery?,<noinput>,"The symptoms of dysentery include diarrhoea containing blood or mucus, painful stomach cramps, vomiting, and a high temperature."
1,What are the types of dysentery?,<noinput>,"There are 2 main types of dysentery: bacillary dysentery caused by shigella bacteria, and amoebic dysentery caused by the amoeba Entamoeba histolytica."
2,How is dysentery treated?,<noinput>,"Dysentery usually gets better on its own after 3 to 7 days. It's important to drink plenty of fluids and use oral rehydration solutions to avoid dehydration. Painkillers like paracetamol can relieve pain and fever, but avoid anti-diarrhoea medicines."
3,How can you avoid passing on dysentery?,<noinput>,"To avoid passing on dysentery, wash your hands thoroughly with soap and water after using the toilet, stay away from work or school until symptom-free for 48 hours, and wash all dirty clothes, bedding, and towels on the hottest cycle of your washing machine."
4,When should you see a GP for dysentery?,<noinput>,"You should see a GP if your symptoms are severe or do not improve after a few days, or if you've been abroad recently. Severe cases may require antibiotics or hospital treatment."
5,How can you reduce your risk of catching dysentery?,<noinput>,"You can reduce your risk of dysentery by washing your hands regularly, avoiding sharing towels, and washing infected person's laundry on the hottest setting. When traveling, avoid tap water, ice, unpeeled fruits or vegetables, and street food."
6,What causes dysentery?,<noinput>,"Dysentery is caused by the transmission of infected faeces to the mouth. Poor hand hygiene, contaminated water or food, and anal or anal oral sex can all contribute to the spread of the infection."
7,Can dysentery be transmitted through sexual contact?,<noinput>,"Yes, anal or anal oral sex (rimming) can be a mode of transmission for dysentery."
8,How does dysentery spread in the UK?,<noinput>,"In the UK, dysentery usually affects groups of people in close contact, such as families, schools, and nurseries."
9,What precautions should be taken while drinking water in high-risk dysentery areas?,<noinput>,"If you're in a country with a high risk of dysentery, drink bottled water or drinks in sealed cans or bottles. Boil water for several minutes or use chemical disinfectant or a reliable filter if the water is not sterile."
