,q,i,a
0,What are the symptoms of erythema multiforme?,<noinput>,"The main symptom of erythema multiforme is a rash that usually appears on the hands and feet and spreads to the tummy, chest, back, or face. The rash may be itchy or feel like it's burning."
1,How long does erythema multiforme usually last?,<noinput>,Erythema multiforme usually gets better on its own in 2 to 4 weeks.
2,What are the possible causes of erythema multiforme?,<noinput>,"Erythema multiforme is usually caused by infections, such as the herpes simplex virus or bacteria that cause lung conditions. It can also be caused by certain vaccines or medicines, but it's important to consult a doctor before stopping any medications."
3,How can erythema multiforme be treated?,<noinput>,"Treatment for erythema multiforme may include moisturizers or steroid creams to relieve symptoms and speed up recovery, as well as antiviral medication for viral infections that cause it."
4,When should I see a doctor for erythema multiforme?,<noinput>,"It is recommended to see a GP if you have symptoms of erythema multiforme or if it keeps coming back. If you have a rash inside your mouth or on sensitive areas, experience pain, difficulty eating or urinating, or have a high temperature or body aches, seek urgent medical advice."
5,"What should I do if I have a rash and the skin is red, swollen, blistered, or peeling?",<noinput>,"If you have a rash with red, swollen, blistered, or peeling skin, accompanied by wheezing, chest tightness, difficulty breathing or talking, or swelling of the mouth, face, lips, tongue, or throat, call 999 or go to the nearest A&E as it may require immediate treatment."
6,Is erythema multiforme contagious?,<noinput>,"Erythema multiforme itself is not contagious, but some of the infections that can cause it, such as the herpes simplex virus, can be contagious."
7,Can erythema multiforme be prevented?,<noinput>,"There is no known way to prevent erythema multiforme, but avoiding known triggers such as certain infections or medications can help reduce the risk."
8,What are the other symptoms associated with erythema multiforme?,<noinput>,"In addition to the rash, other symptoms of erythema multiforme may include a high temperature, headache, body aches, and a general feeling of being unwell."
9,What should I do if I suspect I have erythema multiforme?,<noinput>,"If you suspect you have erythema multiforme, it is recommended to see a GP for evaluation and proper diagnosis. They can provide advice on treatment options and address any concerns you may have."
0,What are the main symptoms of erythema multiforme?,<noinput>,"The main symptom of erythema multiforme is a rash. The rash usually appears on your hands and feet, and spreads to your tummy, chest, back or face. It might feel itchy or like it's burning."
1,What does the rash look like in erythema multiforme?,<noinput>,"The rash usually starts as round, slightly raised spots. Some spots develop rings around them and can turn into blisters. Depending on your skin tone, the rash may be red, pink or purple, or it may be darker than surrounding skin."
2,What are the other symptoms that may be experienced with erythema multiforme?,<noinput>,"Other symptoms of erythema multiforme may include a high temperature, headache, body aches and pains, and feeling generally unwell."
3,When should I see a GP if I have symptoms of erythema multiforme?,<noinput>,You should see a GP if you have symptoms of erythema multiforme or if it keeps coming back. It may be possible to treat the cause of your symptoms.
4,"What should I do if I think I have erythema multiforme and the rash is inside my mouth or on my lips, eyes, anus or genitals?",<noinput>,"If you think you have erythema multiforme and the rash is inside your mouth or on your lips, eyes, anus, or genitals, you should ask for an urgent GP appointment or get help from NHS 111. Call 111 or get help from 111 online."
5,"What should I do if I have a rash that is red, swollen, blistered, or peeling?",<noinput>,"If you have a rash that is red, swollen, blistered, or peeling, you should call 999 or go to A&E. These may be signs of a serious reaction and may need immediate treatment in the hospital."
6,How long does erythema multiforme usually last?,<noinput>,Erythema multiforme usually gets better on its own in 2 to 4 weeks.
7,What treatments are available for erythema multiforme?,<noinput>,"Treatment for erythema multiforme may include the use of moisturizers or steroid creams to speed up recovery and help ease symptoms like itching. In some cases, treatment for the underlying infection may be necessary."
8,What are the causes of erythema multiforme?,<noinput>,"Erythema multiforme is usually caused by an infection, such as the herpes simplex virus or bacteria that cause lung conditions. It can also be caused by certain vaccines or medicines. If it's caused by a medicine, you should consult a doctor before stopping it."
9,What should I do if I experience a serious reaction with erythema multiforme?,<noinput>,"If you experience a serious reaction with erythema multiforme, including wheezing, chest or throat tightness, trouble breathing or talking, or swelling of the mouth, face, lips, tongue, or throat, you should call 999 or go to A&E for immediate treatment."
