,q,i,a
0,What should I do if a chemical gets into my eye?,"If a strong chemical, such as oven cleaner or bleach, is in your eye, you should keep rinsing your eye with water while waiting for medical help.","If a strong chemical, such as oven cleaner or bleach, is in your eye, you should keep rinsing your eye with water while waiting for medical help."
1,What immediate action should I take if an object pierces my eye?,"If a sharp object has pierced your eye, you should go to A&E or call 999 immediately.","If a sharp object has pierced your eye, you should go to A&E or call 999 immediately."
2,How should I treat an eye injury at home?,"If there's something in your eye, you should wash it with clean water. If any cosmetics or household products get in your eyes, follow the advice on the packaging. You can also take painkillers like paracetamol or ibuprofen to help ease any pain or discomfort.","If there's something in your eye, you should wash it with clean water. If any cosmetics or household products get in your eyes, follow the advice on the packaging. You can also take painkillers like paracetamol or ibuprofen to help ease any pain or discomfort."
3,What should I not do when treating an eye injury at home?,"When treating an eye injury at home, you should not try to remove any object that's pierced your eye, touch or rub your eye until it's better, wear make-up around your eye until it's better, or wear contact lenses until your eye is better.","When treating an eye injury at home, you should not try to remove any object that's pierced your eye, touch or rub your eye until it's better, wear make-up around your eye until it's better, or wear contact lenses until your eye is better."
4,How should I wash my eye?,<noinput>,"To wash your eye, you should use clean water (not hot) and hold your eye open. Run lots of water over your eyeball for at least 20 minutes, making sure the flow of water is not too strong."
5,When should I ask for an urgent GP appointment or get help from NHS 111 for an eye injury?,You should ask for an urgent GP appointment or get help from NHS 111 if your eye injury is not getting better after 24 hours or if you're worried about the injury.,You should ask for an urgent GP appointment or get help from NHS 111 if your eye injury is not getting better after 24 hours or if you're worried about the injury.
6,Where can I get advice for an eye injury?,<noinput>,You can call NHS 111 or visit an opticians for advice on your eye injury.
7,What should I do if I have a black eye?,<noinput>,There is separate information available on what to do if you have a black eye.
8,What should I do if I have a red eye?,<noinput>,There is separate information available on what to do if you have a red eye.
9,When do minor eye injuries typically get better?,<noinput>,"Minor eye injuries, such as shampoo or dust in your eye, often get better on their own within a day."
0,What should I do if I have shampoo or dust in my eye?,<noinput>,"Minor eye injuries, such as shampoo or dust in your eye, often get better on their own within a day. You can wash your eye with clean water to help alleviate any discomfort."
1,What immediate action should I take if a sharp object pierces my eye?,<noinput>,Immediate action required: Go to A&E or call 999 if a sharp object has pierced your eye. Do not try to remove the object yourself and avoid touching or rubbing your eye until you receive medical help.
2,How should I treat an eye injury at home?,<noinput>,"To treat an eye injury at home, wash your eye with clean water if there's something in it. Follow the advice on the packaging if any cosmetics or household products get in your eyes. You can also take painkillers like paracetamol or ibuprofen to help ease any pain or discomfort."
3,What should I not do when treating an eye injury at home?,<noinput>,"When treating an eye injury at home, do not try to remove any object that's pierced your eye. Avoid touching or rubbing your eye until it's better. Do not wear make-up around your eye or wear contact lenses until your eye is better."
4,How should I wash my eye if something gets in it?,<noinput>,"To wash your eye, use clean water (not hot). Hold your eye open and run lots of water over your eyeball for at least 20 minutes. Make sure the flow of water is not too strong."
5,When should I seek urgent medical advice for an eye injury?,<noinput>,"If you've injured your eye and it is not getting better after 24 hours or if you're worried about an eye injury, ask for an urgent GP appointment or get help from NHS 111. You could also visit an optician for advice."
6,What should I do if I have a black eye?,<noinput>,"For information on what to do if you have a black eye, please refer to the separate information available."
7,What should I do if I have a red eye?,<noinput>,"For information on what to do if you have a red eye, please refer to the separate information available."
8,"What should I do if a strong chemical, such as oven cleaner or bleach, is in my eye?",<noinput>,"Immediate action required: Keep rinsing your eye with water while waiting for medical help if a strong chemical, such as oven cleaner or bleach, is in your eye. You should go to A&E or call 999."
9,What should I do if something has hit my eye at high speed?,<noinput>,"Immediate action required: If something has hit your eye at high speed, for example, while using power tools or mowing the lawn, you should go to A&E or call 999 for medical assistance."
