,q,i,a
0,What should I do if someone is unconscious and breathing?,<noinput>,"If someone is unconscious but breathing, and has no other injuries that would stop them being moved, place them in the recovery position until help arrives."
1,What should I do if someone is unconscious and not breathing?,<noinput>,"If someone is not breathing normally, call 999 and start cardiopulmonary resuscitation (CPR) straight away."
2,What should I do if someone is bleeding heavily?,<noinput>,"If someone is bleeding heavily, the main aim is to prevent further blood loss and minimize the effects of shock. First, dial 999 and ask for an ambulance as soon as possible."
3,How should I treat a burn or scald?,<noinput>,"If someone has a burn or scald, cool the burn as quickly as possible with cool running water for at least 20 minutes, or until the pain is relieved. Call 999 or seek medical help if needed."
4,How should I treat a chemical burn?,<noinput>,"For chemical burns, wear protective gloves, remove any affected clothing, and rinse the burn with cool running water for at least 20 minutes to remove the chemical. Call 999 for immediate medical help."
5,What should I do if someone is choking?,<noinput>,"If the airway is only partly blocked, encourage the person to cough to try to clear the blockage. If choking is severe and the person can't speak, cry, cough or breathe, start back blows or abdominal thrusts."
6,What should I do if someone is in difficulty in water?,<noinput>,"If someone is in difficulty in water, don't enter the water unless it's safe to do so. Once the person is on land, check if they're breathing and give rescue breaths if needed."
7,What do I do if someone has had an electric shock?,<noinput>,"If someone has had an electric shock, switch off the electrical current at the mains to break the contact between the person and the electrical supply. Seek medical help afterwards."
8,What should I do if I suspect someone has a fracture?,<noinput>,"If you suspect someone has a fracture, keep the fracture as still as possible and get them safely to the hospital. Call 999 if the pain is severe or if there is a suspected back injury."
9,Should I give anything to eat or drink to someone with a suspected broken bone?,<noinput>,"Do not give the person who is injured anything to eat or drink, as they may need an anesthetic when they reach the hospital."
0,What should you do if someone is injured?,"If someone is injured, you should first check that you and the injured person aren't in any danger and make the situation safe.","After ensuring safety, you should dial 999 for an ambulance if necessary and carry out basic first aid."
1,What should you do if someone is unconscious and breathing?,"If someone is unconscious and breathing, and has no other injuries that would stop them from being moved, you should place them in the recovery position until help arrives.",Keep them under observation to ensure they continue to breathe normally.
2,What should you do if someone is unconscious and not breathing?,"If someone is not breathing normally, you should call 999 and start cardiopulmonary resuscitation (CPR) straight away.",Continue to look after the person until medical help arrives.
3,What should you do if someone is experiencing anaphylactic shock?,"If you think someone is experiencing anaphylactic shock, you should call 999 immediately and check if the person is carrying any medication.","You can help the person administer their medication or, if trained, give it to them yourself. Continue to look after them until medical help arrives."
4,How should you treat someone who is bleeding heavily?,"If someone is bleeding heavily, the main aim is to prevent further blood loss and minimise the effects of shock. First, dial 999 and ask for an ambulance as soon as possible.","Apply and maintain pressure to the wound, bandage it firmly, and seek medical help for bleeding, unless it's minor."
5,What should you do if someone has a burn or scald?,"If someone has a burn or scald, you should cool the burn as quickly as possible with cool running water for at least 20 minutes.","Call 999 or seek medical help if needed. Do not apply creams, lotions, or sprays to the burn."
6,How should you treat a chemical burn?,"For chemical burns, wear protective gloves, remove any affected clothing, and rinse the burn with cool running water for at least 20 minutes.","Be careful not to contaminate yourself, determine the cause if possible, and call 999 for immediate medical help."
7,What should you do if someone is choking?,"If someone is choking, encourage them to cough and try to clear the blockage. Do not put your fingers in their mouth if you can't see the object.","If choking persists, perform back blows or abdominal thrusts depending on the severity. Call 999 if the airway remains blocked."
8,What should you do if someone is in difficulty in water?,"If someone is in difficulty in water, do not enter the water unless it's safe to do so. Once on land, check if they're breathing and call 999 for medical help.","If they're not breathing, open the airway and give initial rescue breaths before starting CPR."
9,What should you do if someone has had an electric shock?,"If someone has had an electric shock, switch off the electrical current at the mains as soon as possible. If not breathing, dial 999 for an ambulance.","Afterwards, seek medical help."
10,How should you handle a fracture?,"If a person has a suspected fracture, keep the injury as still as possible until reaching the hospital. If in doubt, treat the injury as a broken bone.","Call 999 if there is severe pain or suspected back injury. Do not give anything to eat or drink, and seek medical help."
