,q,i,a
0,What are the ways to prevent hepatitis A?,<noinput>,"Vaccination is the best way to prevent hepatitis A. Other ways to reduce your risk include washing your hands thoroughly, drinking bottled water, avoiding eating shellfish and uncooked fruits and vegetables, and using a condom or dam when having sex."
1,What are the common symptoms of hepatitis A?,<noinput>,"Common symptoms of hepatitis A include high temperature, flu-like symptoms, fatigue, headache, muscle pains, nausea or vomiting, upper abdominal pain, diarrhea or constipation, pale yellow or pale grey stool, dark brown urine, itchy skin, rash, and yellowing of the skin and eyes (jaundice)."
2,When should I see a GP if I suspect I have hepatitis A?,<noinput>,"You should see a GP if you have symptoms of hepatitis A and have recently traveled to a country where hepatitis A is common, have been in close contact with someone with hepatitis A, have a blood clotting disorder, are a man who has sex with men, have shared needles when taking drugs, or if your job puts you at risk of infection. Inform the GP that you suspect you might have hepatitis A."
3,What is the treatment for hepatitis A?,<noinput>,"Hepatitis A usually clears up on its own within 3 to 6 months. Your doctor may offer you medicines to help with the symptoms, such as painkillers or medicines to alleviate nausea or itching. In some cases, blood tests may be necessary to monitor liver function."
4,What should I do if I have hepatitis A?,<noinput>,"If you have hepatitis A, it is important to limit contact with other people for 7 days after symptoms or jaundice start. Rest, drink plenty of fluids, take painkillers as advised by your doctor, keep your room well ventilated, wear loose-fitting clothing, avoid hot baths and showers if you feel itchy, and wash your hands thoroughly after using the toilet. Do not drink alcohol, prepare food or drinks for others, have sex without a condom or dam until you are no longer infectious, or share needles with others."
5,How is hepatitis A transmitted?,<noinput>,"Hepatitis A is caused by a virus that spreads through the feces of an infected person. It can be transmitted through drinking unclean water, eating food washed or grown in unclean water, eating food handled by an infected person, and having close physical contact, including sexual contact, with an infected person. Using contaminated needles for drug use can also transmit the virus."
6,Is hepatitis A common in the UK?,<noinput>,"Hepatitis A is not common in the UK, but it is common in other parts of the world, especially in Africa, Asia, the Middle East, and Central and South America."
7,Who is at high risk of getting hepatitis A?,<noinput>,"People who are at high risk of getting hepatitis A include individuals traveling to countries where hepatitis A is common, those who have recently been in close physical contact with someone with hepatitis A, individuals with long-term liver disease, individuals with a blood clotting disorder like hemophilia, men who have sex with men, and individuals whose jobs put them at risk of infection, such as healthcare workers or sewage workers."
8,Where can I check the risks of a country I'm traveling to for hepatitis A?,<noinput>,You can check the risks of a country you're traveling to for hepatitis A on the TravelHealthPro website.
9,When are you most infectious with hepatitis A?,<noinput>,"You're usually infectious for either 7 days after the onset of jaundice or 7 days after your symptoms start, if you haven't experienced jaundice. During this time, you should limit contact with others, stay off work or school, and take precautionary measures such as washing your hands thoroughly after using the toilet."
0,What are the risks of getting hepatitis A?,<noinput>,"Hepatitis A can be contracted by drinking unclean water, eating food that's been washed or grown in unclean water, eating food handled by an infected person, or having close physical contact with an infected person."
1,How can hepatitis A be prevented?,<noinput>,"Hepatitis A can be prevented through vaccination, especially for those at high risk such as travelers to countries with high infection rates, individuals with close physical contact with an infected person, and those with certain medical conditions."
2,What are the symptoms of hepatitis A?,<noinput>,"Symptoms of hepatitis A include high temperature, flu-like symptoms, feeling sick or being sick, pain in the upper tummy, diarrhea or constipation, pale yellow or pale gray stool, dark brown urine, itchy skin, and yellowing of the skin and eyes."
3,When should I see a GP if I suspect I have hepatitis A?,<noinput>,"You should see a GP if you have symptoms of hepatitis A and have recently traveled to a country where it is common, have had close contact with someone with hepatitis A, have a blood clotting disorder, are a man who has sex with men, have shared needles when taking drugs, or if your job puts you at risk of infection."
4,How long does hepatitis A usually last?,<noinput>,Hepatitis A usually clears up on its own within 3 to 6 months.
5,What can I do if I have hepatitis A?,<noinput>,"If you have hepatitis A, you can rest, drink plenty of fluids, take painkillers as advised by your doctor, limit contact with others, keep your room well ventilated, wear loose-fitting clothing, and wash your hands thoroughly after using the toilet."
6,Can I drink alcohol if I have hepatitis A?,<noinput>,"No, you should not drink alcohol if you have hepatitis A."
7,Can I prepare food or drink for others if I have hepatitis A?,<noinput>,"No, you should not prepare food or drink for others if you have hepatitis A."
8,When can I have sex without a condom or dam if I have hepatitis A?,<noinput>,You should not have sex without a condom or dam until you're no longer infectious.
9,Should I share needles with others if I have hepatitis A?,<noinput>,"No, you should not share needles with others if you have hepatitis A."
