,q,i,a
0,What are the symptoms of a herpes simplex eye infection?,<noinput>,"The symptoms of a herpes simplex eye infection can include eye pain, a red eye, watering of the eyes, sensitivity to light, blurred vision, a swollen eyelid, and blisters or a rash on the eyelid or the skin around the eye."
1,What other conditions can cause a red eye and eyelid problems?,<noinput>,"Other conditions that can cause a red eye and eyelid problems include conjunctivitis, stye, and blepharitis."
2,When should I see a GP or go to an optician for a red eye?,<noinput>,You should see a GP or go to an optician if you have a red eye with no pain for more than a few days.
3,When should I ask for an urgent GP appointment or get help from NHS 111?,<noinput>,"You should ask for an urgent GP appointment or get help from NHS 111 if you have eye pain, a red eye that's getting worse, changes to your eyesight, or a swollen, irritated eyelid that has not improved."
4,What immediate action should I take if I have a red eye that hurts to look at light or one pupil is bigger than the other?,<noinput>,"If you have a red eye that hurts to look at light or one pupil is bigger than the other, you should call 999 or go to A&E immediately."
5,What is the treatment for herpes simplex eye infections?,<noinput>,"The treatment for herpes simplex eye infections usually involves antiviral medicine such as aciclovir, which can be taken as eye ointment, eye drops, or tablets. In some cases, antiviral medicine with steroid eye drops may be prescribed to reduce swelling."
6,How do you get herpes simplex eye infections?,<noinput>,Most herpes simplex eye infections are caused by the same herpes simplex virus that causes cold sores. The virus is usually transmitted through skin-to-skin contact from someone with a cold sore.
7,Can herpes simplex eye infections be prevented?,<noinput>,"To reduce the risk of herpes simplex eye infections, avoid touching your eye, wash your hands regularly, and maintain a strong immune system."
8,What should I do if I wear contact lenses and have a herpes simplex eye infection?,<noinput>,"If you wear contact lenses and have a herpes simplex eye infection, do not wear your lenses until 24 hours after all your symptoms have gone."
9,Can herpes simplex eye infections cause permanent damage?,<noinput>,"In some cases, herpes simplex eye infections can lead to scarring of the cornea, which may cause permanent sight loss. It's important to seek timely treatment to prevent complications."
0,What are the symptoms of a herpes simplex eye infection?,<noinput>,"The symptoms of a herpes simplex eye infection can include eye pain, a red eye, watering of the eyes, sensitivity to light, blurred vision, a swollen eyelid, and blisters or a rash on the eyelid or around the eye."
1,What should I do if I have a red eye with no pain for more than a few days?,<noinput>,"If you have a red eye with no pain for more than a few days, it is advised to see a GP or go to an optician. They can provide you with non-urgent advice and determine the best course of action."
2,When should I seek urgent medical help for a red eye?,<noinput>,"You should ask for an urgent GP appointment or get help from NHS 111 if you have eye pain, a red eye that's getting worse, any changes to your eyesight, or a swollen, irritated eyelid that has not improved."
3,What is the treatment for a herpes simplex eye infection?,<noinput>,"If a GP suspects a herpes simplex eye infection, they will refer you to an eye specialist (ophthalmologist). Treatment usually involves antiviral medicine, such as aciclovir, taken as eye ointment, drops, or sometimes tablets, along with steroid eye drops to reduce swelling."
4,How long does it take for a herpes simplex eye infection to get better with treatment?,<noinput>,Most herpes simplex eye infections will improve with treatment in a couple of weeks and will not have a permanent impact on your eyesight.
5,Can herpes simplex eye infections recur?,<noinput>,"Yes, it is common for herpes simplex eye infections to come back. If you experience recurrent infections, a doctor may recommend daily antiviral tablets to help prevent future infections."
6,Do I need to avoid wearing contact lenses if I have a herpes simplex eye infection?,<noinput>,"If you have a herpes simplex eye infection, it is advised not to wear contact lenses until 24 hours after all your symptoms have resolved."
7,How do you contract a herpes simplex eye infection?,<noinput>,"Most herpes simplex eye infections are caused by the same virus that causes cold sores. It is typically transmitted through skin-to-skin contact with someone who has a cold sore. It can also be triggered by an illness, stress, exposure to bright light, or an eye injury."
8,Can a herpes simplex eye infection be passed on to others?,<noinput>,"While it is unlikely to pass the virus on to someone else from an eye infection, it is still important to avoid touching your eye and to regularly wash your hands to prevent any potential transmission."
9,What might happen if a herpes simplex eye infection is left untreated?,<noinput>,"If a herpes simplex eye infection is left untreated or if treatment is ineffective, it could potentially lead to scarring of the cornea and result in permanent sight loss. In such cases, a cornea transplant may be necessary."
