,q,i,a
0,What are the main causes of high cholesterol?,<noinput>,"The main causes of high cholesterol are eating fatty food, not exercising enough, being overweight, smoking, drinking alcohol, and genetics."
1,How can you lower your cholesterol?,<noinput>,You can lower your cholesterol by eating healthily and getting more exercise. Some people may also need to take medication.
2,What are the health risks associated with high cholesterol?,<noinput>,High cholesterol can increase the risk of heart problems and stroke by blocking blood vessels.
3,What are the symptoms of high cholesterol?,<noinput>,High cholesterol does not cause symptoms. It can only be diagnosed through a blood test.
4,Where can I find more information about inherited high cholesterol at a young age?,<noinput>,You can find more information about inherited high cholesterol at a young age (familial hypercholesterolaemia) on the Heart UK website.
0,What is high cholesterol?,<noinput>,High cholesterol is when you have too much of a fatty substance called cholesterol in your blood.
1,What are the causes of high cholesterol?,<noinput>,"High cholesterol is mainly caused by eating fatty food, not exercising enough, being overweight, smoking, and drinking alcohol."
2,How can you lower your cholesterol?,<noinput>,You can lower your cholesterol by eating healthily and getting more exercise. Some people also need to take medicine.
3,What are the risks of high cholesterol?,<noinput>,Too much cholesterol can block your blood vessels and make you more likely to have heart problems or a stroke.
4,How can high cholesterol be diagnosed?,<noinput>,High cholesterol does not cause symptoms. You can only find out if you have it from a blood test.
5,What is familial hypercholesterolaemia?,<noinput>,Familial hypercholesterolaemia is inherited high cholesterol that starts at a young age. You can find more information about it on the Heart UK website.
0,What are the main causes of high cholesterol?,<noinput>,"High cholesterol is mainly caused by eating fatty food, not exercising enough, being overweight, smoking, drinking alcohol, and it can also run in families."
1,How can I lower my cholesterol?,<noinput>,You can lower your cholesterol by eating healthily and getting more exercise. Some people may also need to take medicine.
2,What are the potential risks of having high cholesterol?,<noinput>,Having high cholesterol can increase the risk of heart problems or a stroke as it can block blood vessels.
3,How can I find out if I have high cholesterol?,<noinput>,"You can find out if you have high cholesterol through a blood test, as it does not cause symptoms."
4,What is familial hypercholesterolaemia?,<noinput>,Familial hypercholesterolaemia is a type of inherited high cholesterol that starts at a young age. You can find more information about it on the Heart UK website.
0,What is high cholesterol?,<noinput>,High cholesterol is when you have too much of a fatty substance called cholesterol in your blood.
1,What are the causes of high cholesterol?,<noinput>,"High cholesterol is mainly caused by eating fatty food, not exercising enough, being overweight, smoking and drinking alcohol."
2,How can I lower my cholesterol?,<noinput>,You can lower your cholesterol by eating healthily and getting more exercise. Some people also need to take medicine.
3,What are the risks of high cholesterol?,<noinput>,"Too much cholesterol can block your blood vessels, making you more likely to have heart problems or a stroke."
4,How do I know if I have high cholesterol?,<noinput>,You can only find out if you have high cholesterol from a blood test since it does not cause symptoms.
5,Where can I find information about inherited high cholesterol?,<noinput>,"Heart UK has separate information about inherited high cholesterol, including familial hypercholesterolaemia."
6,What is familial hypercholesterolaemia?,<noinput>,Familial hypercholesterolaemia is a type of inherited high cholesterol that starts at a young age. You can find more information on the Heart UK website.
