,q,i,a
0,What is Hodgkin lymphoma?,<noinput>,"Hodgkin lymphoma is an uncommon cancer that develops in the lymphatic system, causing abnormal multiplication of B-lymphocytes and collecting in certain parts of the lymphatic system, such as the lymph nodes. This leads to symptoms such as painless swelling in the lymph nodes."
1,Who does Hodgkin lymphoma mostly affect?,<noinput>,"Hodgkin lymphoma mostly affects people between the ages of 20 and 40, as well as those over the age of 75. It slightly affects more men than women."
2,What are the causes of Hodgkin lymphoma?,<noinput>,"The exact cause of Hodgkin lymphoma is unknown. However, factors that can increase the risk include having a weakened immune system, taking immunosuppressant medicine, previous exposure to the Epstein-Barr virus (causing glandular fever), and having a first-degree relative with the condition."
3,How is Hodgkin lymphoma diagnosed?,<noinput>,"Hodgkin lymphoma is diagnosed by performing a biopsy, where a sample of affected lymph node tissue is removed and examined in a laboratory."
4,What are the main treatments for Hodgkin lymphoma?,<noinput>,"The main treatments for Hodgkin lymphoma are chemotherapy, followed by radiotherapy or chemotherapy alone. Surgery is not commonly used as a treatment."
5,What is the outlook for Hodgkin lymphoma?,<noinput>,"Hodgkin lymphoma is a relatively aggressive cancer, but it is also one of the most easily treated types of cancer. The outlook is generally positive, with around 8 out of 10 people living at least 5 years and most being cured. However, there can be long-term problems after treatment, such as infertility and an increased risk of developing other types of cancer."
6,What are the symptoms of Hodgkin lymphoma?,<noinput>,"The most common symptom of Hodgkin lymphoma is painless swelling in a lymph node, typically in the neck, armpit, or groin."
7,How many people are diagnosed with Hodgkin lymphoma in the UK each year?,<noinput>,"Around 2,100 people are diagnosed with Hodgkin lymphoma in the UK annually."
8,What are the potential complications of Hodgkin lymphoma?,<noinput>,"After treatment, complications of Hodgkin lymphoma can include infertility and an increased risk of developing another type of cancer in the future."
9,What are the risk factors for developing Hodgkin lymphoma?,<noinput>,"Risk factors for developing Hodgkin lymphoma include having a weakened immune system, taking immunosuppressant medicine, previous exposure to the Epstein-Barr virus, and having a first-degree relative with the condition."
0,What is Hodgkin lymphoma?,<noinput>,"Hodgkin lymphoma is an uncommon cancer that develops in the lymphatic system, affecting B-lymphocytes and causing them to multiply abnormally and collect in certain parts of the lymphatic system."
1,What are the symptoms of Hodgkin lymphoma?,<noinput>,"The most common symptom of Hodgkin lymphoma is painless swelling in a lymph node, usually in the neck, armpit, or groin."
2,Who is affected by Hodgkin lymphoma?,<noinput>,"Hodgkin lymphoma can develop at any age, but it mostly affects people between 20 and 40 years old and those over 75. Slightly more men than women are affected."
3,What are the causes of Hodgkin lymphoma?,<noinput>,"The exact cause of Hodgkin lymphoma is unknown, but factors such as weakened immune system, immunosuppressant medicine, and previous exposure to Epstein-Barr virus can increase the risk."
4,How is Hodgkin lymphoma diagnosed?,<noinput>,A biopsy is required to confirm a diagnosis. This involves removing a sample of affected lymph node tissue and studying it in a laboratory.
5,What are the treatment options for Hodgkin lymphoma?,<noinput>,"The main treatments are chemotherapy, followed by radiotherapy or chemotherapy alone. Surgery is not commonly used."
6,What is the outlook for Hodgkin lymphoma?,<noinput>,"Hodgkin lymphoma is one of the most easily treated cancers. About 8 out of 10 people live at least 5 years and most are cured. However, there is a risk of long-term problems and secondary cancers after treatment."
7,How many people are diagnosed with Hodgkin lymphoma in the UK each year?,<noinput>,"Around 2,100 people are diagnosed with Hodgkin lymphoma in the UK each year."
8,What are the complications of Hodgkin lymphoma?,<noinput>,Complications of Hodgkin lymphoma can include infertility and an increased risk of developing another type of cancer in the future.
9,Is surgery used as a treatment for Hodgkin lymphoma?,<noinput>,Surgery is not generally used as a treatment for Hodgkin lymphoma.
