,q,i,a
0,What are the symptoms of hypothermia?,<noinput>,"Symptoms of hypothermia include shivering, pale and cold skin, slurred speech, slow breathing, tiredness or confusion. In babies, symptoms may include cold to touch, floppy, unusually quiet and sleepy."
1,What immediate action should be taken if you think you have hypothermia?,<noinput>,"If you think you have hypothermia, you should go to A&E or call 999 for immediate medical attention."
2,What should you do while waiting for help for hypothermia?,<noinput>,"While waiting for help for hypothermia, you should move the person indoors or to a sheltered place, remove wet clothing, wrap them in a blanket, give them a warm non-alcoholic drink and some sugary food, and keep them awake by talking to them until help arrives."
3,What should you not do if someone has hypothermia?,<noinput>,"If someone has hypothermia, you should not use a hot bath, hot water bottle or heat lamp to warm them up, rub their arms, legs, feet, or hands, or give them alcohol to drink."
4,How is hypothermia treated in a hospital?,<noinput>,"If you have hypothermia, you'll usually be treated in a hospital. Your heart rate will be monitored, and you may be given oxygen to help with breathing. Warm fluids may be given intravenously to help warm up the body. Severe cases may require treatment in intensive care."
5,What are the possible causes of hypothermia?,<noinput>,"Hypothermia can occur if you don't wear enough warm clothes in cold weather, stay outside in the cold for too long, fall into cold water, have wet clothes and get cold, or live in a cold house."
6,How is hypothermia defined?,<noinput>,Hypothermia is a dangerous drop in body temperature below 35C. Normal body temperature is around 37C.
7,What should be done if a baby has hypothermia?,<noinput>,"If a baby has hypothermia, they should be kept warm, offered a warm drink, and medical attention should be sought immediately."
8,What is the recommended action if you suspect hypothermia?,<noinput>,"If you suspect hypothermia, it is important to go to A&E or call 999 for urgent medical help."
9,Who is at higher risk of hypothermia?,<noinput>,"Older people living alone are particularly at risk of hypothermia, especially if they live in a cold house."
0,What are the symptoms of hypothermia?,<noinput>,"Symptoms of hypothermia include: shivering, pale/cold/dry skin, slurred speech, slow breathing, tiredness or confusion."
1,What should I do if I suspect someone has hypothermia?,<noinput>,"If you suspect someone has hypothermia, move them indoors, remove wet clothing, wrap them in a blanket, give them a warm non-alcoholic drink, talk to them to keep them awake, and stay with them until help arrives."
2,What should I not do if someone has hypothermia?,<noinput>,"Do not use hot water or heat lamps to warm them up, do not rub their arms or legs, and do not give them alcohol to drink."
3,What is the treatment for hypothermia in the hospital?,<noinput>,"If you have hypothermia, you'll usually be treated in the hospital. Your heart rate will be monitored, and you may be given oxygen and warm fluids to help your body warm up."
4,What causes hypothermia?,<noinput>,"Hypothermia can be caused by not wearing enough clothes in cold weather, staying out in the cold for too long, falling into cold water, having wet clothes in the cold, or living in a cold house."
5,What are the immediate actions required if I think someone has hypothermia?,<noinput>,"If you think someone has hypothermia, go to A&E or call 999 immediately."
6,What should I do while waiting for help for hypothermia?,<noinput>,"While waiting for help for hypothermia, move the person indoors, remove wet clothing, wrap them in a blanket, give them a warm non-alcoholic drink, and keep them awake."
7,What are the symptoms of hypothermia in a baby?,<noinput>,"Symptoms of hypothermia in a baby include being cold to the touch, being floppy, being unusually quiet and sleepy, and refusing to feed."
8,What are the symptoms of severe hypothermia and when is treatment in intensive care needed?,<noinput>,Severe hypothermia is characterized by very low body temperature and may require treatment in intensive care.
9,Where can I find my nearest A&E?,<noinput>,You can find your nearest A&E by searching online or calling 999.
