,q,i,a
0,What are the symptoms of insomnia?,<noinput>,"You have insomnia if you regularly find it hard to go to sleep, wake up several times during the night, lie awake at night, wake up early and cannot go back to sleep, still feel tired after waking up, find it hard to nap during the day even though you're tired, feel tired and irritable during the day, and find it difficult to concentrate during the day because you're tired."
1,How much sleep do adults need on average?,<noinput>,"On average, adults need 7 to 9 hours of sleep."
2,What are some common causes of insomnia?,<noinput>,"Some common causes of insomnia are stress, anxiety, depression, noise, a room that's too hot or cold, uncomfortable beds, alcohol, caffeine, nicotine, recreational drugs, jet lag, and shift work."
3,What are some conditions and things that can cause insomnia?,<noinput>,"Some conditions and things that can cause insomnia are mental health conditions, Alzheimer's disease, Parkinson's disease, restless legs syndrome, overactive thyroid, menopause, long-term pain, sleepwalking, snoring, interrupted breathing while sleeping, suddenly falling asleep anywhere, nightmares, and night terrors."
4,How can you treat insomnia yourself?,<noinput>,"Insomnia can usually be treated by changing your sleeping habits. Go to bed and wake up at the same time every day, relax at least 1 hour before bed, make sure your bedroom is dark and quiet, exercise regularly, and make sure your mattress, pillows, and covers are comfortable."
5,How can a pharmacist help with insomnia?,<noinput>,A pharmacist can provide tablets or liquids from a pharmacy that may help you sleep better. These products cannot cure insomnia but may help you sleep better for 1 to 2 weeks. Check with your doctor before taking anything for your sleep problems.
6,When should you see a GP about your insomnia?,Changing your sleeping habits has not worked and you have had trouble sleeping for months,"You should see a GP if changing your sleeping habits has not worked, and you have had trouble sleeping for months and your insomnia is affecting your daily life in a way that makes it hard for you to cope."
7,What treatment can you expect from a GP for insomnia?,<noinput>,"A GP will try to find out what's causing your insomnia so you get the right treatment. You may be referred to a therapist for cognitive behavioural therapy, or to a sleep clinic if you have symptoms of another sleep disorder. Sleeping pills are rarely prescribed."
0,What are the symptoms of insomnia?,<noinput>,"The symptoms of insomnia include difficulty falling asleep, waking up multiple times during the night, lying awake at night, waking up early and being unable to go back to sleep, feeling tired after waking up, struggling to nap during the day, feeling tired and irritable during the day, and difficulty concentrating due to tiredness."
1,How much sleep do adults need?,<noinput>,"On average, adults need 7 to 9 hours of sleep."
