,q,i,a
0,What are the symptoms of Japanese encephalitis?,<noinput>,"Most people who get Japanese encephalitis have no symptoms. Some may experience flu-like symptoms such as a headache, high temperature, feeling or being sick, and tummy pain. In severe cases, symptoms like severe headache, confusion, paralysis, seizures, and difficulty breathing may occur."
1,How can I lower my risk of Japanese encephalitis?,<noinput>,"To lower your risk of Japanese encephalitis, you can use insect repellent, sleep under a treated mosquito net, wear appropriate clothing to protect your skin from mosquito bites, and seek advice from a travel vaccination clinic before your travel."
2,Where is Japanese encephalitis commonly found?,<noinput>,"Japanese encephalitis is mostly found in rural areas of Asia, such as India, China, Japan, South Korea, Indonesia, and Southeast Asia (Thailand, Malaysia, and Vietnam). It is not found in the UK."
3,What should I do if I have flu-like symptoms after traveling to an area where Japanese encephalitis is found?,<noinput>,"If you have flu-like symptoms (headache, high temperature, feeling or being sick, tummy pain) after traveling to an area with Japanese encephalitis, you should ask for an urgent GP appointment or get help from NHS 111. Mention your recent travel and if you were bitten by a mosquito."
4,Is there a vaccine available for Japanese encephalitis?,<noinput>,"Yes, there is a vaccine for Japanese encephalitis. It is recommended if you're traveling to a part of the world where the virus is found, especially if you're staying for more than a month, staying in a rural area, or staying near/visiting rice fields, wetlands, or places where pigs are kept."
5,Where can I get the Japanese encephalitis vaccine?,<noinput>,"You can get the Japanese encephalitis vaccine from travel health clinics and pharmacies with travel health services. However, you'll have to pay for the vaccine."
6,What should I do if I or someone else shows severe symptoms of Japanese encephalitis?,<noinput>,"If you or someone else has severe symptoms such as a severe headache and a stiff neck, sudden confusion, weakness or inability to feel or move parts of the body, seizures, loss of consciousness, or severe difficulty breathing, call 999 for immediate medical assistance."
7,What is the treatment for Japanese encephalitis?,<noinput>,"Treatment for Japanese encephalitis involves hospitalization for serious cases. Medicines such as painkillers and steroids may be given to relieve symptoms. The infection can sometimes lead to long-term complications like paralysis, seizures, and loss of speech."
8,Is Japanese encephalitis common?,<noinput>,"Japanese encephalitis is rare for travelers to get, but it is a serious infection if contracted. Most people who get infected show no symptoms. It's important to take precautions when traveling to areas where the virus is found."
9,Where can I find health advice for a country I'm traveling to?,<noinput>,You can find health advice for a country you're traveling to on the TravelHealthPro website. It is recommended to check your travel risks and take necessary precautions before your trip.
0,What is Japanese encephalitis?,<noinput>,"Japanese encephalitis is a rare but serious infection caused by a virus spread through mosquito bites, mostly found in rural areas of Asia."
1,How can I lower my risk of Japanese encephalitis?,<noinput>,"To lower your risk, you should use insect repellent, sleep under a mosquito net, wear protective clothing, and seek advice from a travel vaccination clinic before you travel."
2,Is there a vaccine for Japanese encephalitis?,<noinput>,"Yes, a vaccine is recommended if you're traveling to an area where the virus is found, especially if you're staying for more than a month or in a rural area."
3,What are the symptoms of Japanese encephalitis?,<noinput>,"Most people have no symptoms, but some may experience flu-like symptoms such as headache, high temperature, nausea, and abdominal pain. In severe cases, it can cause confusion, paralysis, seizures, and severe headaches."
4,When should I seek urgent medical advice for Japanese encephalitis?,<noinput>,"You should ask for an urgent GP appointment or call NHS 111 if you have recently traveled to an area where Japanese encephalitis is found and have flu-like symptoms. Also, seek immediate help if you have severe symptoms like severe headache, stiff neck, confusion, paralysis, seizures, or difficulty breathing."
5,What should I do if I have Japanese encephalitis symptoms while traveling?,<noinput>,You should seek medical advice quickly if you have symptoms while traveling.
6,How is Japanese encephalitis treated?,<noinput>,"Treatment for Japanese encephalitis involves being treated in the hospital. Medicines like painkillers and steroids are given to relieve symptoms. There can be long-term complications such as paralysis, seizures, and loss of speech."
7,Where can I get the Japanese encephalitis vaccine?,<noinput>,You can get the Japanese encephalitis vaccine from travel health clinics and pharmacies with travel health services.
8,Is Japanese encephalitis found in the UK?,<noinput>,"No, Japanese encephalitis is not found in the UK. It is mostly found in rural areas of Asia."
9,What is the risk of catching Japanese encephalitis while traveling?,<noinput>,"While it is rare for travelers to get Japanese encephalitis, there is a risk in areas such as India, China, Japan, South Korea, Indonesia, and Southeast Asia."
