,q,i,a
0,What are the symptoms of lactose intolerance?,<noinput>,"Common symptoms of lactose intolerance include tummy pain or discomfort, bloating, farting, diarrhea or constipation, feeling sick or being sick. Longer lasting symptoms can include a rash, headaches, joint pain, feeling tired, and difficulty concentrating."
1,Which foods contain lactose?,<noinput>,"Lactose is found in foods containing animal milk, such as milk, butter, cheese, cream, and yogurt. It is also present in many processed foods like cereals, bread, crackers, cakes, biscuits, pastries, sauces, salad dressings, and diet and protein shakes."
2,How can lactose intolerance be diagnosed?,<noinput>,"To diagnose lactose intolerance, your GP may ask you to follow a lactose elimination diet, have blood tests, or undergo a hydrogen breath test to measure how well you digest lactose. In some cases, a gastroscopy may be necessary."
3,What are the potential treatments for lactose intolerance?,<noinput>,"For most people, reducing the amount of lactose-containing foods or avoiding them completely can prevent symptoms. Taking a lactase supplement before consuming lactose may also help. Treating the underlying cause, if lactose intolerance is caused by another health condition, can alleviate symptoms."
4,What is the most common cause of lactose intolerance?,<noinput>,"The most common cause of lactose intolerance is a deficiency in the production of the enzyme lactase, which is necessary to digest lactose. Lactose intolerance can also be caused by conditions like inflammatory bowel disease, Coeliac disease, bowel infections, bowel surgery, or bowel injury."
5,When should I see a doctor regarding lactose intolerance?,<noinput>,"You should see your GP if you have symptoms of lactose intolerance that keep coming back, notice changes in your bowel movements, have blood in your stool, experience persistent tummy bloating and discomfort, or have been losing weight. Immediate medical attention is needed if you have a serious allergic reaction."
6,What are the differences between lactose intolerance and a food allergy?,<noinput>,"Lactose intolerance is different from a food allergy. It causes symptoms like tummy pain and bloating, while a food allergy can cause severe reactions like difficulty breathing, itchy skin, and swelling. Food allergies can be life threatening."
7,Can lactose intolerance occur at any age?,<noinput>,"Yes, lactose intolerance can occur at any age. It can also be present from birth or develop later in life. Some premature babies may be temporarily lactose intolerant, but it usually improves as they grow older."
8,What should I do if I suspect lactose intolerance in my child?,<noinput>,"If you suspect lactose intolerance in your child, it's important to see your GP before removing dairy products from their diet. They can provide proper guidance and ensure your child receives adequate nutrition."
9,What are the immediate actions required if I experience a severe allergic reaction?,<noinput>,"If you experience a severe allergic reaction, including symptoms like skin rash, wheezing, chest/throat tightness, trouble breathing or talking, or swelling of the mouth, face, lips, tongue, or throat, call emergency services immediately by dialing 999. You may need immediate treatment in a hospital."
0,What are the symptoms of lactose intolerance?,<noinput>,"Common symptoms of lactose intolerance include tummy pain or discomfort, bloating, farting, diarrhea or constipation, feeling sick or being sick, and longer lasting symptoms such as rash, headaches, joint pain, fatigue, and difficulty concentrating."
1,What foods contain lactose?,<noinput>,"Foods containing lactose include milk, butter, cheese, cream, yogurt, ice cream, and many processed foods like cereals, baked foods, sauces, and salad dressings."
2,How can lactose intolerance be prevented?,<noinput>,Lactose intolerance can be prevented by eating smaller portions of foods that contain lactose or by avoiding them completely.
3,How can I check for lactose intolerance?,<noinput>,"If you suspect lactose intolerance, your GP may ask you to follow a lactose elimination diet, do blood tests, or undergo a hydrogen breath test to measure lactose digestion. In severe cases, a gastroscopy may be needed."
4,What treatment options are available for lactose intolerance?,<noinput>,"Most people can manage lactose intolerance by reducing lactose intake or avoiding lactose-containing foods. Lactase supplements may help some individuals. If lactose intolerance is caused by another condition, treating the underlying cause is important."
5,What causes lactose intolerance?,<noinput>,"The most common cause of lactose intolerance is the lack of an enzyme called lactase. Other causes include inflammatory bowel disease, coeliac disease, bowel infections, bowel surgery, and bowel injuries. Premature babies may also have temporary lactose intolerance."
6,When should I see a doctor for lactose intolerance?,<noinput>,"You should see your GP if you have symptoms of lactose intolerance that keep coming back, notice changes in your bowel movements, have blood in your stool, experience persistent bloating or discomfort, or have unexplained weight loss."
7,What are the symptoms of a serious allergic reaction to lactose?,<noinput>,"Symptoms of a serious allergic reaction to lactose include skin rash, wheezing, chest or throat tightness, difficulty breathing or talking, and swelling of the mouth, face, lips, tongue, or throat. Call 999 immediately if experiencing these symptoms."
8,How does lactose intolerance differ from a food allergy?,<noinput>,"Lactose intolerance is different from a food allergy. While lactose intolerance causes digestive symptoms, a food allergy can cause symptoms like difficulty breathing, itchy skin, and swelling. Food allergies can be life-threatening."
9,Can lactose intolerance start at any age?,<noinput>,"Yes, lactose intolerance can start at any age. It can also be caused by conditions like inflammatory bowel disease, coeliac disease, or bowel infections."
