,q,i,a
0,What are the main symptoms of lichen planus?,<noinput>,"The main symptoms of lichen planus include clusters of shiny, raised, purple-red blotches on your arms, legs or body (you may see fine white lines on the blotches), white patches on your gums, tongue or the insides of your cheeks, burning and stinging in your mouth, bald patches appearing on your scalp, sore red patches on your vulva, rough, thinning nails with grooves on, and ring-shaped purple or white patches on your penis. You may only have 1 of these symptoms."
1,How does lichen planus appear on the skin?,<noinput>,Lichen planus often appears as purple-red blotches on the inside of your wrist or as a rash on the inside of your arm.
2,What are the possible symptoms of conditions similar to lichen planus?,<noinput>,"Similar conditions may cause red, flaky, crusty patches on the elbows or knees (psoriasis), raised, red, scaly patches on the body (pityriasis rosea), itching and white patches on the vulva (lichen sclerosus), ring-like red patches anywhere on the body (ringworm), or itchy, dry, cracked, sore, and red skin (eczema)."
3,What are the treatments for lichen planus?,<noinput>,"Lichen planus on the skin usually gets better on its own in about 9 to 18 months. Creams and ointments from a GP can help control the rash and ease itching. If creams and ointments do not work, or you have severe lichen planus, steroid tablets or treatment with a special kind of light (light therapy) can help. Lichen planus in your mouth can last for several years. Mouthwashes and sprays from a GP can help ease symptoms like burning or sore gums."
4,What can I do at home to ease lichen planus symptoms on the skin?,<noinput>,"If you have lichen planus on your skin, you can wash with warm water (avoid soaps and body washes), wash your hair over a sink or bath so the shampoo does not touch the rest of your skin, use moisturizing treatment for the skin (emollient), and try not to scratch your skin."
5,What can I do at home to ease lichen planus symptoms on the genitals?,<noinput>,"If you have lichen planus on your genitals, you can have showers rather than baths, hold a bag of frozen peas wrapped in a clean tea towel against the affected areas to ease itching and swelling, avoid wearing tights or close-fitting clothes, carefully dry yourself after having a pee to reduce the chances of pee getting in contact with your skin, and use a lubricant if sex is painful."
6,What can I do at home to ease lichen planus symptoms in the mouth?,<noinput>,"If you have lichen planus in your mouth, you can avoid salty, spicy and acidic foods, or alcohol if they make your mouth sore, brush your teeth carefully twice a day to keep your gums healthy, and use a mouthwash that does not contain alcohol if it makes your mouth sore."
0,What are the main symptoms of lichen planus?,<noinput>,"The main symptoms of lichen planus include clusters of shiny, raised, purple-red blotches on your arms, legs, or body, white patches on your gums, tongue or the insides of your cheeks, burning and stinging in your mouth, bald patches on your scalp, sore red patches on your vulva, rough, thinning nails, and ring-shaped purple or white patches on your penis. It can also appear as itchy rashes on the skin."
1,How does lichen planus appear on the skin?,<noinput>,Lichen planus often appears as purple-red blotches on the inside of your wrist or as a rash on the inside of your arm.
2,What are the possible causes for conditions similar to lichen planus?,<noinput>,"Conditions similar to lichen planus can be caused by psoriasis, pityriasis rosea, lichen sclerosus, ringworm, or eczema."
3,What are some treatments for lichen planus?,<noinput>,"Treatments for lichen planus include creams and ointments from a GP to control the rash and ease itching, steroid tablets or light therapy for severe cases, and mouthwashes and sprays for symptoms in the mouth. Lichen planus on the skin usually resolves on its own within 9 to 18 months."
4,How can lichen planus symptoms be eased at home?,<noinput>,"To ease lichen planus symptoms at home, you can try washing affected skin with warm water, using a moisturizing treatment prescribed by a GP, avoiding scratching the skin, having showers instead of baths for genital symptoms, using a bag of frozen peas for itching and swelling, avoiding tight clothes, carefully drying after urination, using a lubricant for painful sex, and following good oral hygiene practices."
5,What should I do if I think I have lichen planus?,<noinput>,"If you think you have lichen planus, it is recommended to see a GP for diagnosis and further advice."
6,How long does lichen planus last in the mouth?,<noinput>,Lichen planus in the mouth can last for several years. Mouthwashes and sprays prescribed by a GP can help ease symptoms like burning or sore gums.
7,Can lichen planus come back once it's cleared up?,<noinput>,Lichen planus does not usually come back once it's cleared up and it is not contagious.
8,What should I avoid if I have lichen planus in my mouth?,<noinput>,"If you have lichen planus in your mouth, it is recommended to avoid salty, spicy, and acidic foods or alcohol if they make your mouth sore. You should also brush your teeth carefully twice a day, use an alcohol-free mouthwash if it makes your mouth sore, and maintain good oral hygiene."
9,What are the possible causes of lichen sclerosus?,<noinput>,"The possible cause of lichen sclerosus is not lichen planus. Some possible causes are psoriasis, pityriasis rosea, ringworm, and eczema."
0,What are the main symptoms of lichen planus?,<noinput>,"The main symptoms of lichen planus include clusters of shiny, raised, purple-red blotches on your arms, legs or body; white patches on your gums, tongue or the insides of your cheeks; burning and stinging in your mouth; bald patches on your scalp; sore red patches on your vulva; rough, thinning nails with grooves; and ring-shaped purple or white patches on your penis. It may also cause itching on the skin."
1,How can lichen planus appear on the skin?,<noinput>,Lichen planus can appear as purple-red blotches on the inside of your wrist or as a rash on the inside of your arm. It may also cause itching on the skin.
2,"What are the possible causes of red, flaky, crusty patches on the elbows or knees?",<noinput>,"Red, flaky, crusty patches on the elbows or knees can be a symptom of psoriasis, a condition similar to lichen planus."
3,How long does lichen planus on the skin usually last?,<noinput>,Lichen planus on the skin usually gets better on its own in about 9 to 18 months.
4,What treatments are available for lichen planus?,<noinput>,"Creams and ointments from a GP can help control the rash and ease itching. In severe cases or when creams do not work, steroid tablets or light therapy can be used. For lichen planus in the mouth, mouthwashes and sprays can help ease symptoms."
5,Is lichen planus contagious?,<noinput>,"No, lichen planus is not contagious."
6,How can lichen planus symptoms be eased at home?,If you have lichen planus on your skin.,"To ease lichen planus symptoms on the skin, wash with warm water (avoid soaps), use a moisturizer, and avoid scratching the skin."
7,How can lichen planus symptoms be eased at home?,If you have lichen planus on your genitals.,"To ease lichen planus symptoms on the genitals, have showers instead of baths, apply a cold compress, avoid tight-fitting clothes, and use a lubricant during sex if it's painful."
8,How can lichen planus symptoms be eased at home?,If you have lichen planus in your mouth.,"To ease lichen planus symptoms in the mouth, avoid salty, spicy, or acidic foods and alcohol, brush your teeth carefully, and use an alcohol-free mouthwash."
9,Can lichen planus come back once it's cleared up?,<noinput>,Lichen planus does not usually come back once it's cleared up.
