,q,i,a
0,What are the main symptoms of lupus?,<noinput>,"The main symptoms of lupus include joint and muscle pain, extreme tiredness, skin rashes (often over the nose and cheeks), headaches, mouth ulcers, hair loss, swollen glands, and changes in the color of fingers and toes when cold or stressed."
1,How is lupus diagnosed?,<noinput>,"Lupus is diagnosed through blood tests that show high levels of specific antibodies, along with typical symptoms. Additional tests such as X-rays and scans may be done to assess organ involvement."
2,What are the treatment options for lupus?,<noinput>,"Treatment for lupus may involve anti-inflammatory medicines, hydroxychloroquine, steroid tablets or creams, and sometimes immunosuppressant or biological medicines."
3,What can I do to manage lupus symptoms?,<noinput>,"To manage lupus symptoms, you can use sunscreen, pace yourself to avoid fatigue, stay active, practice relaxation techniques, inform your employer about your condition, seek support, and maintain a healthy diet."
4,What are the causes of lupus?,<noinput>,"The exact causes of lupus are not fully understood, but possible factors include viral infections, certain medications, sunlight, puberty, childbirth, and menopause. It is more common in women, especially those with African, Caribbean, Asian, or Chinese backgrounds."
5,Can lupus affect pregnancy?,<noinput>,"Yes, lupus can cause complications in pregnancy. It is important to consult a doctor before trying to conceive and discuss the risks and possible changes to medication."
6,Is there any specific information about lupus in children?,<noinput>,There is a video available that explains how lupus affects children. It provides information about the autoimmune condition and its impact on children.
7,Where can I find more information and support for lupus?,<noinput>,"You can find more information and support for lupus on the Lupus UK website, which offers advice and resources."
8,What are the different severities of lupus?,<noinput>,"Lupus can range from mild to severe. The severity depends on how it affects the body. Mild lupus may cause joint and skin problems, moderate lupus can involve inflammation of other organs, and severe lupus can lead to severe damage to vital organs such as the heart, lungs, brain, or kidneys."
9,Are there any tests for lupus?,<noinput>,"Yes, a GP may perform blood tests to check for high levels of certain antibodies. X-rays and scans may also be ordered to assess organ involvement. Regular checks and tests, including blood and urine tests, may be recommended if lupus is confirmed."
0,What are the main symptoms of lupus?,<noinput>,"The main symptoms of lupus include joint and muscle pain, extreme tiredness, skin rashes (especially after sun exposure), headaches, mouth ulcers, hair loss, and swollen glands."
1,How is lupus diagnosed?,<noinput>,"Lupus can be diagnosed through blood tests that show high levels of specific antibodies, along with typical symptoms. X-rays and scans may also be done to check for organ involvement."
2,What are the different severities of lupus?,<noinput>,"Lupus can range from mild, which affects the joints and skin primarily, to severe, where inflammation can cause damage to the heart, lungs, brain, or kidneys."
3,What treatments are available for lupus?,<noinput>,"Treatment for lupus may include anti-inflammatory medicines, hydroxychloroquine, steroid tablets or creams, and immunosuppressants or biological medicines for severe cases."
4,What can I do to manage lupus symptoms?,<noinput>,"To help manage lupus symptoms, you can use sunscreen, pace yourself, stay active, practice relaxation techniques, inform your employer about your condition, seek support from loved ones and professionals, and maintain a healthy diet."
5,What are the causes of lupus?,<noinput>,"The exact causes of lupus are unknown, but potential factors include viral infections, certain medications, sunlight exposure, hormonal changes during puberty, childbirth, and menopause. It is also more common in women."
6,How does lupus affect pregnancy?,<noinput>,Lupus can lead to complications during pregnancy. It is recommended to consult a doctor before attempting to conceive to discuss potential risks and necessary medication adjustments.
7,Is there any information available on lupus in children?,<noinput>,"Yes, there is a video available that discusses how lupus affects children. You can watch it to learn more about this autoimmune condition in pediatric patients."
8,Where can I find more information and support regarding lupus?,<noinput>,"You can find more information and support regarding lupus on the Versus Arthritis website and through Lupus UK, which provides information, advice, and support."
9,Can lupus be transmitted from person to person?,<noinput>,"No, lupus is not contagious. It is an autoimmune condition where the body's immune system mistakenly attacks healthy tissues."
