,q,i,a
0,What is a mastectomy?,<noinput>,A mastectomy is an operation to remove a breast and is used to treat breast cancer in women and men.
1,How long does a mastectomy operation take?,<noinput>,A mastectomy operation takes about 90 minutes.
2,How long does it take to recover from a mastectomy?,<noinput>,It can take 4 to 6 weeks to recover from a mastectomy.
3,What are the types of mastectomy?,<noinput>,"Some of the main types of mastectomy are: standard mastectomy, skin-sparing mastectomy, nipple-sparing mastectomy, radical mastectomy, and modified radical mastectomy."
4,When is a mastectomy recommended?,<noinput>,"A mastectomy may be recommended if the cancer is in a large area of the breast, if the cancer has spread throughout the breast, if the breast is full of pre-cancerous cells, or if a woman is at high risk of breast cancer."
5,What happens during a mastectomy operation?,<noinput>,"During a mastectomy, a horizontal or diagonal cut is made across the breast to remove the tissue. Drainage tubes may be inserted, and different types of mastectomies may be performed depending on the extent of tissue removal."
6,What are the recovery steps after a mastectomy?,<noinput>,"After a mastectomy, most people wake up with a drip in their arm, drainage tubes coming from the wound, and a dressing to keep the wound clean. Healing usually takes around 2 to 3 weeks, and there may be bruising, swelling, and stiffness in the chest and arm area."
7,What is breast reconstruction?,<noinput>,Breast reconstruction is an operation to make a replacement for the tissue removed during a mastectomy. It can be done at the same time as a mastectomy or at a later date.
8,What are some complications of a mastectomy?,<noinput>,"Complications of a mastectomy can include wound infection, lymphoedema (build-up of fluid in the arm and hand), and bleeding. It's important to seek medical advice if any concerns arise."
9,Where can I find emotional support during the mastectomy recovery process?,<noinput>,"You can find emotional support from organizations like Macmillan Cancer Support, Cancer Research UK, and Breast Cancer Now. Your doctor or nurse can provide information on contacting others who have had a mastectomy."
0,What is a mastectomy?,<noinput>,"A mastectomy is a surgical procedure to remove a breast, typically used to treat breast cancer."
1,When is a mastectomy recommended?,<noinput>,"A mastectomy may be recommended if the cancer is in a large area of the breast, the cancer has spread throughout the breast, the breast is full of pre-cancerous cells, or for some women at high risk of breast cancer even when there's no sign of cancer."
2,What are the different types of mastectomy?,<noinput>,"Some of the main types of mastectomy are standard mastectomy, skin-sparing mastectomy, nipple-sparing mastectomy, radical mastectomy, and modified radical mastectomy."
3,What happens during a mastectomy?,<noinput>,"During a mastectomy, a horizontal or diagonal cut is made across the breast to remove the breast tissue. The amount removed depends on the type of mastectomy being performed."
4,What is breast reconstruction?,<noinput>,Breast reconstruction is a surgical procedure done to create a replacement for the breast tissue that was removed during a mastectomy. It can be done at the same time as the mastectomy or at a later date.
5,How long does it take to recover from a mastectomy?,<noinput>,It can take 4 to 6 weeks to recover from a mastectomy. The healing process may vary for each individual.
6,What should I expect after a mastectomy?,<noinput>,"After a mastectomy, you may experience soreness, bruising, swelling, and stiffness in the chest and arm area. You may also have drainage tubes, a dressing, and a scar that will fade over time."
7,Can I drive after a mastectomy?,<noinput>,You should consult with your doctor or nurse about when it is safe for you to start driving again after a mastectomy. It usually depends on your level of comfort and ability to make an emergency stop without discomfort.
8,When can I return to work after a mastectomy?,<noinput>,"The time it takes to return to work after a mastectomy varies from person to person. Taking 4 to 8 weeks off is fairly typical, but it's important to listen to your body and give yourself enough time to recover."
9,Where can I find emotional support after a mastectomy?,<noinput>,"You can find emotional support from organizations like Macmillan Cancer Support, Cancer Research UK, Breast Cancer Now, and local cancer support services. Your doctor or nurse can provide more information on connecting with others who have had a mastectomy."
