,q,i,a
0,How can I check if I or my child has measles?,What are the symptoms of measles?,"Measles usually starts with cold-like symptoms, followed by a rash a few days later. Some people may also get small spots in their mouth."
1,What does the measles rash look like?,What is the appearance of the measles rash?,"The measles rash usually starts on the face and behind the ears before spreading to the rest of the body. The spots are sometimes raised and join together to form blotchy patches, and they're not usually itchy."
2,What should I do if I think I or my child has measles?,What is the recommended action if someone suspects measles?,Ask for an urgent GP appointment or get help from NHS 111 if you think you or your child may have measles. It's important to call your GP surgery before you go in.
3,How can I take care of myself or my child when they have measles?,What steps should I follow to look after someone with measles?,"After seeing a GP, it is recommended to rest and drink plenty of fluids to avoid dehydration. Taking paracetamol or ibuprofen can help relieve a high temperature. Gently removing any crusts from the eyes using cotton wool soaked in warm water can also be beneficial."
4,What can I do to avoid spreading or catching measles?,How can I reduce the risk of spreading or catching measles?,"To reduce the risk of spreading or catching measles, it is advised to wash hands frequently with soap and warm water, use tissues when coughing or sneezing, and throw used tissues in the bin. It is important to not share cutlery, cups, towels, clothes, or bedding."
5,What are the complications of measles?,What problems can be caused by measles?,"Measles can lead to serious problems such as pneumonia, meningitis, blindness, and seizures. These complications are rare but more common in babies and people with weakened immune systems. In pregnancy, measles can harm the baby and cause complications like miscarriage or low birthweight."
6,When should I seek immediate medical attention for measles?,What are the signs that indicate the need for immediate medical attention for measles?,"If you or your child has measles and experiences shortness of breath, a high temperature that does not come down after taking paracetamol or ibuprofen, confusion, or seizures, call 999 or go to A&E."
7,How can I protect myself and my child from measles?,What is the best way to prevent measles?,"The MMR vaccine can prevent measles, mumps, and rubella. It is offered to all children in the UK, and 2 doses can provide lifelong protection. If unsure about vaccination status, consult your GP who can administer the vaccine for free on the NHS."
8,Where can I find more information about the MMR vaccine?,<noinput>,You can find more information about the MMR vaccine by consulting your GP or visiting trusted healthcare websites.
0,What are the symptoms of measles?,<noinput>,"The symptoms of measles include a high temperature, runny or blocked nose, sneezing, cough, red and sore eyes, small white spots in the mouth, and a rash that starts on the face and spreads to the rest of the body."
1,How can I check if I or my child has measles?,<noinput>,"To check if you or your child has measles, look for symptoms such as cold-like symptoms followed by a rash, small spots in the mouth, and a rash that starts on the face and spreads to the rest of the body."
2,What should I do if I suspect measles?,<noinput>,"If you suspect measles, ask for an urgent GP appointment or get help from NHS 111. It's important to avoid contact with others and call your GP before going in."
3,How long does measles last?,<noinput>,"Measles usually starts to get better in about a week. It's important to rest, drink plenty of fluids, and avoid close contact with others to reduce the risk of spreading the infection."
4,How can I look after myself or my child if we have measles?,<noinput>,"To look after yourself or your child with measles, rest, drink plenty of fluids, take paracetamol or ibuprofen to relieve a high temperature, and gently remove crusts from the eyes with warm water-soaked cotton wool."
