,q,i,a
0,What are the symptoms of mpox?,<noinput>,"The symptoms of mpox include high temperature, headache, muscle aches, swollen glands, joint pain, and a rash that starts on the face and spreads to other parts of the body."
1,How is mpox transmitted?,<noinput>,"Mpox can be transmitted through close physical contact with blisters or scabs, touching clothing or bedding used by someone with mpox, and through respiratory droplets from coughs or sneezes of an infected person. In some cases, it can also be caught from infected rodents or by consuming their meat."
2,When should I contact a sexual health clinic for mpox?,<noinput>,"You should contact a sexual health clinic if you have a rash with blisters, anal pain, or bleeding from your bottom and have had close contact, including sexual contact, with someone who has or might have mpox in the past 3 weeks, or if you have been to west or central Africa in the past 3 weeks."
3,Who is at higher risk of severe mpox symptoms?,<noinput>,"Older people, young children, and individuals with a condition or taking medication that affects their immune system are at a higher risk of experiencing more severe mpox symptoms."
4,Can mpox be treated?,<noinput>,"Mpox is usually mild and most people recover within a few weeks without treatment. However, if symptoms are severe, hospital treatment may be necessary. It's important to isolate if diagnosed with mpox."
5,Who should get vaccinated against mpox?,<noinput>,"The NHS offers the smallpox (MVA) vaccine to healthcare workers caring for mpox patients, men who have sex with men and have multiple partners, and individuals who have been in close contact with someone who has mpox."
6,What can I do to avoid getting and passing on mpox?,<noinput>,"To reduce the risk of mpox, you can regularly wash your hands, talk to sexual partners about their sexual health, be aware of mpox symptoms, take a break from sex if you have symptoms, and avoid sharing bedding or towels with potentially infected individuals."
7,Can mpox be transmitted from animals?,<noinput>,"While travelling in west and central Africa, it is important to avoid going near wild or stray animals, including those that appear unwell or are dead, as mpox can be transmitted from animals."
8,Where can I find more information about mpox?,<noinput>,You can find more information about mpox on the GOV.UK website and the Terrence Higgins Trust website.
9,When did the NHS mpox outbreak vaccination programme end?,<noinput>,"The NHS mpox outbreak vaccination programme ended in July 2023, but it is still available in London and Greater Manchester to eligible individuals."
0,What are the symptoms of mpox?,<noinput>,"The symptoms of mpox include fever, headache, muscle aches, swollen glands, joint pain, and a rash that starts on the face and spreads to other parts of the body. It can also cause anal pain or bleeding."
1,How is mpox transmitted?,<noinput>,"Mpox can be transmitted through close physical contact with blisters or scabs, touching contaminated clothing or bedding, and through coughs or sneezes of an infected person. In parts of Africa, it can also be caught from infected rodents or by consuming undercooked rodent meat."
2,What should I do if I have symptoms of mpox?,<noinput>,"If you have symptoms of mpox, it is recommended to call a sexual health clinic or GP for advice. They will provide guidance on whether you need to isolate at home and what steps to take."
3,Who is at higher risk of needing treatment in hospital for mpox?,<noinput>,"Older people, young children, and individuals with a weakened immune system or underlying health condition are at a higher risk of needing treatment in hospital for mpox."
4,Is there a vaccine available for mpox?,<noinput>,"Yes, there is a smallpox (MVA) vaccine that offers protection against mpox. It is recommended for healthcare workers, individuals who have been in close contact with someone with mpox, and men who have sex with men."
5,How can I avoid getting and passing on mpox?,<noinput>,"To reduce the risk of getting and passing on mpox, it is important to wash hands regularly, use hand sanitizers, discuss sexual health with partners, be aware of symptoms, and avoid sharing bedding or towels. Do not have close contact with infected individuals and avoid contact with wild animals in Africa."
6,What should I do if I have a rash with blisters and suspect mpox?,<noinput>,"If you have a rash with blisters and suspect mpox, it is advised to call a sexual health clinic or GP for urgent advice. They will assess your situation and provide guidance on further steps."
7,Are there any travel restrictions due to mpox?,<noinput>,"There are no specific travel restrictions related to mpox. However, it is important to be aware of the risks and symptoms when traveling to parts of Africa where mpox is prevalent."
8,What is the treatment for mpox?,<noinput>,"Most cases of mpox do not require treatment and resolve on their own. However, if symptoms are severe, hospitalization may be necessary. It is important to isolate if diagnosed with mpox."
9,Where can I find more information about mpox?,<noinput>,More information about mpox can be found on the GOV.UK website and the Terrence Higgins Trust website.
