,q,i,a
0,What are the common symptoms of myasthenia gravis?,<noinput>,"Common symptoms of myasthenia gravis include droopy eyelids, double vision, difficulty making facial expressions, problems chewing and difficulty swallowing, slurred speech, weak arms, legs or neck, shortness of breath, and occasionally serious breathing difficulties."
1,When should I see a GP for myasthenia gravis?,<noinput>,You should see a GP if you have long-lasting or worrying symptoms that could be caused by myasthenia gravis. The GP may refer you to a specialist for tests to help diagnose myasthenia gravis or look for other possible causes of your symptoms.
2,What treatments are available for myasthenia gravis?,<noinput>,"Treatments for myasthenia gravis include avoiding triggers, taking medicine to improve muscle weakness, and surgery to remove the thymus gland. In severe cases, urgent treatment in the hospital may be required."
3,What is the outlook for myasthenia gravis?,<noinput>,"Myasthenia gravis is a long-term condition with phases of improvement and worsening. It typically affects most of the body, but for some people, only the eyes are affected. While remission is possible, it is rare. Myasthenia gravis can be life-threatening if severe, but it does not significantly impact life expectancy for most people."
4,What causes myasthenia gravis?,<noinput>,"Myasthenia gravis is caused by a problem with the signals sent between the nerves and the muscles. It is an autoimmune condition where the immune system mistakenly attacks a healthy part of the body, damaging the communication system between the nerves and muscles. It has been linked to issues with the thymus gland."
5,What is the National Congenital Anomaly and Rare Disease Registration Service?,<noinput>,The National Congenital Anomaly and Rare Disease Registration Service (NCARDRS) collects information about people with myasthenia gravis to help scientists find better ways to prevent and treat the condition. You can opt out of the register at any time.
6,What are some triggering factors for myasthenia gravis?,<noinput>,Some people find that factors such as tiredness and stress can trigger their myasthenia gravis symptoms and make them worse.
7,What tests are done to diagnose myasthenia gravis?,<noinput>,"Tests for myasthenia gravis may include a blood test, a test to assess nerve function, and imaging scans such as a CT scan or MRI scan."
8,Can myasthenia gravis affect any age group?,<noinput>,"Myasthenia gravis can affect people of any age, but it typically starts in women under 40 and men over 60."
9,What is a thymus gland and how is it related to myasthenia gravis?,<noinput>,"The thymus gland is a small gland in the chest that is part of the immune system. In some cases of myasthenia gravis, issues with the thymus gland have been observed, such as enlargement or the presence of a thymoma."
0,What are the symptoms of myasthenia gravis?,"Myasthenia gravis causes droopy eyelids, double vision, difficulty making facial expressions, problems chewing and difficulty swallowing, slurred speech, weak arms, legs or neck, shortness of breath.","Common symptoms of myasthenia gravis include droopy eyelids, double vision, difficulty making facial expressions, problems chewing and difficulty swallowing, slurred speech, weak arms, legs or neck, shortness of breath."
1,When should I see a GP for possible myasthenia gravis?,<noinput>,You should see a GP if you have long-lasting or worrying symptoms that could be caused by myasthenia gravis. They will ask about your symptoms and medical history and may refer you to a specialist for tests.
2,What tests are done to diagnose myasthenia gravis?,<noinput>,"Tests for myasthenia gravis may include blood tests, tests to see how well your nerves are working, and scans such as a CT scan or MRI scan."
3,How is myasthenia gravis treated?,<noinput>,"Treatment for myasthenia gravis may include avoiding triggers, medication to improve muscle weakness, and surgery to remove the thymus gland. In severe cases, hospital treatment may be needed."
4,What is the outlook for myasthenia gravis?,<noinput>,"Myasthenia gravis is a long-term condition with phases of improvement and worsening. It can affect most of the body, but for some people, only the eyes are affected. Most people have flare-ups followed by periods of remission. While severe cases can be life-threatening, it does not significantly impact life expectancy for most people."
5,What causes myasthenia gravis?,<noinput>,"Myasthenia gravis is caused by a problem with the signals between nerves and muscles. It is an autoimmune condition where the immune system mistakenly attacks the communication system between nerves and muscles. The exact cause is unknown, but it has been linked to issues with the thymus gland."
6,What is the National Congenital Anomaly and Rare Disease Registration Service?,<noinput>,The National Congenital Anomaly and Rare Disease Registration Service (NCARDRS) collects information about people with myasthenia gravis to help researchers find better ways to prevent and treat the condition. You can choose to opt out of the register.
7,What is the typical age range for developing myasthenia gravis?,<noinput>,"Myasthenia gravis can affect people of any age, but it typically starts in women under 40 and men over 60."
8,What triggers the symptoms of myasthenia gravis?,<noinput>,Certain factors like tiredness and stress can trigger the symptoms of myasthenia gravis and make them worse.
9,What tests can help diagnose myasthenia gravis?,<noinput>,"Tests such as blood tests, nerve function tests, and scans like CT or MRI can help in the diagnosis of myasthenia gravis."
