,q,i,a
0,What are the symptoms of narcolepsy?,<noinput>,"The symptoms of narcolepsy include excessive daytime sleepiness, sleep attacks, cataplexy, sleep paralysis, excessive dreaming and waking in the night."
1,What is the cause of narcolepsy?,<noinput>,"Narcolepsy is often caused by a lack of the brain chemical hypocretin, which regulates wakefulness. This lack is thought to be caused by the immune system mistakenly attacking the cells that produce hypocretin."
2,How many people are affected by narcolepsy in the UK?,<noinput>,"It's estimated to affect about 30,000 people in the UK. Men and women are thought to be affected equally."
3,How is narcolepsy diagnosed?,<noinput>,"To diagnose narcolepsy, a GP may ask about sleep habits, symptoms, and may carry out tests to rule out other conditions. They may refer you to a specialist in sleep disorders for further analysis."
4,Is there a cure for narcolepsy?,<noinput>,"Currently, there is no cure for narcolepsy. However, making changes to improve sleeping habits and taking medication can help manage the condition."
5,How can excessive daytime drowsiness be managed?,<noinput>,"Taking frequent, brief naps throughout the day and keeping to a strict bedtime routine can help manage excessive daytime drowsiness."
6,What should someone with narcolepsy do about driving?,<noinput>,"If diagnosed with narcolepsy, it's important to stop driving immediately and inform the Driver and Vehicle Licensing Agency (DVLA). Regular reviews are required to assess the condition before driving again."
7,Can medicine help with narcolepsy symptoms?,<noinput>,"Yes, medicine can be prescribed to help reduce daytime sleepiness, prevent cataplexy attacks, and improve sleep at night."
8,What is the impact of narcolepsy on daily life?,<noinput>,"Narcolepsy can have a significant impact on daily life, causing difficulties in concentration, emotional withdrawal, and social isolation."
9,Are there any triggers for narcolepsy?,<noinput>,"Possible triggers for narcolepsy include hormonal changes, major psychological stress, and certain infections or medications."
0,What are the symptoms of narcolepsy?,<noinput>,"The symptoms of narcolepsy include excessive daytime sleepiness, sleep attacks, cataplexy, sleep paralysis, excessive dreaming and waking in the night."
1,What causes narcolepsy?,<noinput>,"Narcolepsy is often caused by a lack of the brain chemical hypocretin (orexin) or the receptors that allow it to work. Other possible triggers include hormonal changes, major psychological stress, or certain infections."
2,How many people are affected by narcolepsy in the UK?,<noinput>,"It is estimated that about 30,000 people in the UK are affected by narcolepsy."
3,What age does narcolepsy usually get diagnosed?,<noinput>,"The symptoms of narcolepsy often begin during adolescence, but it is usually diagnosed between the ages of 20 and 40."
4,How is narcolepsy diagnosed?,<noinput>,"If you suspect you have narcolepsy, see a GP who may ask about your sleeping habits and carry out tests to rule out other conditions. Referral to a sleep disorders specialist may be necessary for further analysis of your sleep patterns."
5,Is there a cure for narcolepsy?,<noinput>,"Currently, there is no cure for narcolepsy, but making changes to sleep habits and medication can help manage the condition and minimize its impact on daily life."
6,How can excessive daytime sleepiness be managed?,<noinput>,"Frequent, brief naps evenly spaced throughout the day and following a strict bedtime routine can help manage excessive daytime sleepiness. Medication may also be prescribed in severe cases."
7,What should I do if I have narcolepsy and want to drive?,<noinput>,"If you have narcolepsy, you should stop driving immediately and inform the Driver and Vehicle Licensing Agency (DVLA). You will need to complete a medical questionnaire and your ability to drive will be assessed based on your condition."
8,Is narcolepsy a long-term condition?,<noinput>,"Yes, narcolepsy is a rare long-term brain condition that affects a person's ability to regulate sleeping and waking patterns."
9,How can narcolepsy impact a person's daily life?,<noinput>,"Narcolepsy can have a significant impact on daily life, causing excessive daytime sleepiness, difficulty concentrating, sleep attacks, weakness or collapse due to cataplexy, sleep paralysis, excessive dreaming, and emotional challenges."
