,q,i,a
0,What are the symptoms of oral thrush in adults?,Check if it's oral thrush Adults,"Symptoms of oral thrush in adults include redness inside the mouth with white patches, cracks at the corners of the mouth, difficulty tasting things properly, an unpleasant taste in the mouth, and pain inside the mouth."
1,What are the symptoms of oral thrush in babies?,Check if it's oral thrush Babies,"Symptoms of oral thrush in babies include a white coating on the tongue that cannot be rubbed off easily, white spots in the mouth, and a reluctance to feed."
2,What can cause a white or sore tongue besides oral thrush?,If you're not sure it's oral thrush,"Other causes of a white or sore tongue can include infections, vitamin deficiencies, irritation, or medication side effects."
3,How can a pharmacist help with oral thrush?,<noinput>,A pharmacist can provide a mouth gel that can be used to treat oral thrush. They can also give advice on its proper usage.
4,When should I see a GP for oral thrush?,<noinput>,"You should see a GP if your baby is under 4 months old and showing signs of oral thrush, if you have oral thrush and do not see any improvement after 1 week of treatment, or if you experience difficulty or pain when swallowing."
5,How can oral thrush be prevented?,<noinput>,"To prevent oral thrush, it is recommended to take care of your teeth, clean dentures properly, rinse mouth after eating or taking medicine, and go for regular dental check-ups. It is also advised to sterilize dummies and bottles regularly and not to wear dentures at night."
0,What are the symptoms of oral thrush in adults?,<noinput>,"Symptoms of oral thrush in adults include redness inside the mouth with white patches, cracked corners of the mouth, difficulty in tasting, an unpleasant taste, pain in the mouth, and difficulty in eating and drinking."
1,What are the symptoms of oral thrush in babies?,<noinput>,"Symptoms of oral thrush in babies include a white coating on the tongue that cannot be rubbed off easily, white spots in the mouth, and a reluctance to feed."
2,How can a pharmacist help with oral thrush?,<noinput>,A pharmacist can provide oral thrush treatment in the form of a mouth gel. They can give advice on how to use it and how long to continue the treatment.
3,When should I see a GP for oral thrush?,<noinput>,"You should see a GP if your baby is under 4 months and has signs of oral thrush, you do not see any improvement after 1 week of treatment with a mouth gel, or if you have difficulty or pain when swallowing."
4,How can oral thrush be prevented?,<noinput>,"To prevent oral thrush, take care of your teeth by brushing twice a day, cleaning dentures, and going for regular check-ups. Rinse mouth after eating or taking medicine. Avoid wearing dentures at night and if they do not fit properly, see a dentist. Sterilize dummies and bottles regularly."
5,What can cause the growth of the Candida fungus?,<noinput>,"Taking antibiotics for a long time, using asthma inhalers, and undergoing cancer treatment like chemotherapy can cause the growth of the Candida fungus."
6,What happens if oral thrush is left untreated?,<noinput>,"If left untreated, oral thrush can spread to other parts of the body."
7,Can oral thrush be treated with over-the-counter medication?,<noinput>,"Yes, oral thrush can be treated with a mouth gel that can be bought from a pharmacy without a prescription. However, it is important to follow the instructions on the medicine packet."
8,Can babies pass oral thrush to mothers through breastfeeding?,<noinput>,"Yes, babies can pass oral thrush to mothers through breastfeeding, which can cause nipple thrush in mothers."
9,Is oral thrush contagious in adults?,<noinput>,"No, oral thrush in adults is not contagious."
0,What are the symptoms of oral thrush in adults?,<noinput>,"Symptoms of oral thrush in adults include redness in the mouth with white patches, cracks at the corners of the mouth, difficulty tasting, unpleasant taste, pain in the mouth, and difficulty eating and drinking."
1,What are the symptoms of oral thrush in babies?,<noinput>,"Symptoms of oral thrush in babies include a white coating on the tongue that resembles cottage cheese and cannot be rubbed off easily, as well as white spots in the mouth. They may also show signs of not wanting to feed."
2,How can a pharmacist help with oral thrush?,<noinput>,"A pharmacist can provide a mouth gel that can be used to treat oral thrush. It is suitable for adults, children, and babies over 4 months of age. It's important to follow the instructions on the medicine packet and seek advice from the pharmacist."
3,When should I see a GP for oral thrush?,<noinput>,"You should see a GP if your baby is under 4 months old and showing signs of oral thrush, if you have oral thrush and do not see any improvement after 1 week of treatment with a mouth gel, or if you experience difficulty or pain when swallowing."
4,How can oral thrush be prevented?,<noinput>,"To help prevent oral thrush, you can take care of your teeth by brushing twice a day, cleaning dentures, and going for regular check-ups. If you don't have teeth, brush your gums and tongue with a soft toothbrush. Rinse your mouth after eating or taking medicine. If you have a long-term condition like diabetes, go for regular check-ups. Additionally, sterilize dummies and bottles regularly, and avoid wearing dentures at night and smoking."
5,Can oral thrush be easily treated?,<noinput>,"Yes, oral thrush can be easily treated with a mouth gel bought from a pharmacy. However, it's important to follow the instructions on the medicine packet. If left untreated, the infection can spread to other parts of the body."
6,What causes oral thrush?,<noinput>,"Oral thrush is caused by a fungus called Candida. Taking antibiotics over a long time, using asthma inhalers, and undergoing cancer treatment like chemotherapy can increase the risk of getting thrush."
7,What happens if oral thrush is left untreated?,<noinput>,"If oral thrush is left untreated, the infection can spread to other parts of the body."
8,How can oral thrush be transmitted from babies to mothers?,<noinput>,"Babies can pass oral thrush on to mothers through breastfeeding, which can cause nipple thrush in mothers."
9,Why is oral thrush more common in babies and older people with dentures?,<noinput>,"Oral thrush is more common in babies and older people with dentures because their immune systems may be weaker, making them more susceptible to fungal infections."
