,q,i,a
0,What is orf and how do you get it?,<noinput>,"Orf is a skin infection that you can get from infected sheep or goats. It usually affects the fingers, hands, forearms, or face. You can get it if you have a sore, cut, or scratch that touches an infected animal."
1,What are the symptoms of orf?,<noinput>,"Symptoms of orf include small reddish-blue patches on the skin, itchiness or tenderness, blisters that can grow up to 5cm, high temperature, general tiredness, and swollen glands."
2,When should I see a doctor for orf?,<noinput>,"You should see a doctor if the mark or blister on your skin has not healed after 6 weeks, if it's painful, red and swollen with a high temperature, if you have a rash that looks like a target, or if you have lots of blisters or recurring blisters."
3,Is there a specific treatment for orf?,<noinput>,There is no specific treatment for orf. The blister on your skin should clear up in around 6 weeks. It's recommended to cover it with a waterproof dressing to keep it clean and dry.
4,What can I do to reduce the risk of getting orf?,<noinput>,"To reduce the risk of getting orf, you can wear latex gloves when touching sheep and goats, cover sores, cuts or scratches with a waterproof dressing, wash your hands with warm water and soap after touching animals, and regularly vaccinate sheep and goats against orf."
5,Who is at a higher risk of complications from orf?,<noinput>,People with weakened immune systems are at a higher risk of complications from orf. This includes individuals with conditions like HIV or those undergoing treatments like chemotherapy.
6,What are the possible complications of orf?,<noinput>,"Possible complications of orf include bacterial infection, a rash that looks like a target, and a skin condition that can cause large blisters."
7,Can orf be passed from person to person?,<noinput>,It is very rare for orf to be passed from one person to another.
8,Can orf be prevented with vaccination?,<noinput>,"Sheep and goats can be vaccinated against the orf virus, but people can still get infected if they come into contact with recently vaccinated or unvaccinated animals."
9,When is minor surgery needed for orf?,<noinput>,"Rarely, minor surgery may be needed to remove the affected area of skin if it does not clear up by itself."
0,What is orf and how do you get it?,<noinput>,"Orf is a skin infection that can be contracted from infected sheep or goats. It is mainly transmitted through contact with a sore, cut, or scratch that touches an infected animal. Regular contact with sheep or goats puts individuals at higher risk."
1,How can you recognize if it's orf?,"Orf usually affects the skin on the fingers, hands, forearms, or face. Initially, the affected area may appear reddish-blue and be small. Itchy or tender sensations may be experienced as well.","Orf can be recognized by the appearance of a reddish-blue patch of skin that may be itchy or tender. Over time, it grows into a blister before crusting over."
2,When should you see a GP about orf?,"If a mark or blister on the finger, hand, arm, or face has not healed or has increased in size after 6 weeks, or if there is pain, redness, swelling, and high temperature, it is advisable to consult a GP. A rash resembling a target or 'bulls-eye' pattern, with dark and pale rings, or frequent and painful blisters should also be addressed.","It is recommended to see a GP if a mark or blister persists or worsens after 6 weeks, if there is pain, redness, swelling, and high temperature, if a rash with a target pattern appears, or if there are frequent and painful blisters."
3,What treatments are available for orf?,<noinput>,"There is no specific treatment for orf. However, keeping the blistered area clean and dry with a waterproof dressing is advised. In case of infection, antibiotics might be necessary. Minor surgery may be required if the affected area does not clear up on its own."
4,How can the risk of getting orf be reduced?,<noinput>,"To reduce the risk of contracting orf, wearing latex gloves when handling sheep and goats, covering sores, cuts, or scratches with waterproof dressings, and washing hands thoroughly after touching animals are recommended. Regular vaccination of sheep and goats against orf and maintaining clean and disinfected barns and sheds also help."
5,What are the possible complications of orf?,<noinput>,"Potential complications of orf include bacterial infections, a rash resembling a target or 'bulls-eye' pattern called erythema multiforme, and a skin condition that causes large blisters known as bullous pemphigoid. Individuals with weakened immune systems are at higher risk of complications."
0,What is orf and how do you get it?,<noinput>,"Orf is a skin infection that is caused by a virus and is mainly transmitted from infected sheep or goats to humans through cuts or scratches. People at higher risk are those who have regular contact with these animals, such as farmers. Orf usually causes scabs on the nose, mouth, legs, and teats of animals."
1,What are the symptoms of orf?,<noinput>,"Orf usually affects the skin on the fingers, hands, forearms, or face. Initially, the affected area may appear reddish-blue and may be itchy or tender. Over time, the area gets bigger and turns into a blister. Other symptoms can include high temperature, fatigue, and swollen glands."
