,q,i,a
0,What are the main symptoms of plantar fasciitis?,<noinput>,"The main symptom of plantar fasciitis is pain on the bottom of your foot, around your heel and arch."
1,How can I ease plantar fasciitis myself?,<noinput>,"You can try resting and raising your foot, using ice packs, wearing shoes with cushioned heels and good arch support, using insoles or heel pads, trying gentle stretching exercises, avoiding pressure on your feet, taking painkillers, and considering weight loss if you're overweight."
2,What can a pharmacist help me with regarding plantar fasciitis?,<noinput>,"A pharmacist can provide information about painkillers, insoles, and whether you need to see a GP."
3,When should I see a GP for plantar fasciitis?,<noinput>,"You should see a GP if the pain is severe or stopping you from doing normal activities, if the pain is getting worse or keeps coming back, if the pain hasn't improved after self-treatment for 2 weeks, if you experience tingling or loss of feeling in your foot, or if you have diabetes and foot pain."
4,What can a foot specialist recommend for treating plantar fasciitis?,<noinput>,"A foot specialist such as a physiotherapist or podiatrist can recommend exercises, insoles, and the right shoes to wear to help ease symptoms of plantar fasciitis."
5,Are there common causes of plantar fasciitis?,<noinput>,"Plantar fasciitis is often caused by straining the plantar fascia, which connects the heel bone to the toes. Common causes include exercising on hard surfaces, having a tight calf or heel, overstretching the sole of the foot during exercise, and wearing shoes with poor cushioning or support. Age and weight can also be contributing factors."
6,What age group is more likely to get plantar fasciitis?,<noinput>,People who are between 40 to 60 years of age are more likely to experience plantar fasciitis.
7,Can I pay to see a podiatrist or physiotherapist for plantar fasciitis?,<noinput>,"Yes, you can choose to see a podiatrist or physiotherapist privately for treatment of plantar fasciitis."
8,Is physiotherapy available for free on the NHS?,<noinput>,"Yes, physiotherapy is available free of charge on the NHS throughout the UK, but waiting times may be long."
9,Is podiatry available for free on the NHS?,<noinput>,"Podiatry may not be available for free on the NHS everywhere, and waiting times can sometimes be long."
0,What is the main symptom of plantar fasciitis?,<noinput>,"The main symptom of plantar fasciitis is pain on the bottom of the foot, around the heel and arch."
1,What are some ways to ease plantar fasciitis?,<noinput>,"To ease plantar fasciitis, you can rest and raise your foot on a stool, apply ice packs, wear shoes with cushioned heels and good arch support, use insoles or heel pads, try gentle stretching exercises, avoid pressure on your feet, take painkillers, and consider weight loss if overweight."
2,Who can help with plantar fasciitis?,<noinput>,"A pharmacist can help with plantar fasciitis by providing advice on painkillers, insoles, and the need to see a GP."
3,When should I see a GP for plantar fasciitis?,<noinput>,"You should see a GP for plantar fasciitis if the pain is severe, worsening, persistent after self-treatment for 2 weeks, accompanied by tingling or loss of feeling, or if you have diabetes."
4,What treatment options are available for plantar fasciitis?,<noinput>,"If plantar fasciitis does not improve, a GP may refer you to a physiotherapist or foot specialist (podiatrist) for exercises, insoles, or recommendations for proper shoes. Private options are also available."
5,What causes plantar fasciitis?,<noinput>,"Plantar fasciitis is caused by straining the plantar fascia, the part of the foot that connects the heel bone to the toes. Common causes include exercising on hard surfaces, tight calf or heel, overstretching the foot, increased walking/running/standing, poor shoe cushioning or support, and being overweight."
6,Who can provide physiotherapy for plantar fasciitis?,<noinput>,"Physiotherapy for plantar fasciitis is available for free on the NHS in the UK, but waiting times can be long. Depending on the area, you may be able to self-refer or need a GP or consultant visit. Private options are also available."
7,Who can provide podiatry services for plantar fasciitis?,<noinput>,"A GP might refer you to a podiatrist for insoles and shoe recommendations. Podiatry may be available for free on the NHS, but waiting times can be long. Private options are also available."
8,What is the age group most affected by plantar fasciitis?,<noinput>,People who are 40 to 60 years of age are more likely to develop plantar fasciitis.
9,What are some risk factors for plantar fasciitis?,<noinput>,"Some risk factors for plantar fasciitis include starting exercise on hard surfaces, having tight calf or heel, overstretching the foot, increased walking/running/standing, wearing shoes without proper cushioning or support, and being overweight."
