,q,i,a
0,What are the common causes of a red eye?,<noinput>,"Common causes of a red eye include burst blood vessels, conjunctivitis, dry eyes, blepharitis, ingrowing eyelash, and eyelid problems."
1,What should I do if I have a red eye that doesn't hurt and doesn't affect my sight?,<noinput>,"If your red eye doesn't hurt and doesn't affect your sight, you can try not to touch or rub your eye, avoid wearing contact lenses, and seek advice from a pharmacist. They can suggest treatments or products like cleaning solutions, eyedrops, or medicines."
2,When should I see a GP for a red eye?,<noinput>,"You should see a GP for a red eye if it lasts for more than a few days or if your child under 2 years old has a red eye. If the cause of your red eye is unknown, the GP may refer you to an eye specialist for further tests."
3,What should I do if my baby has red eyes and they're less than 28 days old?,<noinput>,"If your baby has red eyes and they're less than 28 days old, you should seek urgent medical advice by asking for an urgent GP appointment or contacting NHS 111."
4,What should I do if my eye is painful and red?,<noinput>,"If your eye is painful and red, you should seek urgent medical advice by asking for an urgent GP appointment or contacting NHS 111. It could be a sign of an underlying problem or an eye infection, especially if you wear contact lenses."
5,When should I call 999 or go to A&E for a red eye?,<noinput>,"You should call 999 or go to A&E immediately if you have a red eye and experience changes in your sight, severe headache and nausea, very dark red eyes, a pierced or injured eye, or if something is stuck in your eye like glass or grit."
6,What are the possible symptoms of a red eye caused by a burst blood vessel?,<noinput>,A bright red area in the white of your eye can be a symptom of a red eye caused by a burst blood vessel.
7,"What can cause itchy, sore, or red eyelids?",<noinput>,"Itchy, sore, or red eyelids can be caused by a condition called blepharitis."
8,What can cause a gritty or burning feeling with sticky eyes?,<noinput>,A gritty or burning feeling with sticky eyes can be caused by conjunctivitis.
9,What can cause a feeling like there's something in your eye?,<noinput>,A feeling like there's something in your eye can be caused by an ingrowing eyelash.
0,What are the common causes of a red eye?,<noinput>,"Common causes of a red eye include burst blood vessels, conjunctivitis, dry eyes, blepharitis, ingrowing eyelash, and eyelid problems."
1,What should I do if I have a red eye?,<noinput>,"If your eye does not hurt and your sight is not affected, try not to touch or rub your eye, do not wear contact lenses, and consult a pharmacist for advice. See a GP if your red eye persists for more than a few days."
2,Can a pharmacist help with a red eye?,<noinput>,"Yes, a pharmacist can offer advice on how to treat your eye yourself, provide cleaning solutions, eye drops, or medicines, and guide you on whether you need to see a GP."
3,When should I see a GP for a red eye?,<noinput>,"See a GP if your red eye persists for more than a few days or if your child under 2 years old has a red eye. If your GP cannot determine the cause, they may refer you to an eye specialist for tests."
4,What should I do if I have a red eye and wear contact lenses?,<noinput>,"If you have a red eye and wear contact lenses, it could indicate an eye infection. Seek urgent advice from a GP or call NHS 111 for assistance."
5,When should I call 999 or go to A&E for a red eye?,<noinput>,"Call 999 or go to A&E immediately if you experience changes to your sight, severe headaches, nausea, dark red eyes, eye injuries, uneven pupils, or foreign objects in your eye."
6,What should I do if my baby has red eyes and they're less than 28 days old?,<noinput>,"If your baby has red eyes and they're less than 28 days old, seek urgent medical attention by contacting a GP or calling NHS 111."
7,What are some symptoms that require urgent GP attention for a red eye?,<noinput>,"If your red eye is painful, accompanied by changes in vision, or you wear contact lenses and suspect an eye infection, it is essential to ask for an urgent GP appointment or seek help from NHS 111."
8,Where can I find my nearest A&E department?,<noinput>,"To find your nearest A&E department, you can refer to the NHS website or call 999 for immediate assistance."
9,What tests may an eye specialist conduct if the cause of my red eye is uncertain?,<noinput>,"If the cause of your red eye is uncertain, your GP may refer you to an eye specialist (ophthalmologist) who can conduct further tests to determine the underlying issue."
