,q,i,a
0,What are the symptoms of a respiratory tract infection?,<noinput>,"Symptoms of a respiratory tract infection include a cough, sneezing, stuffy or runny nose, sore throat, headaches, muscle aches, breathlessness, tight chest, wheezing, high temperature, and feeling generally unwell."
1,What can I do to treat the symptoms of a respiratory tract infection at home?,<noinput>,"You can get plenty of rest, drink lots of water, drink a hot lemon and honey drink, gargle with warm salty water, raise your head while sleeping, use painkillers, and avoid contact with other people if you have a high temperature or don't feel well enough."
2,How do I make a hot lemon and honey drink?,<noinput>,"To make a hot lemon and honey drink, squeeze half a lemon into a mug of boiled water, add 1 to 2 teaspoons of honey, and drink while still warm. Note that hot drinks should not be given to small children."
3,How do I gargle with salt water?,<noinput>,"To gargle with salt water, dissolve half a teaspoon of salt in a glass of warm water, gargle with the solution, and spit it out. Repeat as often as you like."
4,How can a pharmacist help with a respiratory tract infection?,<noinput>,"A pharmacist can suggest treatments such as decongestants and nasal sprays, cough medicines, and throat lozenges. They can also advise on suitable treatments for different age groups and certain medical conditions."
5,When should I see a GP for a respiratory tract infection?,<noinput>,"You should see a GP if you feel very unwell, your symptoms worsen, you cough up blood or bloodstained mucus, you have had a cough for more than 3 weeks, you're pregnant, over 65, have a weakened immune system, or have a long-term health condition."
6,What treatments can a GP provide for a respiratory tract infection?,<noinput>,"Treatment from a GP will depend on the cause of the infection. For viral infections like colds, antibiotics will not help and the infection usually clears up on its own. For bacterial infections like pneumonia, a GP may prescribe antibiotics."
7,Why are antibiotics not used to treat viral infections?,<noinput>,Antibiotics are not used to treat viral infections because they do not work against viruses. They are only effective against bacterial infections.
8,How can I avoid passing respiratory tract infections to others?,<noinput>,"To avoid passing respiratory tract infections to others, cover your mouth when you cough or sneeze, wash your hands regularly, and immediately throw away used tissues."
9,How can I avoid getting respiratory tract infections?,<noinput>,"To avoid getting respiratory tract infections, you can ask a GP about the annual flu vaccination, ask if you should have the pneumococcal vaccine, stop smoking, and drink less alcohol."
0,What are the symptoms of an RTI?,<noinput>,"Symptoms of an RTI include a cough, sneezing, a stuffy or runny nose, a sore throat, headaches, muscle aches, breathlessness, tight chest or wheezing, a high temperature, and feeling generally unwell."
1,What can I do to treat my symptoms at home if I have an RTI?,<noinput>,"To treat your symptoms at home, get plenty of rest, drink lots of water, drink a hot lemon and honey drink, gargle with warm salty water, raise your head up while sleeping, use painkillers, and try to stay at home and avoid contact with other people if you have a high temperature or do not feel well enough."
2,How can I make a hot lemon and honey drink?,<noinput>,"To make a hot lemon and honey drink, squeeze half a lemon into a mug of boiled water, add 1 to 2 teaspoons of honey, and drink while still warm. Note that hot drinks should not be given to small children."
3,How do I gargle with salt water?,<noinput>,"To gargle with salt water, dissolve half a teaspoon of salt in a glass of warm water, gargle with the solution then spit it out, and repeat as often as you like."
4,What can a pharmacist do to help with an RTI?,<noinput>,"A pharmacist can suggest treatments to relieve your symptoms, such as decongestants and nasal sprays. They can also provide cough medicines and throat lozenges, but there's little evidence to show they help. Certain treatments may not be suitable for children, babies, and pregnant women."
5,When should I see a GP for an RTI?,<noinput>,"You should see a GP if you feel very unwell, your symptoms get worse, you cough up blood or bloodstained mucus, you have had a cough for more than 3 weeks, you're pregnant, you're over 65, you have a weakened immune system, or you have a long-term health condition."
6,How is an RTI treated by a GP?,<noinput>,"Treatment will depend on the cause of your RTI. If it's a virus, it will often clear up by itself and antibiotics won't help. If it's a bacterial infection like pneumonia, a GP may prescribe antibiotics. Sometimes a mucus sample may need to be tested."
7,Why are antibiotics not used to treat viral infections?,<noinput>,"Antibiotics are only used to treat bacterial infections, not viral infections. They don't work for viral infections."
8,How can I avoid passing an RTI to others?,<noinput>,"To avoid passing an RTI to others, cover your mouth when you cough or sneeze, wash your hands regularly, and throw away used tissues immediately."
9,How can I avoid getting an RTI?,<noinput>,"If you keep getting RTIs or are at a high risk of getting one, ask a GP about the annual flu vaccination, ask if you should have the pneumococcal vaccine, and stop smoking and drink less alcohol."
