,q,i,a
0,What are the symptoms of roseola?,<noinput>,"The symptoms of roseola include a sudden high temperature, cold-like symptoms such as a sore throat, runny nose, and a cough, loss of appetite, swollen eyelids, and swollen glands in the neck. These symptoms last 3 to 5 days before a rash appears."
1,How does the rash of roseola look like?,<noinput>,"The rash of roseola is made up of pinkish-red spots, patches, or bumps. It may be harder to see on brown or black skin. The rash starts on the chest, tummy, and back before spreading to the face, neck, and arms. It is not usually itchy or uncomfortable and normally fades and disappears within 2 days."
2,What should I do if my child has roseola?,<noinput>,"If your child has roseola, you can usually look after them at home with rest, fluids, and painkillers. Make sure they drink lots of fluids, give them children's paracetamol or ibuprofen if they have a high temperature, and keep them at home while they have a high temperature. You do not need to keep your child away from nursery once the high temperature has passed."
3,When should I seek urgent medical advice for my child with roseola?,<noinput>,"You should ask for an urgent GP appointment or call NHS 111 if your child is under 3 months old and has a temperature of 38C or higher, is 3 to 6 months old and has a temperature of 39C or higher, has a high temperature that's lasted for 5 days or longer, is refusing fluids or feeds, is not their usual self and you're worried, or has a high temperature that does not come down with paracetamol or ibuprofen."
4,Can I give aspirin to my child if they have roseola?,<noinput>,"No, you should not give aspirin to children with roseola, especially those under 16 years old."
5,When should I call 999 or go to A&E for a baby or young child with roseola?,<noinput>,"You should call 999 or go to A&E if a baby or young child with roseola has blue, grey, pale, or blotchy skin, lips, or tongue, a rash that does not fade when you roll a glass over it, difficulty breathing or breathing very fast, a weak, high-pitched cry that's not like their normal cry, or if they are not responding like they normally do or not interested in feeding or normal activities."
6,What should I do if my child has a weakened immune system and has had contact with someone with roseola?,<noinput>,"If your child has a weakened immune system and has had contact with someone with roseola, you should speak to a GP as it can be serious."
7,Can I cover my child with too many clothes or bedclothes if they have roseola?,<noinput>,"No, you should not cover your child with too many clothes or bedclothes if they have roseola. It is important to keep them comfortable."
8,What should I do if my child has a temperature when they have roseola?,<noinput>,"If your child has a temperature when they have roseola, you can give them children's paracetamol or ibuprofen to help reduce their temperature. Make sure to check the appropriate dose on the bottle."
9,Do I need to keep my child away from nursery if they have had roseola?,<noinput>,"Once the high temperature has passed, you do not need to keep your child away from nursery if they're feeling well enough to attend. There's no need to wait until the rash disappears."
0,What are the symptoms of roseola?,<noinput>,"The symptoms of roseola include a sudden high temperature, cold-like symptoms such as a sore throat, runny nose, and a cough, loss of appetite, swollen eyelids, and swollen glands in the neck. These symptoms typically last 3 to 5 days before a rash appears."
1,How long does the rash from roseola last?,<noinput>,"The rash from roseola usually fades and disappears within 2 days. It is made up of pinkish-red spots, patches, or bumps and starts on the chest, tummy, and back before spreading to the face, neck, and arms."
2,What should I do if my child has roseola?,"If your child has roseola, you can usually look after them at home. Make sure they rest if they feel unwell, give them lots of fluids, and provide children's paracetamol or ibuprofen if they have a high temperature. Keep your child at home while they have a high temperature as it is contagious.","If your child has roseola, you can usually look after them at home with rest, fluids, and painkillers. The infection should pass within a week. Ensure they drink lots of fluids and give them children's paracetamol or ibuprofen if a high temperature makes them uncomfortable."
3,When should I seek urgent medical advice for my child with roseola?,<noinput>,"You should ask for an urgent GP appointment or call NHS 111 if your child is under 3 months old and has a temperature of 38C or higher, is 3 to 6 months old and has a temperature of 39C or higher, has a high temperature that's lasted for 5 days or longer, is refusing fluids or feeds, is not their usual self and you're worried, or has a high temperature that does not come down with paracetamol or ibuprofen."
4,What should I do if my child has a weakened immune system and has had contact with someone with roseola?,<noinput>,"If your child has a weakened immune system and has had contact with someone with roseola, you should speak to a GP as it can be serious."
5,When should I call 999 or go to A&E if my baby or young child has roseola?,<noinput>,"You should call 999 or go to A&E if your baby or young child has blue, grey, pale or blotchy skin, lips or tongue, a rash that does not fade when you roll a glass over it, difficulty breathing or breathlessness, a weak, high-pitched cry, not responding like they normally do or not interested in feeding or normal activities, or if they are sleepier than normal or difficult to wake."
6,What should I not do if my child has roseola?,<noinput>,"When your child has roseola, you should not cover them up in too many clothes or bedclothes, give aspirin to under-16s, combine ibuprofen and paracetamol without a GP's instruction, give paracetamol to a child under 2 months, give ibuprofen to a child under 3 months or under 5kg, or give ibuprofen to children with asthma."
7,When can my child go back to nursery after having roseola?,<noinput>,"Once the high temperature has passed, you do not need to keep your child away from nursery if they're feeling well enough to attend. There's no need to wait until the rash disappears."
8,What are the characteristics of roseola rash?,<noinput>,"The rash from roseola is made up of pinkish-red spots, patches, or bumps. It starts on the chest, tummy, and back before spreading to the face, neck, and arms. It is not usually itchy or uncomfortable and normally fades and disappears within 2 days."
9,How long does it take for a child to recover from roseola?,<noinput>,"Typically, a child with roseola recovers within a week. You can usually look after the child at home with rest, fluids, and painkillers."
10,What are the initial symptoms of roseola?,<noinput>,"The initial symptoms of roseola include a sudden high temperature and cold-like symptoms such as a sore throat, runny nose, and a cough. The child may also experience a loss of appetite, swollen eyelids, and swollen glands in the neck."
