,q,i,a
0,What are the symptoms of rubella?,<noinput>,"The main symptom of rubella is a spotty rash that starts on the face or behind the ears and spreads to the neck and body. It can also cause swollen glands, aching fingers or wrists, high temperature, coughs, sneezing, runny nose, headaches, sore throat, and sore, red eyes."
1,How long does it take for the rubella rash to appear?,<noinput>,"The rubella rash takes 2 to 3 weeks to appear after getting infected. The rash looks red or pink on white skin, but it can be harder to see on brown or black skin."
2,How can I check if I or my child have rubella?,<noinput>,"You can check if you or your child have rubella by looking for the main symptom, which is a spotty rash that starts on the face or behind the ears and spreads to the neck and body. You might also have swollen glands in your neck or behind your ears."
3,What should I do if I or my child have rubella?,<noinput>,"If you or your child have rubella, it is recommended to get plenty of rest, drink lots of fluids, and take paracetamol or ibuprofen if you're uncomfortable. However, do not give aspirin to children under 16 without consulting a doctor."
4,How can I avoid spreading rubella to others?,<noinput>,"To avoid spreading rubella, you should stay off nursery, school, or work for 5 days after the rash appears, avoid close contact with anyone who is pregnant, wash your hands often with soap and warm water, and use tissues when you cough or sneeze."
5,What are the risks of rubella during pregnancy?,<noinput>,"If you get rubella when you're pregnant, it could harm your baby. It can cause loss of the baby (miscarriage) or serious problems after the baby is born, such as problems with their sight, hearing, heart, or brain."
6,When should I seek urgent advice if I'm pregnant and have symptoms of rubella?,<noinput>,"If you're pregnant and either have a new rash or have been in close contact with someone who has rubella, you should call your midwife, maternity unit, or GP immediately."
7,How can I protect myself from rubella?,<noinput>,"You can get vaccinated against rubella. The MMR vaccine can prevent rubella, as well as measles and mumps. It is offered to all children in the UK and can provide lifelong protection."
8,Where can I get the MMR vaccine?,<noinput>,"You can get the MMR vaccine at your GP surgery. They can provide it for free on the NHS. If you're not sure if you or your child have had the vaccine, you can ask at your GP surgery."
9,Is rubella common during pregnancy?,<noinput>,"Rubella is very rare during pregnancy. However, if you get rubella when you're pregnant, it can have serious consequences for your baby."
0,What are the symptoms of rubella?,<noinput>,"The main symptom of rubella is a spotty rash that starts on the face or behind the ears and spreads to the neck and body. It can also cause swollen glands, aching fingers, wrists or knees, high temperature, cough, sneezing, runny nose, headaches, sore throat, and sore, red eyes."
1,How long does it take for the rash to appear after getting rubella?,<noinput>,The rash takes 2 to 3 weeks to appear after getting rubella.
2,What should I do if I suspect rubella?,"If you or your child have symptoms of rubella, it's best to call a GP before going in. The GP may suggest a phone consultation.","If you or your child have symptoms of rubella, it's best to call a GP before going in. The GP may suggest a phone consultation."
3,How can I look after myself or my child with rubella?,<noinput>,"After getting advice from a GP, you or your child should get plenty of rest, drink lots of fluids, and take paracetamol or ibuprofen if uncomfortable (do not give aspirin to children under 16)."
4,How does rubella spread?,<noinput>,Rubella spreads through coughs and sneezes. It's infectious from 1 week before symptoms start and for 5 days after the rash first appears.
5,How can I avoid spreading rubella?,<noinput>,"To avoid spreading rubella, stay off nursery, school, or work for 5 days after the rash appears, avoid close contact with pregnant individuals, wash hands often with soap and warm water, use tissues when coughing or sneezing, and dispose of used tissues in the bin."
6,Why is rubella dangerous during pregnancy?,<noinput>,"Rubella can harm the baby if contracted during pregnancy. It can cause miscarriage or serious problems after the baby is born, such as issues with sight, hearing, heart, or brain. The risk is highest if rubella is contracted early in pregnancy."
7,What should I do if I'm pregnant and suspect rubella?,"If you're pregnant and either have a new rash or have been in close contact with someone who has rubella, you should call your midwife, maternity unit, or GP immediately.","If you're pregnant and either have a new rash or have been in close contact with someone who has rubella, you should call your midwife, maternity unit, or GP immediately."
8,How can I prevent rubella?,<noinput>,"The MMR vaccine can prevent rubella, as well as measles and mumps. It is offered to all children in the UK and can provide lifelong protection with 2 doses. You can inquire about the MMR vaccine at your GP surgery."
9,Where can I find more information about the MMR vaccine?,<noinput>,You can find more information about the MMR vaccine by contacting your GP or healthcare provider.
