,q,i,a
0,What are the symptoms of temporal arteritis?,<noinput>,"The symptoms of temporal arteritis include frequent, severe headaches, pain or tenderness at the side of your head (temples) or on the scalp, jaw pain while eating or talking, vision problems such as double vision or loss of vision in one or both eyes. Other general symptoms like flu-like symptoms, unintentional weight loss, depression, and tiredness may also occur."
1,What can happen if temporal arteritis is not treated quickly?,<noinput>,"If temporal arteritis is not treated quickly, it can lead to serious problems like stroke and blindness."
2,What tests are done to diagnose temporal arteritis?,<noinput>,"When seeing a GP about temporal arteritis, they may ask about your symptoms and examine your temples. Blood tests may also be done. Further tests may include an ultrasound scan of your temples or a biopsy of the temporal artery."
3,What is the treatment for temporal arteritis?,<noinput>,"Temporal arteritis is usually treated with steroid medicine, typically prednisolone. Treatment is started before confirmation of the diagnosis due to the risk of vision loss if not dealt with quickly. Treatment includes an initial high dose of steroids to control symptoms, followed by a lower dose given over a longer period of time."
4,Are regular follow-ups necessary for temporal arteritis treatment?,<noinput>,"Yes, regular follow-ups are necessary for temporal arteritis treatment. These follow-ups help monitor your progress and check for any side effects from the treatment."
5,Can you stop taking steroids for temporal arteritis suddenly?,<noinput>,"No, it is important not to suddenly stop taking steroids for temporal arteritis unless your doctor tells you to. Stopping a prescribed course of medicine could make you very ill."
6,What other types of medicine may be needed for temporal arteritis?,<noinput>,"Other types of medicine that may be needed for temporal arteritis include low-dose aspirin to reduce the risk of stroke or heart attack, proton pump inhibitors (PPIs) to lower the risk of stomach problems, bisphosphonate therapy to reduce the risk of osteoporosis, and immunosuppressants to help prevent temporal arteritis from recurring."
7,What is polymyalgia rheumatica?,<noinput>,"Polymyalgia rheumatica (PMR) is a condition that some people with temporal arteritis also develop. It causes pain, stiffness, and inflammation in the muscles around the shoulders, neck, and hips."
8,When should you seek urgent medical advice for temporal arteritis?,<noinput>,You should ask for an urgent GP appointment or get help from NHS 111 if you think you might have temporal arteritis. It is important to seek prompt medical attention as it can lead to serious complications if not treated quickly.
9,What is the risk of vision problems in temporal arteritis?,<noinput>,"Temporal arteritis can cause vision problems, including double vision or loss of vision in one or both eyes. If you have vision problems, it is recommended to have a same-day appointment with an eye specialist (ophthalmologist) at a hospital eye department."
0,What are the symptoms of temporal arteritis?,<noinput>,"The main symptoms of temporal arteritis include frequent, severe headaches, pain or tenderness at the side of your head (temples) or on the scalp, jaw pain while eating or talking, and vision problems such as double vision or loss of vision in one or both eyes. Other general symptoms like flu-like symptoms, unintentional weight loss, depression, and tiredness may also occur. Some people with temporal arteritis may also develop polymyalgia rheumatica, causing pain, stiffness, and inflammation in the muscles around the shoulders, neck, and hips."
1,What should I do if I think I might have temporal arteritis?,<noinput>,"If you think you might have temporal arteritis, it is important to seek urgent medical attention. Ask for an urgent GP appointment or get help from NHS 111. Temporal arteritis can lead to serious problems like stroke and blindness if not treated quickly."
2,What tests are done to diagnose temporal arteritis?,<noinput>,"If you see a GP about temporal arteritis, they will ask about your symptoms and perform an examination of your temples. You may also have blood tests and further tests such as an ultrasound scan of your temples or a biopsy of the temporal artery to check for signs of temporal arteritis. If you have vision problems, you should have a same-day appointment with an eye specialist."
3,How is temporal arteritis treated?,<noinput>,"Temporal arteritis is treated with steroid medicine, usually prednisolone. Treatment is started before temporal arteritis is confirmed to prevent vision loss. There are two stages of treatment: an initial high dose of steroids to bring symptoms under control, followed by a lower steroid dose given over a longer period of time. Regular follow-ups will be conducted to monitor progress and check for any side effects."
4,Can I stop taking steroids for temporal arteritis?,<noinput>,Do not suddenly stop taking steroids unless your doctor tells you to. Stopping a prescribed course of medicine could make you very ill. It is important to follow your doctor's instructions regarding steroid treatment.
5,What other types of medicine may be prescribed for temporal arteritis?,<noinput>,"Depending on your condition, you may need to take other types of medicine in addition to steroids. These may include low-dose aspirin to reduce the risk of stroke or heart attack, proton pump inhibitors (PPIs) to lower the risk of stomach problems, bisphosphonate therapy to reduce the risk of osteoporosis, and immunosuppressants to help prevent temporal arteritis from coming back."
6,What are the risks and potential complications of temporal arteritis?,<noinput>,"Temporal arteritis carries the risk of serious complications such as stroke and blindness if left untreated. It is important to seek prompt medical attention if you suspect temporal arteritis to minimize these risks. Additionally, long-term use of steroids may have side effects, which should be monitored during regular follow-up appointments."
7,Can temporal arteritis cause vision problems?,<noinput>,"Yes, temporal arteritis can cause vision problems. Some common vision problems associated with temporal arteritis include double vision and loss of vision in one or both eyes. If you experience any changes in your vision, it is crucial to seek immediate medical attention."
8,What is polymyalgia rheumatica and how is it related to temporal arteritis?,<noinput>,"Polymyalgia rheumatica (PMR) is a condition characterized by pain, stiffness, and inflammation in the muscles around the shoulders, neck, and hips. Some people with temporal arteritis also develop PMR. If you experience symptoms of PMR along with suspected temporal arteritis, it is important to discuss them with your doctor."
9,Why is temporal arteritis considered a serious condition?,<noinput>,Temporal arteritis is considered a serious condition because it can lead to complications such as stroke and blindness if not treated promptly. It is important to seek urgent medical attention if you suspect temporal arteritis to minimize the risks associated with the condition.
