,q,i,a
0,What are the symptoms of temporomandibular disorder (TMD)?,<noinput>,"Symptoms of TMD include pain around the jaw, ear, and temple, clicking or grinding noises when moving the jaw, headache around the temples, difficulty opening the mouth fully, and jaw locking when opening the mouth. The pain may worsen during chewing and when feeling stressed. TMD can also affect sleep."
1,How can I ease temporomandibular disorder (TMD) myself?,<noinput>,"To ease TMD symptoms, you can try eating soft food like pasta and soup, taking paracetamol or ibuprofen, applying an ice pack or heat pack wrapped in a tea towel to the jaw, massaging the painful jaw muscles, and finding ways to relax. Avoid chewing gum or pen tops, biting food with your front teeth, yawning too wide, biting your nails, and clenching your teeth."
2,How can I make my own ice packs and heat packs?,<noinput>,"You can make an ice pack by using a pack of frozen peas wrapped in a tea towel. Apply it to the jaw for no more than 5 minutes at a time. For a heat pack, use a hot water bottle wrapped in a tea towel and apply it twice a day for 15 to 20 minutes."
3,When should I seek urgent advice for temporomandibular disorder (TMD)?,<noinput>,"You should seek urgent advice if you experience pain around the jaw, ear, or temple while eating, frequent and severe headaches, a sore scalp, or vision problems such as double vision or loss of vision in one or both eyes. These can be signs of a serious problem that requires immediate treatment. You can call 111 or get help from 111 online."
4,When should I see a GP for temporomandibular disorder (TMD)?,<noinput>,"You should see a GP if you are unable to eat or drink, if the pain is significantly affecting your daily life or sleep, or if the pain and discomfort keep recurring."
5,What treatments can a GP provide for temporomandibular disorder (TMD)?,<noinput>,"A GP may suggest stronger painkillers, relaxation techniques to reduce stress, ways to improve sleep, or refer you to a dentist if teeth grinding might be an issue, a psychologist if stress and anxiety are worsening the pain, or a physiotherapist for advice on jaw exercises and massage. If these treatments do not help, you may be referred to a specialist for other options like painkilling injections or surgery."
6,What are the causes of temporomandibular disorder (TMD)?,<noinput>,"TMD can be caused by teeth grinding, wear and tear of the joint, a blow to the head or face, stress, or an uneven bite."
0,What are the symptoms of temporomandibular disorder (TMD)?,<noinput>,"Symptoms of TMD include pain around your jaw, ear, and temple, clicking, popping or grinding noises when you move your jaw, headaches around your temples, difficulty opening your mouth fully, and your jaw locking when you open your mouth. The pain may be worse when chewing and when you feel stressed."
1,How can I ease temporomandibular disorder (TMD) myself?,<noinput>,"To ease symptoms of TMD, you can eat soft foods, take pain relievers like paracetamol or ibuprofen, apply ice or heat packs wrapped in a tea towel to the jaw, massage the painful jaw muscles, and find ways to relax. Avoid chewing gum or pen tops, biting food with your front teeth, yawning too wide, biting your nails, and clenching your teeth."
2,How can I make my own ice packs and heat packs?,<noinput>,"For ice packs, you can use a pack of frozen peas wrapped in a tea towel for no more than 5 minutes at a time. For heat packs, you can use a hot water bottle wrapped in a tea towel, applying it twice a day for 15 to 20 minutes."
3,When should I seek urgent advice for TMD?,<noinput>,"You should seek urgent advice if you experience pain around your jaw, ear, or temple while eating, frequent and severe headaches, a sore scalp, and vision problems such as double vision or loss of vision in one or both eyes. These can be signs of a serious problem that requires immediate treatment. You can call 111 or get help from 111 online."
4,When should I see a GP for TMD?,<noinput>,"You should see a GP if you're unable to eat or drink, if the pain is affecting your daily life or sleep, or if the pain and discomfort keep coming back."
5,What treatments can a GP suggest for TMD?,<noinput>,"A GP may suggest stronger painkillers, relaxation techniques to reduce stress, ways to improve your sleep, and refer you to a dentist if teeth grinding might be an issue, a psychologist if stress and anxiety are making your pain worse, or a physiotherapist for advice about jaw exercises and massage. If these treatments do not help, you may be referred to a specialist to discuss other options such as painkilling injections or surgery."
6,What are the causes of temporomandibular disorder (TMD)?,<noinput>,"Temporomandibular disorder (TMD) can be caused by teeth grinding, wear and tear of the joint, a blow to the head or face, stress, or an uneven bite."
7,Can I treat temporomandibular disorder (TMD) on my own?,<noinput>,"TMD usually gets better without treatment, but there are things you can do to ease the symptoms. However, if the symptoms persist or worsen, it is recommended to seek medical advice from a healthcare professional."
8,Can TMD affect my sleep?,<noinput>,"Yes, TMD can stop you from getting a good night's sleep. If you are experiencing sleep disturbances due to TMD, it is advisable to consult a healthcare professional for further evaluation and management."
9,Is temporomandibular disorder (TMD) serious?,<noinput>,"TMD is not usually serious and generally gets better on its own. However, if the symptoms persist or worsen, it is recommended to seek medical advice from a healthcare professional for appropriate management."
0,What are the symptoms of temporomandibular disorder (TMD)?,<noinput>,"Symptoms of TMD include pain around the jaw, ear, and temple, clicking or popping noises when moving the jaw, difficulty opening the mouth fully, jaw locking, headaches, and sleep disturbances."
