,q,i,a
0,What is tennis elbow?,<noinput>,"Tennis elbow is a condition that causes pain on the outside of the elbow, often due to overuse or repeated action of the forearm muscles."
1,What causes tennis elbow?,<noinput>,Tennis elbow is usually caused by overusing the muscles attached to the elbow and used to straighten the wrist.
2,When should I see a GP for tennis elbow?,<noinput>,"If the pain in your elbow persists after a few days of rest, it is recommended to see a GP for further evaluation."
3,How is tennis elbow treated?,<noinput>,"Treatments for tennis elbow may include rest, applying a cold compress, taking painkillers, physiotherapy, and surgery in severe cases."
4,How can I prevent tennis elbow?,<noinput>,"To prevent tennis elbow, it is advised to avoid putting too much stress on the muscles around the elbow and to consider changing techniques for activities that strain the elbow joint."
5,How common is tennis elbow?,<noinput>,"Tennis elbow affects about 1-3% of the population every year, making it a fairly common condition."
6,What are the symptoms of tennis elbow?,<noinput>,"The symptoms of tennis elbow include pain on the outside of the elbow, which may travel down the forearm, difficulty fully extending the arm, and pain with certain movements."
7,Can tennis elbow cause golfer's elbow?,<noinput>,"Tennis elbow and golfer's elbow are separate conditions, but both can cause pain around the elbow. Tennis elbow affects the outside of the elbow, while golfer's elbow affects the inner side of the elbow."
8,How long does tennis elbow last?,<noinput>,"Tennis elbow can last between 6 months to 2 years, but most cases make a full recovery within a year."
9,What age group is most affected by tennis elbow?,<noinput>,"Tennis elbow can affect individuals of any age, but it is most commonly seen in people between the ages of 35-54."
0,What causes tennis elbow?,<noinput>,Tennis elbow is usually caused by overusing the muscles attached to your elbow and used to straighten your wrist.
1,When should I see a GP for tennis elbow?,<noinput>,"If the pain in your elbow does not go away after a few days of rest, you should visit a GP."
2,How can tennis elbow be treated?,<noinput>,"Resting the injured arm, applying a cold compress, and taking painkillers can help alleviate symptoms. In more severe cases, physiotherapy or surgery may be recommended."
3,How long does tennis elbow last?,<noinput>,"Tennis elbow can last between 6 months to 2 years, but a full recovery is made within a year in 9 out of 10 cases."
4,How can tennis elbow be prevented?,<noinput>,Avoiding excessive stress on the muscles surrounding the elbow and adjusting techniques in activities that strain the elbow joint can help prevent tennis elbow.
5,Who is affected by tennis elbow?,<noinput>,"Tennis elbow is a common condition that affects about 1-3% of the population every year. It affects both men and women equally, primarily between the ages of 35-54."
6,What are the symptoms of tennis elbow?,<noinput>,"Symptoms of tennis elbow include pain on the outside of the elbow, which may travel down the forearm. It may also be difficult to fully extend the arm."
7,What other condition is similar to tennis elbow?,<noinput>,"On the inner side of the elbow, pain is known as golfer's elbow."
8,What tests may be done by a GP to diagnose tennis elbow?,<noinput>,"A GP may perform simple tests such as stretching out your fingers and flexing your wrist while your elbow is stretched out. Further tests, such as an ultrasound scan or an MRI scan, may be done if nerve damage is suspected."
0,What are the symptoms of tennis elbow?,<noinput>,"The symptoms of tennis elbow include pain on the outside of the elbow, pain that travels down the forearm, difficulty fully extending the arm, and pain when lifting or bending the arm."
1,What causes tennis elbow?,<noinput>,"Tennis elbow is usually caused by overusing the muscles attached to the elbow and used to straighten the wrist. Any activity that puts repeated stress on the elbow joint can cause it, not just playing tennis."
2,When should I see a GP for tennis elbow?,<noinput>,"If the pain in your elbow does not go away after a few days of rest, you should see a GP. They will perform some tests and may recommend further tests like an ultrasound or MRI scan if necessary."
3,How can I treat tennis elbow?,<noinput>,"Resting the injured arm, using cold compresses for pain relief, and taking painkillers like paracetamol or NSAIDs can help with symptoms. Physiotherapy and surgery may be recommended in more severe cases."
4,How can I prevent tennis elbow?,<noinput>,"To prevent tennis elbow, try not to put too much stress on the muscles surrounding your elbow. If it is caused by a specific activity, changing your technique may help."
5,Who does tennis elbow affect?,<noinput>,Tennis elbow is a common condition that affects about 1-3% of the population every year. It affects both men and women equally and is most common among individuals aged 35-54.
6,What are the treatment options for tennis elbow?,<noinput>,"The treatment options for tennis elbow include resting the injured arm, using cold compresses, taking painkillers, physiotherapy, and surgery as a last resort."
7,Can tennis elbow last for a long time?,<noinput>,"Yes, tennis elbow can last between 6 months to 2 years, but the majority of cases recover within a year."
8,Is tennis elbow only caused by playing tennis?,<noinput>,"No, tennis elbow can be caused by any activity that puts repeated stress on the elbow joint, not just playing tennis."
9,Can physiotherapy help with tennis elbow?,<noinput>,"Yes, physiotherapy can be recommended as a treatment for tennis elbow. Massaging and manipulating the affected area may help relieve pain and improve arm movement."
