,q,i,a
0,What are some common causes of tiredness and fatigue?,<noinput>,"Common causes of tiredness and fatigue include not getting enough sleep, an unhealthy lifestyle, stress and depression, hormonal changes, some illnesses, and certain medical treatments and medicines."
1,What are some possible causes of feeling tired all the time?,<noinput>,"Possible causes of feeling tired all the time include sleep apnoea, iron deficiency anaemia, diabetes, overactive thyroid, and myalgic encephalomyelitis or chronic fatigue syndrome (ME/CFS)."
2,What are some things I can do to help with tiredness or fatigue?,<noinput>,"You can help with tiredness or fatigue by having a healthy diet, exercising regularly, sticking to regular sleep times and aiming for 6 to 9 hours of sleep, relaxing before sleep, and creating a relaxing sleeping area."
3,When should I see a GP about my tiredness?,<noinput>,"You should see a GP if you've been feeling tired for a few weeks without knowing the cause, if your tiredness affects your daily life, if you have other symptoms like weight loss or mood changes, or if you've been told you make gasping, snorting, or choking noises while asleep."
4,What are some possible treatments for tiredness or fatigue?,<noinput>,"Possible treatments for tiredness or fatigue include talking therapies like cognitive behavioural therapy (CBT), advice on improving sleep, advice on relaxation techniques, and lifestyle changes. Depending on the cause, a GP may refer you to a specialist or order tests such as blood tests."
5,What are some possible causes of tiredness and fatigue during the day?,<noinput>,"Possible causes of tiredness and fatigue during the day include sleep apnoea, which can cause gasping, snorting, or choking noises at night and loud snoring."
6,What are some possible causes of feeling very tired and thirsty?,<noinput>,"Possible causes of feeling very tired and thirsty include diabetes, which can also cause increased urination and weight loss."
7,"What are some possible causes of feeling very nervous and irritable, with muscle weakness?",<noinput>,"Possible causes of feeling very nervous, irritable, and having muscle weakness include overactive thyroid (hyperthyroidism)."
8,"What are some possible causes of extreme fatigue for at least 3 months, with problems in thinking and memory?",<noinput>,"Possible causes of extreme fatigue for at least 3 months, with problems in thinking, memory, and flu-like symptoms, include myalgic encephalomyelitis or chronic fatigue syndrome (ME/CFS)."
9,What is cognitive behavioural therapy (CBT) and how can it help with tiredness?,<noinput>,"Cognitive behavioural therapy (CBT) is a form of talking therapy that can help with tiredness or fatigue by addressing negative thought patterns, promoting healthy sleep habits, and managing stress and anxiety."
0,What are some common causes of tiredness and fatigue?,<noinput>,"Common causes of tiredness and fatigue include not getting enough sleep, having an unhealthy lifestyle, experiencing stress or depression, undergoing hormonal changes, having certain illnesses or undergoing medical treatments that cause drowsiness temporarily."
1,What are some possible causes of extreme fatigue and problems with thinking and memory?,<noinput>,Possible causes of extreme fatigue and problems with thinking and memory include myalgic encephalomyelitis or chronic fatigue syndrome (ME/CFS).
2,What are some symptoms of sleep apnea?,<noinput>,"Some symptoms of sleep apnea include feeling tired during the day due to waking up at night, making gasping, snorting, or choking noises during sleep, and loud snoring."
3,What can I do to help with tiredness or fatigue?,<noinput>,"You can help with tiredness or fatigue by having a healthy diet, exercising regularly, sticking to consistent sleep times, aiming for 6 to 9 hours of sleep, and relaxing before bedtime."
4,What should I avoid doing to improve sleep and reduce fatigue?,<noinput>,"To improve sleep and reduce fatigue, it is recommended to avoid smoking, excessive alcohol consumption, eating or drinking caffeine close to bedtime, exercising close to bedtime, and using smartphones or screens before sleep."
5,When should I see a GP regarding my tiredness?,<noinput>,"You should see a GP if you have been feeling tired for a few weeks without knowing the cause, if your tiredness affects your daily life, if you experience weight loss or mood changes, or if you have been told you make gasping, snorting, or choking noises during sleep."
6,What are some possible treatments for tiredness and fatigue?,<noinput>,"Possible treatments for tiredness and fatigue depend on the cause and may include talking therapies like cognitive behavioral therapy (CBT), advice on improving sleep and relaxation techniques, or lifestyle changes."
7,When might a GP refer me to a specialist for tiredness or fatigue?,<noinput>,A GP may refer you to a specialist if they are unsure of the cause of your tiredness or fatigue and further tests or evaluations are needed.
8,What tests might be done to determine the cause of tiredness or fatigue?,<noinput>,"Tests such as blood tests may be done to check for conditions like anemia, diabetes, or hyperthyroidism that could be causing your tiredness or fatigue."
9,Can stress and depression be causes of tiredness and fatigue?,<noinput>,"Yes, stress and depression can be causes of tiredness and fatigue. If you are experiencing chronic tiredness without an obvious cause, it is advisable to see a GP to discuss your symptoms."
