,q,i,a
0,What are topical corticosteroids used for?,<noinput>,"Topical corticosteroids are used to reduce inflammation and irritation on the skin. They are commonly used to treat conditions such as eczema, contact dermatitis, and psoriasis."
1,Are topical corticosteroids safe to use for most people?,<noinput>,"Most adults and children can use topical corticosteroids safely. However, there are certain situations when they are not recommended, such as having infected skin or certain skin conditions like rosacea and acne."
2,Can pregnant or breastfeeding women use very potent topical corticosteroids?,<noinput>,"Very potent topical corticosteroids are not usually prescribed for pregnant or breastfeeding women, or for very young children. However, in some cases, they may be prescribed under the supervision of a dermatologist."
3,How should topical corticosteroids be applied?,<noinput>,"Unless instructed otherwise by a doctor, the directions on the patient information leaflet should be followed. Generally, a thin layer should be gently smoothed onto the affected areas of skin, following the direction of hair growth."
4,What are the recommended dosages for topical corticosteroids?,<noinput>,"The recommended dosages of topical corticosteroids vary depending on the body part being treated. For example, for adults, the recommended dosage for the face and neck is about 2.5 fingertip units (FTUs). Your doctor can advise you on the recommended dosage for children based on their age."
5,What are the common side effects of topical corticosteroids?,<noinput>,"The most common side effect of topical corticosteroids is a burning or stinging sensation upon application. Other less common side effects may include thinning of the skin, stretch marks, and contact dermatitis. It's important to follow the instructions and use them correctly to minimize side effects."
6,What are the potential serious side effects of topical corticosteroids?,<noinput>,"If potent or very potent topical corticosteroids are used for a long time or over a large area, there is a risk of the medicine being absorbed into the bloodstream and causing internal side effects. This can include decreased growth in children and Cushing's syndrome."
7,What should be done if someone wants to stop using topical corticosteroids after long-term use?,<noinput>,"If someone has been using topical corticosteroids continuously for a long time, it is recommended to gradually stop the treatment to avoid withdrawal reactions. These reactions may include redness or changes in skin color, burning, itching, or peeling of the skin."
8,How can one report suspected side effects from topical corticosteroids?,<noinput>,"The Yellow Card Scheme allows individuals to report suspected side effects from any type of medicine, including topical corticosteroids. More information can be found on the Yellow Card Scheme website."
9,Can topical corticosteroids cure skin conditions like eczema and psoriasis?,<noinput>,"Topical corticosteroids cannot cure conditions like eczema and psoriasis, but they can help relieve the symptoms associated with these conditions."
0,What are the different forms of topical corticosteroids?,<noinput>,"Topical corticosteroids are available in several different forms, including creams, lotions, gels, mousses, ointments, tapes and bandages, and solutions."
1,Are topical corticosteroids available over the counter?,<noinput>,"Mild corticosteroids, such as clobetasone and hydrocortisone skin cream, can often be bought over the counter from pharmacies."
2,What conditions are treated with topical corticosteroids?,<noinput>,"Conditions widely treated with topical corticosteroids include eczema, contact dermatitis, and psoriasis. They cannot cure these conditions but can help relieve the symptoms."
3,Who can use topical corticosteroids?,<noinput>,"Most adults and children can use topical corticosteroids safely, but there are situations when they are not recommended. They should not be used if you have infected skin or certain skin conditions."
4,Can pregnant or breastfeeding women use topical corticosteroids?,<noinput>,"Most topical corticosteroids are considered safe to use during pregnancy or breastfeeding, but very potent ones are usually not prescribed for pregnant or breastfeeding women."
5,How should topical corticosteroids be used?,<noinput>,"Unless instructed otherwise by your doctor, follow the directions on the patient information leaflet. Generally, apply a thin layer to the affected areas of skin, wash your hands before and after use, and wait 20 to 30 minutes if using with emollients."
6,What are the common side effects of topical corticosteroids?,<noinput>,"The most common side effect is a burning or stinging sensation when the medicine is applied. Less common side effects can include worsening of a skin infection, thinning of the skin, stretch marks, and acne."
7,What are the more serious side effects of topical corticosteroids?,<noinput>,"If potent or very potent topical corticosteroids are used for a long time or over a large area, there's a risk of absorption into the bloodstream, leading to decreased growth in children or Cushing's syndrome."
8,What are the withdrawal side effects of topical corticosteroids?,<noinput>,"If you stop using topical corticosteroids after long-term use, you may experience withdrawal reactions such as redness or changes in skin color, burning or itching, and a flare-up of the skin condition being treated."
9,How can I report side effects of topical corticosteroids?,<noinput>,"You can report suspected side effects through the Yellow Card Scheme website, which is run by the Medicines and Healthcare products Regulatory Agency (MHRA)."
