,q,i,a
0,What are the common symptoms of tuberculosis (TB)?,<noinput>,"Common symptoms of tuberculosis (TB) include cough that lasts more than 3 weeks, coughing up mucus or mucus with blood, feeling tired or exhausted, high temperature or night sweats, loss of appetite, weight loss, feeling generally unwell, and in some cases, difficulty gaining weight or growing in children."
1,When should I see a GP for tuberculosis (TB) symptoms?,<noinput>,"You should see a GP if you've had a cough for more than 3 weeks, you're feeling tired or exhausted without any known reason, you have a high temperature or night sweats that persist, you frequently do not feel hungry, you're experiencing unexplained weight loss, or if you have spent a lot of time with someone who has active TB and has symptoms."
2,What should I do if I have coughed up blood or mucus with blood?,<noinput>,"If you have coughed up blood or mucus with blood, it is recommended to seek immediate medical attention by calling 999 or going to the nearest A&E. These symptoms could potentially indicate that tuberculosis (TB) has spread to your brain, causing meningitis."
3,What tests are performed to check for tuberculosis (TB)?,<noinput>,"Tests to check for tuberculosis (TB) may include X-ray, ultrasound, echocardiogram, or CT scan of your chest or the affected area of your body. Additionally, samples of your mucus (phlegm) may be taken, or a biopsy might be done to obtain tissue, cell, or fluid samples from the affected area. If you have no symptoms but are at risk, you may undergo a Mantoux test or blood tests."
4,How is tuberculosis (TB) treated?,<noinput>,"The main treatment for tuberculosis (TB) is taking antibiotics for at least 6 months. In cases where TB has spread to the brain, spinal cord, or the area around the heart, steroid medicine may also be required for a few weeks. If you have latent TB (no symptoms), antibiotics are usually taken for 3 to 6 months."
5,What causes tuberculosis (TB)?,<noinput>,"Tuberculosis (TB) is caused by bacteria and can spread through close contact with individuals who have active TB and are experiencing symptoms. When someone with active TB coughs, they release small droplets containing the bacteria, which can be inhaled over time. Some individuals may have TB in their body without symptoms (latent TB) and cannot spread it to others, but it may become active TB in the future."
6,Who is more likely to get tuberculosis (TB)?,<noinput>,"While anyone can get tuberculosis (TB), some individuals are at a higher risk, including those who spend a lot of time with someone who has active TB, those born or living in areas where TB is more common, individuals with a weakened immune system (e.g., HIV, kidney transplant recipients, or those undergoing certain treatments like chemotherapy), children under 5 years of age, people living in overcrowded or unhealthy conditions (e.g., homeless individuals), regular smokers, individuals who consume alcohol or take drugs, and those who had untreated TB in the past."
7,Who should get the tuberculosis (TB) vaccine?,<noinput>,"The tuberculosis (TB) vaccine, BCG vaccine, is recommended for individuals at higher risk of catching TB or getting seriously ill from it. This includes babies who live in areas with a high TB prevalence, babies and children living with someone who has TB, those born or lived in countries with high TB rates, babies and children whose parents or grandparents were born in such countries, individuals aged 35 and under spending more than 3 months in high TB prevalence countries, and people at risk through their work (e.g., healthcare workers dealing with TB patients)."
8,Where can I find more information about the BCG vaccine for tuberculosis (TB)?,<noinput>,"For more information about the BCG vaccine for tuberculosis (TB), you can consult your healthcare provider, who can provide you with detailed information and address any concerns you may have."
0,What are the common symptoms of tuberculosis (TB)?,<noinput>,"Common symptoms of tuberculosis (TB) include a cough that lasts more than 3 weeks, coughing up mucus or blood, feeling tired or exhausted, high temperature or night sweats, loss of appetite, weight loss, and feeling generally unwell."
1,When should I see a GP if I suspect I have tuberculosis (TB)?,<noinput>,"You should see a GP if you have had a cough for more than 3 weeks, feeling tired or exhausted without any clear reason, high temperature or night sweats that persist, loss of appetite, significant weight loss, or if you have spent a lot of time with someone who has tuberculosis (TB) and has symptoms."
2,What are the urgent signs that require immediate medical attention for tuberculosis (TB)?,<noinput>,"If you are coughing up blood or mucus with blood, have a stiff neck and severe headache, find it painful to look at bright lights, have had a seizure or fit, or have experienced a change in behavior such as sudden confusion, call 999 or go to A&E as these could be signs that tuberculosis (TB) has spread to your brain."
3,What tests are done to check for tuberculosis (TB)?,<noinput>,"Tests to check for tuberculosis (TB) include X-ray, ultrasound, echocardiogram, or CT scan of your chest or the affected area, taking samples of mucus (phlegm), and biopsy. If you don't have symptoms but are at risk, you may have a Mantoux test or blood tests to check for TB."
4,How is tuberculosis (TB) treated?,<noinput>,"The main treatment for tuberculosis (TB) is taking antibiotics for at least 6 months. If TB has spread to certain areas like the brain or spinal cord, steroid medicine may also be needed. If you have latent TB without symptoms, you will usually need to take antibiotics for 3 to 6 months."
5,What causes tuberculosis (TB)?,<noinput>,"Tuberculosis (TB) is caused by bacteria. It can spread through close contact with people who have active TB and cough. Regularly breathing in the bacteria-containing droplets can lead to TB. Some people have latent TB, which cannot be spread but may become active TB in the future."
6,Who is more likely to get tuberculosis (TB)?,<noinput>,"Anyone can get TB, but some people are more likely to get it or get seriously ill from it. This includes people who spend a lot of time with someone who has active TB, those born or lived in areas where TB is common, those with weakened immune systems, young children, those in overcrowded or unhealthy conditions, smokers, alcoholics, drug users, and those who had untreated TB before."
7,Who should get the tuberculosis (TB) vaccination?,<noinput>,"The BCG vaccine for tuberculosis (TB) is recommended for babies and children who live in areas where TB is common, babies and children living with someone who has TB, babies and children from countries where TB is common, people aged 35 and under spending more than 3 months in countries where TB is common, and those at risk through their work (e.g., healthcare workers)."
