,q,i,a
0,What is the purpose of measuring urine albumin to creatinine ratio (ACR)?,<noinput>,The purpose of measuring urine albumin to creatinine ratio (ACR) is to identify kidney disease as a complication of diabetes.
1,When should a person's ACR level be checked?,"A person's ACR level should be checked as soon as diabetes is diagnosed, and then each year or more frequently if the ACR level is significantly raised.","A person's ACR level should be checked as soon as diabetes is diagnosed, and then each year or more frequently if the ACR level is significantly raised."
2,What does a slightly raised ACR level indicate?,<noinput>,A slightly raised ACR level may indicate early-stage kidney disease.
3,What does a very high ACR level indicate?,<noinput>,A very high ACR level indicates more severe kidney disease.
4,What does a very low ACR value mean?,<noinput>,A very low ACR value probably means the kidneys are functioning normally.
5,What are the complications of poorly managed diabetes?,<noinput>,Poorly managed diabetes can lead to complications such as high blood pressure and kidney disease.
6,Where can I read more about ACR?,<noinput>,You can read more about ACR at Lab Tests Online UK.
0,What is the purpose of measuring the urine albumin to creatinine ratio?,<noinput>,The purpose of measuring the urine albumin to creatinine ratio is to identify kidney disease that can occur as a complication of diabetes.
1,When should the ACR level be checked for a person with diabetes?,<noinput>,"The ACR level should be checked as soon as diabetes is diagnosed and then annually, or more frequently if the ACR level is significantly raised."
2,What does a slightly raised ACR level indicate?,<noinput>,A slightly raised ACR level may indicate early-stage kidney disease.
3,What does a very high ACR level indicate?,<noinput>,A very high ACR level indicates more severe kidney disease.
4,What does a very low ACR value indicate?,<noinput>,A very low ACR value probably means the kidneys are functioning normally.
5,What can well-managed diabetes help prevent?,<noinput>,"Well-managed diabetes can help prevent complications such as high blood pressure, which can lead to kidney disease."
6,Where can I find more information about ACR?,<noinput>,You can find more information about ACR at Lab Tests Online UK.
0,What is the purpose of measuring urine albumin to creatinine ratio?,<noinput>,The purpose of measuring urine albumin to creatinine ratio is to identify kidney disease that can occur as a complication of diabetes.
1,When should a person's ACR level be checked?,A person's ACR level should be checked as soon as diabetes is diagnosed.,A person's ACR level should be checked as soon as diabetes is diagnosed.
2,How often should the ACR level be measured?,"The ACR level should be measured each year, or more frequently if the ACR level is significantly raised.","The ACR level should be measured each year, or more frequently if the ACR level is significantly raised."
3,What does a slightly raised ACR level indicate?,A slightly raised ACR level may indicate early-stage kidney disease.,A slightly raised ACR level may indicate early-stage kidney disease.
4,What does a very high ACR level indicate?,A very high ACR level indicates more severe kidney disease.,A very high ACR level indicates more severe kidney disease.
5,What does a very low ACR value indicate?,A very low ACR value probably means the kidneys are functioning normally.,A very low ACR value probably means the kidneys are functioning normally.
6,What complications can arise from poorly managed diabetes?,<noinput>,"Poorly managed diabetes can lead to complications such as high blood pressure, which can sometimes result in kidney disease."
7,Where can I find more information about ACR?,<noinput>,You can find more information about ACR at Lab Tests Online UK.
