,q,i,a
0,What are the symptoms of vertigo?,<noinput>,Vertigo feels like you or everything around you is spinning – enough to affect your balance. It can last from a few seconds to hours. Severe vertigo can last for many days or months.
1,What can I do to ease vertigo?,<noinput>,"You can lie still in a quiet, dark room, move your head carefully and slowly, sit down straight away when you feel dizzy, turn on the lights at night, use a walking stick if at risk of falling, sleep with your head slightly raised, and get out of bed slowly."
2,When should I see a doctor for vertigo?,<noinput>,You should see a GP if your vertigo won't go away or keeps coming back.
3,What happens at a GP appointment for vertigo?,<noinput>,The GP will ask about your symptoms and might perform a balance test. You could also be referred to a specialist for further tests.
4,When should I seek urgent medical advice for vertigo?,<noinput>,"You should seek urgent medical advice if you have vertigo along with a severe headache, vomiting, high temperature, double vision, hearing loss, trouble speaking, or leg/arm weakness or numbness."
5,What are the treatment options for vertigo?,<noinput>,"Most people with vertigo get better without treatment. Treatment depends on the cause and may include antibiotics for an infection, exercises to correct balance, or antihistamines for symptom relief."
6,Should I inform the DVLA if I have vertigo?,<noinput>,"Yes, if you drive, you must inform the DVLA about your vertigo. You can find more information on driving with vertigo on GOV.UK."
7,What are the common causes of vertigo?,<noinput>,"The most common causes of vertigo are inner ear problems, including benign paroxysmal positional vertigo (BPPV), labyrinthitis, vestibular neuritis, and Ménière's disease. Migraines, certain medications, or unknown causes can also be responsible."
8,What can cause benign paroxysmal positional vertigo (BPPV)?,<noinput>,BPPV is typically caused by specific head movements.
9,Where can I find more information about BPPV?,<noinput>,You can find more information about BPPV on the Ménière’s Society website.
0,What are some things you can do to help ease vertigo?,Things you can do to help ease vertigo,"To help ease vertigo, you can lie still in a quiet room, move your head carefully and slowly, sit down when you feel dizzy, use light when getting up at night, and sleep with your head slightly raised."
1,When should I see a GP for vertigo?,Non-urgent advice: See a GP if: you have vertigo that will not go away or keeps coming back,You should see a GP for vertigo if it persists or keeps recurring.
2,What happens at a GP appointment for vertigo?,What happens at your appointment,"At a GP appointment for vertigo, the doctor will ask about your symptoms and may perform a test to check your balance. They may also refer you to a specialist for further tests if needed."
3,When should I seek urgent medical help for vertigo?,Urgent advice: Ask for an urgent GP appointment or get help from NHS 111 if: You have vertigo and:have a severe headacheare being sick or feel very sickhave a very high temperature or feel hot and shiveryYou can call 111 or get help from 111 online.,"You should seek urgent medical help for vertigo if you have a severe headache, are being sick or feel very sick, or have a very high temperature or feel hot and shivery."
4,When should I call 999 or go to A&E for vertigo?,"Immediate action required: Call 999 or go to A&E if: You have vertigo and:double vision or loss of visionhearing losstrouble speakingleg or arm weakness, numbness or tinglingAlways take someone who cannot be woken up to A&E or call 999.","You should call 999 or go to A&E for vertigo if you experience double vision or loss of vision, hearing loss, trouble speaking, or leg or arm weakness, numbness, or tingling. If someone cannot be woken up, take them to A&E or call 999."
5,What are some treatments for vertigo?,Treatment for vertigo,"Most people with vertigo get better without treatment. However, treatment options may include antibiotics for infections causing vertigo, balance-correcting exercises, and antihistamines to relieve symptoms."
6,Should I notify the DVLA if I have vertigo?,"Important: Driving and vertigo If you drive, you must tell the DVLA about your vertigo.Get more information on driving with vertigo on GOV.UK","Yes, if you drive, you must notify the DVLA about your vertigo."
7,What are some common causes of vertigo?,What causes vertigo,"Common causes of vertigo include inner ear problems like benign paroxysmal positional vertigo (BPPV), labyrinthitis, vestibular neuritis, and Ménière's disease. Other causes can include migraines and certain medications."
8,Where can I find more information about BPPV?,Find out more about BPPV on the Ménière’s Society website,You can find more information about BPPV on the Ménière’s Society website.
0,What are the things you can do to help ease vertigo?,<noinput>,"To ease vertigo, you can lie still in a quiet, dark room, move your head carefully and slowly, sit down straight away when you feel dizzy, turn on the lights if you get up at night, use a walking stick if you're at risk of falling, sleep with your head slightly raised on 2 or more pillows, get out of bed slowly, sit on the edge of the bed for a while before standing up, and try to relax to reduce anxiety."
1,What happens at your appointment if you have vertigo?,<noinput>,"If you have vertigo, a GP will ask about your symptoms and might perform a test that involves moving quickly from a sitting to a lying position to check your balance. You might also be referred to a specialist for further tests."
2,When should I see a GP for vertigo?,<noinput>,You should see a GP for vertigo if it keeps coming back or if it is affecting your daily life.
3,What are the common causes of vertigo?,<noinput>,"The most common causes of vertigo are inner ear problems, such as benign paroxysmal positional vertigo (BPPV), labyrinthitis, vestibular neuritis, Ménière's disease, migraines, and certain medications. Sometimes, the cause is unknown."
4,Is treatment necessary for vertigo?,<noinput>,"Most people with vertigo get better without treatment. However, treatment will depend on the cause. A GP might prescribe antibiotics if it's caused by an infection, or exercises to correct your balance."
5,When should I seek urgent medical help for vertigo?,<noinput>,"You should ask for an urgent GP appointment or get help from NHS 111 if you have vertigo accompanied by severe headache, vomiting, high temperature, or if you're experiencing double vision, hearing loss, trouble speaking, or leg/arm weakness, numbness, or tingling."
6,What should I do if I have vertigo and double vision or loss of vision?,<noinput>,"If you have vertigo accompanied by double vision or loss of vision, you should call 999 or go to the nearest A&E."
7,Can antihistamines help with vertigo symptoms?,<noinput>,"Yes, antihistamines can sometimes help with vertigo symptoms."
8,How can I find more information about BPPV?,<noinput>,You can find more information about BPPV on the Ménière's Society website.
9,What should I do if I have vertigo and arm/leg weakness or trouble speaking?,<noinput>,"If you have vertigo accompanied by arm or leg weakness, trouble speaking, or numbness/tingling, you should call 999 or go to the nearest A&E."
